dataset,profile,metric,series,category,display_value,annotation
SEA,immediate_unscreened,accuracy,adwin,0,91.26911667826788,91.3
SEA,immediate_unscreened,accuracy,adwin,1,92.01762177369697,92.0
SEA,immediate_unscreened,accuracy,adwin,2,91.4310159072204,91.4
SEA,immediate_unscreened,accuracy,adwin,3,87.49120699764724,87.5
SEA,immediate_unscreened,accuracy,adwin,4,83.99490782750355,84.0
SEA,immediate_unscreened,accuracy,adwin,5,90.43561646352904,90.4
SEA,immediate_unscreened,accuracy,adwin,6,90.0992557827081,90.1
SEA,immediate_unscreened,accuracy,hddm_w,0,92.18204839138696,92.2
SEA,immediate_unscreened,accuracy,hddm_w,1,90.77484059111488,90.8
SEA,immediate_unscreened,accuracy,hddm_w,2,90.29350001640879,90.3
SEA,immediate_unscreened,accuracy,hddm_w,3,87.36983948236694,87.4
SEA,immediate_unscreened,accuracy,hddm_w,4,84.09093134582766,84.1
SEA,immediate_unscreened,accuracy,hddm_w,5,91.74435403995028,91.7
SEA,immediate_unscreened,accuracy,hddm_w,6,91.15286896673433,91.2
SEA,immediate_unscreened,accuracy,hellinger,0,90.98849431717818,91.0
SEA,immediate_unscreened,accuracy,hellinger,1,90.83113006622877,90.8
SEA,immediate_unscreened,accuracy,hellinger,2,90.09758414597951,90.1
SEA,immediate_unscreened,accuracy,hellinger,3,90.00778501231167,90.0
SEA,immediate_unscreened,accuracy,hellinger,4,89.25439416137377,89.3
SEA,immediate_unscreened,accuracy,hellinger,5,90.78284266299184,90.8
SEA,immediate_unscreened,accuracy,hellinger,6,90.37777025841328,90.4
SEA,immediate_unscreened,accuracy,d3_oof,0,91.79172001569556,91.8
SEA,immediate_unscreened,accuracy,d3_oof,1,91.05808471307004,91.1
SEA,immediate_unscreened,accuracy,d3_oof,2,91.18697442138875,91.2
SEA,immediate_unscreened,accuracy,d3_oof,3,90.94176149845212,90.9
SEA,immediate_unscreened,accuracy,d3_oof,4,90.29866976856763,90.3
SEA,immediate_unscreened,accuracy,d3_oof,5,91.50129155124263,91.5
SEA,immediate_unscreened,accuracy,d3_oof,6,90.88879500163159,90.9
SEA,immediate_unscreened,macro_f1,adwin,0,90.46173725998348,90.5
SEA,immediate_unscreened,macro_f1,adwin,1,91.30929302889926,91.3
SEA,immediate_unscreened,macro_f1,adwin,2,90.6583712935176,90.7
SEA,immediate_unscreened,macro_f1,adwin,3,86.31514403072781,86.3
SEA,immediate_unscreened,macro_f1,adwin,4,82.6243224785902,82.6
SEA,immediate_unscreened,macro_f1,adwin,5,89.48346978982586,89.5
SEA,immediate_unscreened,macro_f1,adwin,6,89.13774739487197,89.1
SEA,immediate_unscreened,macro_f1,hddm_w,0,91.515469506448,91.5
SEA,immediate_unscreened,macro_f1,hddm_w,1,89.91758942837208,89.9
SEA,immediate_unscreened,macro_f1,hddm_w,2,89.39787428675729,89.4
SEA,immediate_unscreened,macro_f1,hddm_w,3,86.20858296178683,86.2
SEA,immediate_unscreened,macro_f1,hddm_w,4,82.74919350962972,82.7
SEA,immediate_unscreened,macro_f1,hddm_w,5,91.03925022649308,91.0
SEA,immediate_unscreened,macro_f1,hddm_w,6,90.34961228378535,90.3
SEA,immediate_unscreened,macro_f1,hellinger,0,90.1481336769867,90.1
SEA,immediate_unscreened,macro_f1,hellinger,1,89.98634164113577,90.0
SEA,immediate_unscreened,macro_f1,hellinger,2,89.16708829014857,89.2
SEA,immediate_unscreened,macro_f1,hellinger,3,89.10119161706204,89.1
SEA,immediate_unscreened,macro_f1,hellinger,4,88.30129131092987,88.3
SEA,immediate_unscreened,macro_f1,hellinger,5,89.91469902806847,89.9
SEA,immediate_unscreened,macro_f1,hellinger,6,89.46253076691787,89.5
SEA,immediate_unscreened,macro_f1,d3_oof,0,91.06852981839016,91.1
SEA,immediate_unscreened,macro_f1,d3_oof,1,90.19520799452644,90.2
SEA,immediate_unscreened,macro_f1,d3_oof,2,90.4150172286421,90.4
SEA,immediate_unscreened,macro_f1,d3_oof,3,90.12701424719847,90.1
SEA,immediate_unscreened,macro_f1,d3_oof,4,89.41929389155322,89.4
SEA,immediate_unscreened,macro_f1,d3_oof,5,90.74013241398285,90.7
SEA,immediate_unscreened,macro_f1,d3_oof,6,90.06387699334377,90.1
SEA,immediate_unscreened,macro_recall,adwin,0,89.83308128960076,89.8
SEA,immediate_unscreened,macro_recall,adwin,1,90.79154677919176,90.8
SEA,immediate_unscreened,macro_recall,adwin,2,90.10326398971532,90.1
SEA,immediate_unscreened,macro_recall,adwin,3,85.71283961528411,85.7
SEA,immediate_unscreened,macro_recall,adwin,4,82.3024545333255,82.3
SEA,immediate_unscreened,macro_recall,adwin,5,88.65635487710763,88.7
SEA,immediate_unscreened,macro_recall,adwin,6,88.39083728868195,88.4
SEA,immediate_unscreened,macro_recall,hddm_w,0,91.11665464061822,91.1
SEA,immediate_unscreened,macro_recall,hddm_w,1,89.28349649397043,89.3
SEA,immediate_unscreened,macro_recall,hddm_w,2,88.79586199725186,88.8
SEA,immediate_unscreened,macro_recall,hddm_w,3,85.66592473713222,85.7
SEA,immediate_unscreened,macro_recall,hddm_w,4,82.46046889618442,82.5
SEA,immediate_unscreened,macro_recall,hddm_w,5,90.63900273870358,90.6
SEA,immediate_unscreened,macro_recall,hddm_w,6,89.7799075886136,89.8
SEA,immediate_unscreened,macro_recall,hellinger,0,89.50233793058567,89.5
SEA,immediate_unscreened,macro_recall,hellinger,1,89.3776891447709,89.4
SEA,immediate_unscreened,macro_recall,hellinger,2,88.52121319685097,88.5
SEA,immediate_unscreened,macro_recall,hellinger,3,88.54965369543845,88.5
SEA,immediate_unscreened,macro_recall,hellinger,4,87.82979994729962,87.8
SEA,immediate_unscreened,macro_recall,hellinger,5,89.24051123503972,89.2
SEA,immediate_unscreened,macro_recall,hellinger,6,88.77140970020618,88.8
SEA,immediate_unscreened,macro_recall,d3_oof,0,90.57947426713841,90.6
SEA,immediate_unscreened,macro_recall,d3_oof,1,89.45395990930419,89.5
SEA,immediate_unscreened,macro_recall,d3_oof,2,89.9475657923611,89.9
SEA,immediate_unscreened,macro_recall,d3_oof,3,89.58544897949488,89.6
SEA,immediate_unscreened,macro_recall,d3_oof,4,88.86772976145166,88.9
SEA,immediate_unscreened,macro_recall,d3_oof,5,90.20695195586028,90.2
SEA,immediate_unscreened,macro_recall,d3_oof,6,89.50675486136888,89.5
SEA,immediate_unscreened,roc_auc,adwin,0,0.9261722376213566,.926
SEA,immediate_unscreened,roc_auc,adwin,1,0.93028124168965,.930
SEA,immediate_unscreened,roc_auc,adwin,2,0.9290002450856836,.929
SEA,immediate_unscreened,roc_auc,adwin,3,0.9072087938817802,.907
SEA,immediate_unscreened,roc_auc,adwin,4,0.8846408696019711,.885
SEA,immediate_unscreened,roc_auc,adwin,5,0.9229102147066748,.923
SEA,immediate_unscreened,roc_auc,adwin,6,0.9232832900596368,.923
SEA,immediate_unscreened,roc_auc,hddm_w,0,0.9340372146060848,.934
SEA,immediate_unscreened,roc_auc,hddm_w,1,0.9207331036895372,.921
SEA,immediate_unscreened,roc_auc,hddm_w,2,0.9259895140965902,.926
SEA,immediate_unscreened,roc_auc,hddm_w,3,0.9069970119756676,.907
SEA,immediate_unscreened,roc_auc,hddm_w,4,0.885547752672372,.886
SEA,immediate_unscreened,roc_auc,hddm_w,5,0.9336281069642546,.934
SEA,immediate_unscreened,roc_auc,hddm_w,6,0.9305047006586032,.931
SEA,immediate_unscreened,roc_auc,hellinger,0,0.9260840186023772,.926
SEA,immediate_unscreened,roc_auc,hellinger,1,0.924220576030522,.924
SEA,immediate_unscreened,roc_auc,hellinger,2,0.9217278917410756,.922
SEA,immediate_unscreened,roc_auc,hellinger,3,0.9179290444014786,.918
SEA,immediate_unscreened,roc_auc,hellinger,4,0.9174496259449472,.917
SEA,immediate_unscreened,roc_auc,hellinger,5,0.9264620783788292,.926
SEA,immediate_unscreened,roc_auc,hellinger,6,0.9240545774794268,.924
SEA,immediate_unscreened,roc_auc,d3_oof,0,0.9307440802637862,.931
SEA,immediate_unscreened,roc_auc,d3_oof,1,0.927434371073229,.927
SEA,immediate_unscreened,roc_auc,d3_oof,2,0.9273984301944028,.927
SEA,immediate_unscreened,roc_auc,d3_oof,3,0.9269893619817012,.927
SEA,immediate_unscreened,roc_auc,d3_oof,4,0.9211219324594304,.921
SEA,immediate_unscreened,roc_auc,d3_oof,5,0.9315561147493384,.932
SEA,immediate_unscreened,roc_auc,d3_oof,6,0.9276586976527628,.928
SEA,confirmed_unscreened,accuracy,adwin,0,92.6460621595745,92.6
SEA,confirmed_unscreened,accuracy,adwin,1,92.00018916264092,92.0
SEA,confirmed_unscreened,accuracy,adwin,2,90.93060532409756,90.9
SEA,confirmed_unscreened,accuracy,adwin,3,90.51889842993984,90.5
SEA,confirmed_unscreened,accuracy,adwin,4,89.71048317206899,89.7
SEA,confirmed_unscreened,accuracy,adwin,5,91.89262590969427,91.9
SEA,confirmed_unscreened,accuracy,adwin,6,91.82219313470628,91.8
SEA,confirmed_unscreened,accuracy,hddm_w,0,91.47797118827128,91.5
SEA,confirmed_unscreened,accuracy,hddm_w,1,91.99329276586693,92.0
SEA,confirmed_unscreened,accuracy,hddm_w,2,91.644781582644,91.6
SEA,confirmed_unscreened,accuracy,hddm_w,3,90.31398271185616,90.3
SEA,confirmed_unscreened,accuracy,hddm_w,4,89.46995843410929,89.5
SEA,confirmed_unscreened,accuracy,hddm_w,5,91.10157398735193,91.1
SEA,confirmed_unscreened,accuracy,hddm_w,6,90.49604221290696,90.5
SEA,confirmed_unscreened,accuracy,hellinger,0,92.3678729320504,92.4
SEA,confirmed_unscreened,accuracy,hellinger,1,92.00703553979591,92.0
SEA,confirmed_unscreened,accuracy,hellinger,2,91.37948344233858,91.4
SEA,confirmed_unscreened,accuracy,hellinger,3,91.57705373807681,91.6
SEA,confirmed_unscreened,accuracy,hellinger,4,90.67579614040639,90.7
SEA,confirmed_unscreened,accuracy,hellinger,5,91.70975740340168,91.7
SEA,confirmed_unscreened,accuracy,hellinger,6,91.31823453286896,91.3
SEA,confirmed_unscreened,accuracy,d3_oof,0,91.5393514782548,91.5
SEA,confirmed_unscreened,accuracy,d3_oof,1,90.61590063933684,90.6
SEA,confirmed_unscreened,accuracy,d3_oof,2,89.52597431077565,89.5
