dataset,base_key,attack_seed,category,mode,level,series,accuracy,macro_f1,macro_recall,roc_auc,poison_admission_rate,clean_withhold_rate,resets_per_100k,seconds_per_100k,policy_runs,accuracy_training_seed_sd,macro_f1_training_seed_sd,macro_recall_training_seed_sd,roc_auc_training_seed_sd,poison_admission_rate_training_seed_sd,clean_withhold_rate_training_seed_sd,resets_per_100k_training_seed_sd,seconds_per_100k_training_seed_sd
RADAR,radar,0,0,clean,none,confirmed,0.6629397429979281,0.5312108690192276,0.5183263046544591,0.8648226741678047,,0.1467692274215834,6.807590669887551,65.297160409542,1,,,,,,,,
RADAR,radar,0,0,clean,none,immediate,0.5983779025453296,0.481832497104255,0.4783997691196657,0.76669685237472,,0.3638223102281505,21.660515767824027,37.3671877636694,1,,,,,,,,
RADAR,radar,0,0,clean,none,none,0.658269905851789,0.4807178165561163,0.4826151195326539,0.914419801221184,,0.0744181998193944,0.0,178.0275463380358,1,,,,,,,,
RADAR,radar,0,0,clean,none,rl,0.6240512715912873,0.5116851145459522,0.5099291216343098,0.7550071762076508,,0.37071288428550186,30.324722074953637,44.067843458427426,3,0.024099250860528745,0.02137402141264586,0.024572700975621795,0.057605178816337047,,0.04827337705215479,18.68952089481633,9.284895790149108
RADAR,radar,0,0,clean,none,rl_alarm,0.6113460939764468,0.4795135913850796,0.46989851916177366,0.7574558697257796,,0.30456337333492906,38.64511067148286,115.31097409057429,3,0.04063721312644825,0.0010428895899945005,0.011012898970956985,0.13593475215290057,,0.19931156682283058,33.467647573565266,145.23451243520836
RADAR,radar,0,1,instance,moderate,confirmed,0.6311633798885681,0.4714414745739038,0.4517396124302347,0.8054854896069377,0.8260504201680672,0.1735881908614884,7.01388129624778,85.525919984006,1,,,,,,,,
RADAR,radar,0,1,instance,moderate,immediate,0.6176745284538008,0.5053433378573627,0.4970185413579692,0.80762568308575,0.6854534917415241,0.3141507380711569,25.786328295028603,51.62709978071672,1,,,,,,,,
RADAR,radar,0,1,instance,moderate,none,0.6839164367532287,0.5014248391348928,0.4899609472175493,0.847014775619013,0.9244277021153288,0.0766467372517891,0.0,270.9025827792672,1,,,,,,,,
RADAR,radar,0,1,instance,moderate,rl,0.6429274332356425,0.503875354147012,0.4870077492840923,0.8203441660485175,0.686858881483628,0.3127774434870928,34.72558877063852,58.45697894943539,3,0.0036558294851081682,0.02563200868782511,0.028570984577302387,0.014281895295862346,0.06018893252760064,0.06013007039146251,18.52523517012621,10.35408563078077
RADAR,radar,0,1,instance,moderate,rl_alarm,0.6347740049310617,0.5039572994809624,0.4918943518746508,0.7936605542170699,0.7100164203612479,0.2901125350471776,40.15790859812454,183.38751289146046,3,0.04255859436174135,0.002193174993773008,0.0016743775488450108,0.046206111133222,0.1856856168570169,0.18486680372991868,34.77776900882939,241.34010718558403
