dataset,base_key,attack_seed,category,mode,level,condition,run_id,detector,policy,guarded,series,rows,common_host_rows,mask_sha256,correct,accuracy,macro_f1,macro_recall,roc_auc,poison_admission_rate,clean_withhold_rate,resets_per_100k,seconds_per_100k,rl_seed,rl_variant,rl_model_sha256
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__adwin__confirmed__guarded,adwin,confirmed,True,confirmed,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,123507,0.6629397429979281,0.5312108690192276,0.5183263046544591,0.8648226741678047,,0.1467692274215834,6.807590669887551,65.297160409542,,,
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__adwin__immediate__guarded,adwin,immediate,True,immediate,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,111479,0.5983779025453296,0.481832497104255,0.4783997691196657,0.76669685237472,,0.3638223102281505,21.660515767824027,37.3671877636694,,,
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__none__none__guarded,none,none,True,none,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,122637,0.658269905851789,0.4807178165561163,0.4826151195326539,0.914419801221184,,0.0744181998193944,0.0,178.0275463380358,,,
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__adwin__rl__guarded__r7,adwin,rl,True,rl,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,115085,0.6177335723717405,0.5050275327776108,0.5127994019518682,0.747544309769304,,0.3803596879657937,32.800209591276385,44.39879414880196,7.0,alarm_persistence,3a5f4752cf8b526120b9204c5321f67ab138e19a0c925f64d3a3f26bb4481cfd
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__adwin__rl__guarded__r17,adwin,rl,True,rl,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,121223,0.6506800785820871,0.5355956022769971,0.5329406326042906,0.8159800790520418,,0.3183445214496317,10.52082194437167,53.182839198499465,17.0,alarm_persistence,d99b5c89f5e521e295ec129257c10de8773c6d03940b28a23a1561f112b7f22a
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__adwin__rl__guarded__r27,adwin,rl,True,rl,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,112478,0.6037401638200341,0.49443220858324877,0.4840473303467706,0.7014971398016066,,0.4134344434410801,47.653134689212855,34.62189702798084,27.0,alarm_persistence,0a24fb29e2f8ac2436f8f56cb1e859c75c0ae9f60ab00c18cb51e1c1087e6ece
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__adwin__rl_alarm__guarded__r7,adwin,rl_alarm,True,rl_alarm,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,109524,0.5878841880387757,0.4789114787995612,0.46354021897633346,0.6789739039780773,,0.4196359600926964,57.967666007224295,31.331659752467356,7.0,alarm,614752e0deaab2c0ecc723986570cc1361ecc29bec792bf4f32c287d3091403d
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__adwin__rl_alarm__guarded__r17,adwin,rl_alarm,True,rl_alarm,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,122637,0.658269905851789,0.48071781655611634,0.48261511953265396,0.9144198012211839,,0.0744181998193944,0.0,283.013278494378,17.0,alarm,d0d03fcb4738304e5544919813738da49b3c4443844935a5d66b5ec1a0bf3b22
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__adwin__rl_alarm__guarded__r27,adwin,rl_alarm,True,rl_alarm,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,109524,0.5878841880387757,0.4789114787995612,0.46354021897633346,0.6789739039780773,,0.4196359600926964,57.967666007224295,31.587984024877493,27.0,alarm,45fea17bc000cf33d753b33091e96dd90d974f0c6d2206d30b0d446455727242
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__adwin__confirmed__guarded,adwin,confirmed,True,confirmed,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,117587,0.6311633798885681,0.4714414745739038,0.4517396124302347,0.8054854896069377,0.8260504201680672,0.1735881908614884,7.01388129624778,85.525919984006,,,
