condition,stream,base_key,detector,reference_policy,rl_policy,rl_seed,host_accuracy,host_macro_f1,poison_admission_rate,clean_withhold_rate,resets,training_visits,seconds
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,adwin,confirmed,rl,17.0,-0.019522299725216685,-0.01969902186194017,,0.09638554216867468,0.0,-9500.0,15.795824799919501
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,adwin,confirmed,rl,27.0,-0.15805537941238645,-0.15899017380915792,,0.3092369477911647,124.0,-9500.0,-27.539970399811864
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,adwin,confirmed,rl,7.0,-0.15949270767279644,-0.16059220424318899,,0.2690763052208835,99.0,-9500.0,-27.0597615998704
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,adwin,confirmed,rl_alarm,17.0,-0.0071316846332699635,-0.007895461377129376,,-0.012048192771084404,0.0,-9500.0,16.58229690021834
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,adwin,confirmed,rl_alarm,27.0,-0.15805537941238645,-0.15899017380915792,,0.3092369477911647,124.0,-9500.0,-28.776520499726757
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,adwin,confirmed,rl_alarm,7.0,-0.15805537941238645,-0.15899017380915792,,0.3092369477911647,124.0,-9500.0,-27.882901599863544
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,adwin,immediate,rl,17.0,0.08445994504333121,0.08534042449772694,,0.0,-7.0,0.0,42.11369759985246
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,adwin,immediate,rl,27.0,-0.05407313464383856,-0.05395072744949081,,0.21285140562249,117.0,0.0,-1.2220975998789072
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,adwin,immediate,rl,7.0,-0.05551046290424855,-0.055552757883521875,,0.17269076305220882,92.0,0.0,-0.741888799937442
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,adwin,immediate,rl_alarm,17.0,0.09685056013527793,0.09714398498253773,,-0.10843373493975908,-7.0,0.0,42.900169700151295
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,adwin,immediate,rl_alarm,27.0,-0.05407313464383856,-0.05395072744949081,,0.21285140562249,117.0,0.0,-2.4586476997938007
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,adwin,immediate,rl_alarm,7.0,-0.05407313464383856,-0.05395072744949081,,0.21285140562249,117.0,0.0,-1.5650287999305874
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,d3_oof,confirmed,rl,17.0,-0.012390615091946722,-0.011803560484810793,,0.10843373493975908,0.0,0.0,21.01346329972148
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,d3_oof,confirmed,rl,27.0,-0.1509236947791165,-0.15109471243202854,,0.3212851405622491,124.0,0.0,-22.322331900009885
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,d3_oof,confirmed,rl,7.0,-0.15236102303952648,-0.1526967428660596,,0.2811244979919679,99.0,0.0,-21.84212310006842
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,d3_oof,confirmed,rl_alarm,17.0,0.0,0.0,,0.0,0.0,0.0,21.799935400020317
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,d3_oof,confirmed,rl_alarm,27.0,-0.1509236947791165,-0.15109471243202854,,0.3212851405622491,124.0,0.0,-23.55888199992478
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,d3_oof,confirmed,rl_alarm,7.0,-0.1509236947791165,-0.15109471243202854,,0.3212851405622491,124.0,0.0,-22.665263100061566
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,d3_oof,immediate,rl,17.0,-0.016820968082857712,-0.016730455883614548,,0.08032128514056228,0.0,0.0,16.148905199952424
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,d3_oof,immediate,rl,27.0,-0.15535404777002748,-0.1560216078308323,,0.2931726907630523,124.0,0.0,-27.18688999977894
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,d3_oof,immediate,rl,7.0,-0.15679137603043747,-0.15762363826486336,,0.2530120481927711,99.0,0.0,-26.706681199837476
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,d3_oof,immediate,rl_alarm,17.0,-0.004430352990910991,-0.0049268953988037545,,-0.028112449799196804,0.0,0.0,16.93537730025126
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,d3_oof,immediate,rl_alarm,27.0,-0.15535404777002748,-0.1560216078308323,,0.2931726907630523,124.0,0.0,-28.423440099693835
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,d3_oof,immediate,rl_alarm,7.0,-0.15535404777002748,-0.1560216078308323,,0.2931726907630523,124.0,0.0,-27.52982119983062
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,hddm_w,confirmed,rl,17.0,-0.005504121750158575,-0.005246748649984312,,0.05622489959839358,0.0,-26600.0,14.217012099921703
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,hddm_w,confirmed,rl,27.0,-0.14403720143732834,-0.14453790059720206,,0.26907630522088355,124.0,-26600.0,-29.11878309980966
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,hddm_w,confirmed,rl,7.0,-0.14547452969773833,-0.14613993103123313,,0.2289156626506024,99.0,-26600.0,-28.638574299868196
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,hddm_w,confirmed,rl_alarm,17.0,0.006886493341788147,0.0065568118348264814,,-0.0522088353413655,0.0,-26600.0,15.00348420022054
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,hddm_w,confirmed,rl_alarm,27.0,-0.14403720143732834,-0.14453790059720206,,0.26907630522088355,124.0,-26600.0,-30.355333199724555
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,hddm_w,confirmed,rl_alarm,7.0,-0.14403720143732834,-0.14453790059720206,,0.26907630522088355,124.0,-26600.0,-29.46171429986134
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,hddm_w,immediate,rl,17.0,0.1396279856267174,0.1403466571725045,,-0.1606425702811245,-72.0,0.0,44.8469275997486
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,hddm_w,immediate,rl,27.0,0.0010949059395476413,0.0010555052252867458,,0.0522088353413655,52.0,0.0,1.5111324000172317
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,hddm_w,immediate,rl,7.0,-0.0003424223208623456,-0.0005465252087443195,,0.01204819277108432,27.0,0.0,1.991341199958697
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,hddm_w,immediate,rl_alarm,17.0,0.15201860071866413,0.1521502176573153,,-0.26907630522088355,-72.0,0.0,45.633399700047434
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,hddm_w,immediate,rl_alarm,27.0,0.0010949059395476413,0.0010555052252867458,,0.0522088353413655,52.0,0.0,0.2745823001023382
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,hddm_w,immediate,rl_alarm,7.0,0.0010949059395476413,0.0010555052252867458,,0.0522088353413655,52.0,0.0,1.1682011999655515
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,hellinger,confirmed,rl,17.0,-0.013358697949693576,-0.012885356593865582,,0.07228915662650609,0.0,-5700.0,21.640610999893397
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,hellinger,confirmed,rl,27.0,-0.15189177763686335,-0.15217650854108333,,0.2851405622489961,124.0,-5700.0,-21.695184199837968
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,hellinger,confirmed,rl,7.0,-0.15332910589727333,-0.1537785389751144,,0.2449799196787149,99.0,-5700.0,-21.214975399896502
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,hellinger,confirmed,rl_alarm,17.0,-0.0009680828577468548,-0.001081796109054789,,-0.03614457831325299,0.0,-5700.0,22.427083100192235
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,hellinger,confirmed,rl_alarm,27.0,-0.15189177763686335,-0.15217650854108333,,0.2851405622489961,124.0,-5700.0,-22.93173429975286
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,hellinger,confirmed,rl_alarm,7.0,-0.15189177763686335,-0.15217650854108333,,0.2851405622489961,124.0,-5700.0,-22.038115399889648
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,hellinger,immediate,rl,17.0,0.03754385964912277,0.03885879544631199,,-0.03614457831325302,-3.0,0.0,37.317221499746665
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,hellinger,immediate,rl,27.0,-0.100989220038047,-0.10043235650090576,,0.17670682730923698,121.0,0.0,-6.0185736999846995
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,hellinger,immediate,rl,7.0,-0.10242654829845699,-0.10203438693493683,,0.1365461847389558,96.0,0.0,-5.538364900043234
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,hellinger,immediate,rl_alarm,17.0,0.04993447474106949,0.05066235593112278,,-0.1445783132530121,-3.0,0.0,38.1036936000455
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,hellinger,immediate,rl_alarm,27.0,-0.100989220038047,-0.10043235650090576,,0.17670682730923698,121.0,0.0,-7.255123799899593
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,hellinger,immediate,rl_alarm,7.0,-0.100989220038047,-0.10043235650090576,,0.17670682730923698,121.0,0.0,-6.36150490003638
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,none,none,rl,17.0,-0.012390615091946722,-0.011803560484810793,,0.10843373493975908,0.0,0.0,22.768753699725494
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,none,none,rl,27.0,-0.1509236947791165,-0.15109471243202854,,0.3212851405622491,124.0,0.0,-20.56704150000587
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,none,none,rl,7.0,-0.15236102303952648,-0.1526967428660596,,0.2811244979919679,99.0,0.0,-20.086832700064406
RBF_I__base_s0__clean__none__anone,RBF_I,RBF_I__base_s0,none,none,rl_alarm,17.0,0.0,0.0,,0.0,0.0,0.0,23.55522580002433
