condition,stream,mode,level,base_key,rl_seed,host_accuracy,host_macro_f1,poison_admission_rate,clean_withhold_rate,resets,training_visits,seconds,malicious_recall,roc_auc
RBF_I__base_s0__clean__none__anone,RBF_I,clean,none,RBF_I__base_s0,17.0,-0.012390615091946722,-0.011803560484810793,,0.10843373493975908,0.0,0.0,-0.7864721002988375,,
RBF_I__base_s0__clean__none__anone,RBF_I,clean,none,RBF_I__base_s0,27.0,0.0,0.0,,0.0,0.0,0.0,1.2365500999148935,,
RBF_I__base_s0__clean__none__anone,RBF_I,clean,none,RBF_I__base_s0,7.0,-0.0014373282604099868,-0.0016020304340310654,,-0.04016064257028118,-25.0,0.0,0.8231399999931455,,
RBF_I__base_s0__concept__moderate__a0,RBF_I,concept,moderate,RBF_I__base_s0,17.0,-0.004045923470834989,-0.004220335272283604,-0.3424607520993063,0.0811473900558865,8.0,0.0,-10.09285079990515,,
RBF_I__base_s0__concept__moderate__a0,RBF_I,concept,moderate,RBF_I__base_s0,27.0,0.0025877985299314066,0.0023016540910663075,0.0488948802201814,-0.010246686871401456,-18.0,0.0,0.18795670010148768,,
RBF_I__base_s0__concept__moderate__a0,RBF_I,concept,moderate,RBF_I__base_s0,7.0,0.0029660152381520977,0.002648973753370698,0.04139635464936675,-0.03521396614960465,-35.0,0.0,1.8092247999738902,,
RBF_I__base_s0__concept__severe__a0,RBF_I,concept,severe,RBF_I__base_s0,17.0,-0.06774800002258263,-0.068533193132855,-0.1572455109974253,0.07060470735686819,12.0,0.0,-33.681317400187254,,
RBF_I__base_s0__concept__severe__a0,RBF_I,concept,severe,RBF_I__base_s0,27.0,0.0016711173338903595,0.0016069280798322039,0.14304225636538048,-0.027099200009033098,-7.0,0.0,1.6429091000463742,,
RBF_I__base_s0__concept__severe__a0,RBF_I,concept,severe,RBF_I__base_s0,7.0,0.000118559000039542,-2.4174031600265877e-05,0.2129310199754304,-0.07337672969112563,-19.0,0.0,1.4853369002230465,,
RBF_I__base_s0__instance__moderate__a0,RBF_I,instance,moderate,RBF_I__base_s0,17.0,-0.00817586134009729,-0.008398844879066392,-0.010701645974945273,0.007559169536397514,1.0,0.0,-15.454501999774948,,
RBF_I__base_s0__instance__moderate__a0,RBF_I,instance,moderate,RBF_I__base_s0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03771519986912608,,
RBF_I__base_s0__instance__moderate__a0,RBF_I,instance,moderate,RBF_I__base_s0,7.0,0.0025406890720777175,0.002810185549315225,-0.008847817538340519,0.007887612715727466,-32.0,0.0,0.7837043998297304,,
RBF_I__base_s0__instance__severe__a0,RBF_I,instance,severe,RBF_I__base_s0,17.0,-0.0066074825618263056,-0.005654796788665872,-0.05609460278956946,0.056268553948957606,1.0,0.0,-16.52559330011718,,
RBF_I__base_s0__instance__severe__a0,RBF_I,instance,severe,RBF_I__base_s0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06265959981828928,,
RBF_I__base_s0__instance__severe__a0,RBF_I,instance,severe,RBF_I__base_s0,7.0,0.0011414077362079666,0.0009077571084965541,0.017064214001751954,-0.021090831104037477,-28.0,0.0,-0.8213263000361621,,
RBF_I__base_s0__splice__moderate__a0,RBF_I,splice,moderate,RBF_I__base_s0,17.0,-0.06493487101125384,-0.06551624191929906,-0.2656210544036362,0.03799232488340498,18.0,0.0,-30.524222099920735,,
RBF_I__base_s0__splice__moderate__a0,RBF_I,splice,moderate,RBF_I__base_s0,27.0,0.0022746616627428162,0.0021468102742933093,0.0640273841923627,-0.0122841684543748,-13.0,0.0,-1.9404641999863088,,
RBF_I__base_s0__splice__moderate__a0,RBF_I,splice,moderate,RBF_I__base_s0,7.0,0.0029416302903304548,0.0025892766062561856,0.07544681686821358,-0.0244439024633043,-37.0,0.0,-0.9184371998999268,,
RBF_I__base_s0__splice__severe__a0,RBF_I,splice,severe,RBF_I__base_s0,17.0,-0.05514269902759117,-0.05575261896326966,-0.2688012915377372,0.0760421490123443,5.0,0.0,-21.378881599986926,,
RBF_I__base_s0__splice__severe__a0,RBF_I,splice,severe,RBF_I__base_s0,27.0,-0.0009938673864675618,-0.000994663973502119,0.09762209067671199,-0.020865568142032664,-4.0,0.0,-0.032762399874620485,,
RBF_I__base_s0__splice__severe__a0,RBF_I,splice,severe,RBF_I__base_s0,7.0,-0.001496448053488142,-0.001580146295906748,0.1667227229920624,-0.05667302892379977,-25.0,0.0,0.008095599943771958,,
RBF_I__base_s1__clean__none__anone,RBF_I,clean,none,RBF_I__base_s1,17.0,-0.035666878038469685,-0.036979201597873934,,0.12449799196787151,2.0,0.0,-41.707163699902594,,
RBF_I__base_s1__clean__none__anone,RBF_I,clean,none,RBF_I__base_s1,27.0,0.0,0.0,,0.0,0.0,0.0,-1.1924862002488226,,
RBF_I__base_s1__clean__none__anone,RBF_I,clean,none,RBF_I__base_s1,7.0,0.0001733248784612229,0.0004580106729245026,,0.020080321285140534,-36.0,0.0,0.03485900000669062,,
RBF_I__base_s1__concept__moderate__a1,RBF_I,concept,moderate,RBF_I__base_s1,17.0,-0.03889894929555038,-0.04101187564033559,-0.3000393900174442,0.2068872880681366,16.0,0.0,-29.798041600035504,,
RBF_I__base_s1__concept__moderate__a1,RBF_I,concept,moderate,RBF_I__base_s1,27.0,0.00022387168669901758,0.0005894540164289586,0.13347588768217883,-0.014208389715832104,-12.0,0.0,0.7933839999605041,,
RBF_I__base_s1__concept__moderate__a1,RBF_I,concept,moderate,RBF_I__base_s1,7.0,0.00022387168669901758,0.000824391327246099,0.13809014686849358,-0.01811868184350862,-39.0,0.0,1.5485676999669522,,
RBF_I__base_s1__concept__severe__a1,RBF_I,concept,severe,RBF_I__base_s1,17.0,-0.023533926666704286,-0.024033774987597067,-0.19813339173503602,0.1480831419203007,15.0,0.0,-24.793948900187388,,
RBF_I__base_s1__concept__severe__a1,RBF_I,concept,severe,RBF_I__base_s1,27.0,-0.0009876348121519163,-0.0009001427099994963,0.1912599605788507,-0.05924115784661754,-1.0,0.0,2.5742189998272806,,
RBF_I__base_s1__concept__severe__a1,RBF_I,concept,severe,RBF_I__base_s1,7.0,-1.1287254996106277e-05,0.0007447724054006066,0.18578480095688937,-0.05571389066036092,-25.0,0.0,1.6074161999858916,,
RBF_I__base_s1__instance__moderate__a1,RBF_I,instance,moderate,RBF_I__base_s1,17.0,-0.002236313675755608,-0.0021953270447965245,-0.0156206180941163,0.02087191127571042,0.0,0.0,-0.984571099979803,,
RBF_I__base_s1__instance__moderate__a1,RBF_I,instance,moderate,RBF_I__base_s1,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3617902998812568,,
RBF_I__base_s1__instance__moderate__a1,RBF_I,instance,moderate,RBF_I__base_s1,7.0,0.0030860283238216546,0.0029164198357646276,0.00844130349430705,-0.007959500627202631,-31.0,0.0,2.0439208999741822,,
RBF_I__base_s1__instance__severe__a1,RBF_I,instance,severe,RBF_I__base_s1,17.0,-0.008526738533079725,-0.012374506949564879,-0.11467920838811907,0.11706389509558313,1.0,0.0,-16.675316500244662,,
RBF_I__base_s1__instance__severe__a1,RBF_I,instance,severe,RBF_I__base_s1,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8210691998247128,,
RBF_I__base_s1__instance__severe__a1,RBF_I,instance,severe,RBF_I__base_s1,7.0,0.0050517860917354,0.004821698305593536,0.009726576986615498,-0.0074649603900061035,-25.0,0.0,-0.4141981001012027,,
RBF_I__base_s1__splice__moderate__a1,RBF_I,splice,moderate,RBF_I__base_s1,17.0,-0.06686243280907833,-0.0700206623856916,-0.18492843109738988,0.05231435397173001,20.0,0.0,-32.80822200002149,,
RBF_I__base_s1__splice__moderate__a1,RBF_I,splice,moderate,RBF_I__base_s1,27.0,0.0019211626518017555,0.002274044968728961,0.12029188885770425,-0.021222377065498788,-15.0,0.0,0.7014969999436289,,
RBF_I__base_s1__splice__moderate__a1,RBF_I,splice,moderate,RBF_I__base_s1,7.0,0.00011447342225756607,0.0005402171546861068,0.13620544484984565,0.005240891897272504,-41.0,0.0,1.1930724999401718,,
RBF_I__base_s1__splice__severe__a1,RBF_I,splice,severe,RBF_I__base_s1,17.0,0.0034312286959073957,0.0038205656557208645,-0.38802776560973146,0.1488126142802321,5.0,0.0,-21.06207759981045,,
RBF_I__base_s1__splice__severe__a1,RBF_I,splice,severe,RBF_I__base_s1,27.0,0.007347795661301615,0.007781625130051761,-0.050426256023182986,0.009915573714982251,-18.0,0.0,0.42401539999990945,,
RBF_I__base_s1__splice__severe__a1,RBF_I,splice,severe,RBF_I__base_s1,7.0,0.007866994740287625,0.009068381634893652,-0.07740000673922567,0.06521591909523916,-54.0,0.0,1.0004454001318592,,
RBF_I__base_s2__clean__none__anone,RBF_I,clean,none,RBF_I__base_s2,17.0,0.005094060452335625,0.005304860312749904,,0.0441767068273092,1.0,0.0,-8.595586400013417,,
RBF_I__base_s2__clean__none__anone,RBF_I,clean,none,RBF_I__base_s2,27.0,0.0,0.0,,0.0,0.0,0.0,0.060289000160992146,,
RBF_I__base_s2__clean__none__anone,RBF_I,clean,none,RBF_I__base_s2,7.0,0.001847389558232937,0.0015079274159449652,,-0.01606425702811254,-29.0,0.0,1.769246500218287,,
RBF_I__base_s2__concept__moderate__a2,RBF_I,concept,moderate,RBF_I__base_s2,17.0,-0.07115403763815598,-0.0727112341176297,-0.4303446343513589,0.2215025390819477,13.0,0.0,-38.64060729998164,,
