condition,cohort_attack_seed,host_rows,new_accuracy,archived_accuracy,accuracy_difference,new_macro_f1,archived_macro_f1,macro_f1_difference
RBF_I__base_s0__clean__none__anone,0,147079,0.6865766016902481,0.6865698026230801,6.7990671680506765e-06,0.6858776812261076,0.685871383758949,6.297467158633552e-06
RBF_I__base_s0__instance__moderate__a0,0,147079,0.6369774066998007,0.6379836686406625,-0.0010062619408617302,0.6379359751768476,0.6389632203780309,-0.0010272452011832467
RBF_I__base_s0__instance__severe__a0,0,147079,0.6208976128475173,0.6152543870980901,0.0056432257494272164,0.6220352989774418,0.6157093419013144,0.006325957076127375
RBF_I__base_s0__concept__moderate__a0,0,147079,0.6434025251735462,0.6434093242407142,-6.799067167939654e-06,0.643640862377301,0.6436478878261711,-7.025448870101592e-06
RBF_I__base_s0__concept__severe__a0,0,147079,0.6512826440212403,0.6504395596924102,0.0008430843288300682,0.651522929781571,0.6506717440649455,0.0008511857166254577
RBF_I__base_s0__splice__moderate__a0,0,147079,0.66022341734714,0.6603050061531558,-8.158880601583096e-05,0.660402718532138,0.6604854586436506,-8.274011151265803e-05
RBF_I__base_s0__splice__severe__a0,0,147079,0.645653016406149,0.645680212674821,-2.719626867198066e-05,0.6457536971925714,0.6457809767557567,-2.7279563185378386e-05
RBF_I__base_s1__clean__none__anone,1,147293,0.6928163592295629,0.6929249862518925,-0.00010862702232961041,0.6909922061826966,0.6911055462502433,-0.00011334006754670778
RBF_I__base_s1__instance__moderate__a1,1,147293,0.6571459607720666,0.6579402958728521,-0.0007943351007855259,0.6538821603924101,0.6547343827822396,-0.0008522223898295156
RBF_I__base_s1__instance__severe__a1,1,147293,0.6245374865064871,0.6244763838064267,6.110270006043361e-05,0.6207995043777705,0.6207173418535405,8.216252422998949e-05
RBF_I__base_s1__concept__moderate__a1,1,147293,0.6751237329676224,0.6750083167563972,0.00011541621122523882,0.6729869542705826,0.6728906215182,9.633275238263295e-05
RBF_I__base_s1__concept__severe__a1,1,147293,0.6777172031257426,0.677914089603715,-0.00019688647797244663,0.674505464645292,0.6747172906077991,-0.00021182596250701735
RBF_I__base_s1__splice__moderate__a1,1,147293,0.6758433869905562,0.6757687059127047,7.46810778515794e-05,0.6747120512506869,0.674634442020731,7.760922995592168e-05
RBF_I__base_s1__splice__severe__a1,1,147293,0.6639826739899384,0.664878846924158,-0.000896172934219619,0.6619051440395213,0.6628669051011103,-0.0009617610615890726
RBF_I__base_s2__clean__none__anone,2,146713,0.6484224301868273,0.6407339499567182,0.0076884802301091515,0.647262920522633,0.6395880578985236,0.007674862624109435
RBF_I__base_s2__instance__moderate__a2,2,146713,0.6402431958994772,0.6402363798709044,6.816028572775856e-06,0.6398807799849049,0.6398856021971304,-4.8222122255303645e-06
RBF_I__base_s2__instance__severe__a2,2,146713,0.6323774989264755,0.6323638668693299,1.3632057145662735e-05,0.6320994180001451,0.632086499148347,1.2918851798104924e-05
RBF_I__base_s2__concept__moderate__a2,2,146713,0.624143736410543,0.6241164722962519,2.7264114291103425e-05,0.6231049034636713,0.6230850674647884,1.9835998882888894e-05
RBF_I__base_s2__concept__severe__a2,2,146713,0.6492880658155719,0.6465207582150184,0.002767307600553437,0.6477217789243422,0.6454485455157375,0.0022732334086047468
RBF_I__base_s2__splice__moderate__a2,2,146713,0.6176276130949541,0.6176276130949541,0.0,0.6160598518661846,0.6160571561329997,2.6957331848986854e-06
RBF_I__base_s2__splice__severe__a2,2,146713,0.6517009399303402,0.650985256930197,0.0007156830001431302,0.6502981203006437,0.6496007788941791,0.0006973414064646022
SEA_A__base_s0__clean__none__anone,0,97326,0.9031296878531945,0.9000472638349465,0.0030824240182479867,0.8930057812313363,0.8893041005117367,0.0037016807195996426
SEA_A__base_s0__instance__moderate__a0,0,97326,0.8951359348992047,0.8945091753488277,0.000626759550377054,0.8840955451499926,0.8834705050337799,0.0006250401162126717
SEA_A__base_s0__instance__severe__a0,0,97326,0.8965127509606888,0.8961634095719541,0.0003493413887347696,0.8851062361064533,0.8846935111775975,0.00041272492885580103
SEA_A__base_s0__concept__moderate__a0,0,97326,0.8994410537780244,0.8980642377165403,0.0013768160614840985,0.8890159547442013,0.8875135975060655,0.001502357238135743
SEA_A__base_s0__concept__severe__a0,0,97326,0.8949818136982923,0.8969648398166985,-0.0019830261184061726,0.8833704805554031,0.8859146235696768,-0.0025441430142736365
SEA_A__base_s0__splice__moderate__a0,0,97326,0.8990917123892896,0.8992561083369295,-0.00016439594763983933,0.8889507939235683,0.8891725724282125,-0.00022177850464411009
SEA_A__base_s0__splice__severe__a0,0,97326,0.9018864434991678,0.901454904136613,0.0004315393625548003,0.8922766930070478,0.8917985110965847,0.00047818191046311576
SEA_A__base_s1__clean__none__anone,1,98286,0.9012779032619092,0.9038215005188939,-0.00254359725698472,0.8909832931629438,0.8940236165102907,-0.0030403233473469404
SEA_A__base_s1__instance__moderate__a1,1,98286,0.8999247095211933,0.899456687625908,0.0004680218952852755,0.8893533595762472,0.8888204303306817,0.0005329292455654722
SEA_A__base_s1__instance__severe__a1,1,98286,0.899304071790489,0.8993142461795169,-1.0174389027950426e-05,0.888462281634564,0.8884743351961364,-1.2053561572411553e-05
SEA_A__base_s1__concept__moderate__a1,1,98286,0.898968316952567,0.897299717151985,0.0016685998005819824,0.8884228480882248,0.8863957134258835,0.002027134662341279
SEA_A__base_s1__concept__severe__a1,1,98286,0.9052662637608612,0.9052459149828053,2.034877805590085e-05,0.895575655472085,0.8955489424540983,2.6713017986623733e-05
SEA_A__base_s1__splice__moderate__a1,1,98286,0.8981848889974157,0.8964247196955822,0.0017601693018334252,0.8877745054224189,0.8855424810955421,0.002232024326876747
SEA_A__base_s1__splice__severe__a1,1,98286,0.9038723724640335,0.9038723724640335,0.0,0.8943438282685794,0.8943438282685794,0.0
SEA_A__base_s2__clean__none__anone,2,98130,0.9012534393151941,0.9015897279119536,-0.0003362885967594931,0.8910413189929364,0.8913951813594141,-0.0003538623664777196
SEA_A__base_s2__instance__moderate__a2,2,98130,0.8980637929277488,0.8973504534800775,0.0007133394476713795,0.8874434072786814,0.886607097823302,0.0008363094553793804
SEA_A__base_s2__instance__severe__a2,2,98130,0.9037399368185061,0.9027004993376133,0.0010394374808927465,0.8936601487026383,0.8924251997390081,0.0012349489636301891
SEA_A__base_s2__concept__moderate__a2,2,98130,0.9019463976357892,0.9070824416590237,-0.005136044023234532,0.8919202411569596,0.8979003377653989,-0.005980096608439345
SEA_A__base_s2__concept__severe__a2,2,98130,0.9031081218791399,0.902241923978396,0.0008661979007439369,0.8932387065371346,0.892183190377573,0.0010555161595615647
SEA_A__base_s2__splice__moderate__a2,2,98130,0.9012840110058086,0.9002241923978396,0.0010598186079689986,0.890826407081849,0.8895508391933014,0.0012755678885476573
SEA_A__base_s2__splice__severe__a2,2,98130,0.9035157444206665,0.9028125955365331,0.0007031488841333644,0.8941609489460768,0.8931762366899864,0.0009847122560904253
radar__clean__none__anone,0,186302,0.6582645382228854,0.658269905851789,-5.367628903574229e-06,0.4807039595135765,0.48071781655611634,-1.3857042539866526e-05
radar__instance__moderate__a0,0,186302,0.6833582033472534,0.6839164367532287,-0.0005582334059752725,0.5011794661396967,0.5014248391348928,-0.00024537299519611366
radar__instance__severe__a0,0,186302,0.6239546542710224,0.6203100342454724,0.003644620025549994,0.38310537679901047,0.37745613329917477,0.005649243499835699
radar__concept__moderate__a0,0,186302,0.6330903586649633,0.6330903586649633,0.0,0.43417556412050007,0.43417556412050007,0.0
radar__concept__severe__a0,0,186302,0.6582913763674034,0.6580766712112591,0.0002147051561443014,0.4562036451682695,0.44934328436713245,0.006860360801137055
radar__splice__moderate__a0,0,186302,0.6823437214844714,0.6820592371525802,0.0002844843318912105,0.4836109922409998,0.4833776549466635,0.0002333372943362777
radar__splice__severe__a0,0,186302,0.6992624877886442,0.6992624877886442,0.0,0.49038691400560314,0.49038691400560314,0.0
radar__clean__none__anone,1,186081,0.6599545359279023,0.6599652839354905,-1.0748007588157193e-05,0.4754338818346241,0.4754531617626737,-1.927992804962031e-05
radar__instance__moderate__a1,1,186081,0.6272752188563046,0.6276943911522401,-0.00041917229593557703,0.40610555610928034,0.405918867884757,0.00018668822452333478
radar__instance__severe__a1,1,186081,0.6615129970281759,0.6497170587002434,0.011795938327932465,0.4828256377510409,0.46014436739754694,0.022681270353493987
radar__concept__moderate__a1,1,186081,0.6504479232162338,0.6463260623061999,0.004121860910033859,0.46057585547871893,0.4552753275101303,0.005300527968588653
radar__concept__severe__a1,1,186081,0.6668386347880761,0.6668386347880761,0.0,0.4532183672614697,0.45321808234106803,2.8492040166083754e-07
radar__splice__moderate__a1,1,186081,0.7009420628650964,0.7011301529978881,-0.00018809013279164066,0.5082963552963555,0.5079254187679558,0.00037093652839970126
radar__splice__severe__a1,1,186081,0.6710572277664028,0.6696868567989209,0.0013703709674818265,0.45490396260643323,0.44395432079676,0.010949641809673227
radar__clean__none__anone,2,191161,0.644231825529266,0.6442265943367109,5.231192555021913e-06,0.4661862182764506,0.46617500750422813,1.1210772222491894e-05
radar__instance__moderate__a2,2,191161,0.6303168533330543,0.6302959285628345,2.0924770219865607e-05,0.43772078223470434,0.4376873462031784,3.343603152594632e-05
radar__instance__severe__a2,2,191161,0.6001799530238908,0.6002061089866657,-2.615596277488752e-05,0.4062421627101289,0.4062528705565154,-1.0707846386459607e-05
radar__concept__moderate__a2,2,191161,0.6488718933255214,0.6488718933255214,0.0,0.4614113004665329,0.4614113004665329,0.0
radar__concept__severe__a2,2,191161,0.631321242303608,0.637462662363139,-0.006141420059531,0.4322766805522995,0.4378750182385013,-0.005598337686201771
radar__splice__moderate__a2,2,191161,0.6991174978159771,0.7064516297780405,-0.00733413196206345,0.5223727704956185,0.529055256600629,-0.006682486105010543
radar__splice__severe__a2,2,191161,0.6865626356840568,0.6865626356840568,0.0,0.4950376777323181,0.4950376777323181,0.0
