condition,stream,mode,level,base_key,attack_seed,detector,filter,activation_row,host_rows,accuracy_confirmed,accuracy_no_reset,accuracy_difference,macro_f1_confirmed,macro_f1_no_reset,macro_f1_difference,macro_precision_confirmed,macro_precision_no_reset,macro_precision_difference,macro_recall_confirmed,macro_recall_no_reset,macro_recall_difference,roc_auc_confirmed,roc_auc_no_reset,roc_auc_difference,average_precision_confirmed,average_precision_no_reset,average_precision_difference,malicious_precision_confirmed,malicious_precision_no_reset,malicious_precision_difference,malicious_recall_confirmed,malicious_recall_no_reset,malicious_recall_difference,benign_fpr_confirmed,benign_fpr_no_reset,benign_fpr_difference,poison_admission_rate_confirmed,poison_admission_rate_no_reset,poison_admission_rate_difference,legitimate_withhold_rate_confirmed,legitimate_withhold_rate_no_reset,legitimate_withhold_rate_difference
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,adwin,none,1000,236550,0.9259015007398012,0.9053181145635172,0.02058338617628397,0.9192386532945848,0.8955715149536629,0.023667138340921823,0.9264813506800184,0.909313540764608,0.017167809915410337,0.9134317584602988,0.8861752418735733,0.027256516586725454,0.9360244310802134,0.9303900277837996,0.005634403296413737,0.9224634195172402,0.9150041328618804,0.007459286655359776,,,,,,,,,,,,,0.1365461847389558,0.0803212851405622,0.05622489959839359
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,hddm_w,none,1000,236550,0.92430775734517,0.9053181145635172,0.018989642781652827,0.9178996275798276,0.8955715149536629,0.02232811262616463,0.92252698231416,0.909313540764608,0.013213441549551952,0.9139326870922824,0.8861752418735733,0.027757445218709043,0.935552248380228,0.9303900277837996,0.005162220596428346,0.9210045014402948,0.9150041328618804,0.00600036857841435,,,,,,,,,,,,,0.1004016064257028,0.0803212851405622,0.02008032128514059
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,hellinger,none,1000,236550,0.914846755442824,0.9053181145635172,0.009528640879306827,0.906609416564458,0.8955715149536629,0.011037901610795098,0.9172034578683494,0.909313540764608,0.007889917103741428,0.8988082685701816,0.8861752418735733,0.012633026696608263,0.9326950394286216,0.9303900277837996,0.002305011644821997,0.9189349100784848,0.9150041328618804,0.0039307772166043975,,,,,,,,,,,,,0.1405622489959839,0.0803212851405622,0.0602409638554217
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,d3_oof,none,1000,236550,0.9139082646374972,0.9053181145635172,0.008590150073980007,0.9051751786298288,0.8955715149536629,0.00960366367616583,0.91835845343198,0.909313540764608,0.009044912667371952,0.8959726554335833,0.8861752418735733,0.00979741356000996,0.9325905368462264,0.9303900277837996,0.0022005090624267476,0.9185818607713032,0.9150041328618804,0.00357772790942279,,,,,,,,,,,,,0.1365461847389558,0.0803212851405622,0.05622489959839359
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,adwin,learned_features,1000,236550,0.9244430352990912,0.9029422954977806,0.02150073980131062,0.9175863069509668,0.893066587470421,0.024519719480545765,0.9252289797894088,0.906058464457981,0.019170515331427773,0.9115234688025264,0.8840764550899822,0.02744701371254421,0.935095668660904,0.9300325735252002,0.005063095135703799,0.9196630840677624,0.9134855129239008,0.006177571143861638,,,,,,,,,,,,,0.1676432043965335,0.1331684633269921,0.034474741069541404
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,hddm_w,learned_features,1000,236550,0.9214880574931305,0.9029422954977806,0.018545761995349852,0.9148962703525584,0.893066587470421,0.02182968288213738,0.919163115146388,0.906058464457981,0.013104650688407049,0.9112058723047668,0.8840764550899822,0.027129417214784568,0.9346140748847984,0.9300325735252002,0.004581501359598228,0.9184287140002853,0.9134855129239008,0.0049432010763844625,,,,,,,,,,,,,0.1409427182413866,0.1331684633269921,0.007774254914394513
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,hellinger,learned_features,1000,236550,0.913980131050518,0.9029422954977806,0.011037835552737407,0.905192341922436,0.893066587470421,0.012125754452015025,0.9187905108421875,0.906058464457981,0.012732046384206552,0.8957746088412226,0.8840764550899822,0.011698153751240392,0.9330487886822588,0.9300325735252002,0.0030162151570586326,0.9194272764632898,0.9134855129239008,0.005941763539389022,,,,,,,,,,,,,0.1406256605368843,0.1331684633269921,0.0074571972098922135
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,d3_oof,learned_features,1000,236550,0.9135066582117946,0.9029422954977806,0.010564362714013953,0.9046515541960716,0.893066587470421,0.01158496672565057,0.9183593416334428,0.906058464457981,0.0123008771754618,0.8951827135748369,0.8840764550899822,0.011106258484854692,0.932721066935416,0.9300325735252002,0.0026884934102158198,0.9179891408980494,0.9134855129239008,0.004503627974148605,,,,,,,,,,,,,0.1601141407736208,0.1331684633269921,0.026945677446628707
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,adwin,learned_features_label,1000,236550,0.9265017966603256,0.8967533291058972,0.029748467554428393,0.9200699592249708,0.8854843297695388,0.03458562945543198,0.926107965992116,0.9024731895460598,0.02363477644605616,0.9150796684480658,0.8746679123743,0.04041175607376579,0.9342350185542604,0.9273699313912992,0.006865087162961192,0.9212470982742268,0.9125062557805655,0.00874084249366125,,,,,,,,,,,,,0.1334432466708941,0.1373155781018812,-0.003872331430987086
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,hddm_w,learned_features_label,1000,236550,0.8967533291058972,0.8967533291058972,0.0,0.8854843297695388,0.8854843297695388,0.0,0.9024731895460598,0.9024731895460598,0.0,0.8746679123743,0.8746679123743,0.0,0.9273699313912992,0.9273699313912992,0.0,0.9125062557805655,0.9125062557805655,0.0,,,,,,,,,,,,,0.1373155781018812,0.1373155781018812,0.0
