stream,filter,population,accuracy_difference,macro_f1_difference,macro_precision_difference,macro_recall_difference,roc_auc_difference,average_precision_difference,malicious_precision_difference,malicious_recall_difference,benign_fpr_difference,poison_admission_rate_difference,legitimate_withhold_rate_difference
RBF_I,learned_features,attacked,-0.004847383876177324,-0.005171034535480327,-0.004626487842339877,-0.0052802929238703515,-0.0031315612228605995,-0.005038861725671935,,,,-0.03610048963520641,0.026768479021819298
RBF_I,learned_features,clean,-0.02127527654477564,-0.021581769829922475,-0.020702726489055245,-0.022088751202928525,-0.009529490530931365,-0.02098408937773318,,,,,0.06500246600436839
RBF_I,learned_features_label,attacked,-0.004784787617717945,-0.00565409588101037,-0.0032652232709665598,-0.005186913707681534,-0.004147965179008524,-0.006708662467165018,,,,-0.03411993438251607,0.013977550052320644
RBF_I,learned_features_label,clean,-0.012665398435848721,-0.01286107273025546,-0.011675638821878387,-0.012868826325055482,-0.006395134508031568,-0.015439325624652852,,,,,0.045550623546818846
SEA_A,learned_features,attacked,-0.0011392651725234588,-0.0013104608228801478,-0.0010473289250635953,-0.0014209605568564273,-0.0006703919960463181,-0.0008028590602358979,,,,-0.03373724423782364,0.03994486507586647
SEA_A,learned_features,clean,-0.0013837807369830128,-0.0016049928167589655,-0.0011899647289239645,-0.0017868791029593083,-0.00019814882549370102,-0.0001028773521526416,,,,,0.04164306348199815
SEA_A,learned_features_label,attacked,0.0003970309905370617,0.0005675970040448323,-0.00014990659763140945,0.0009004472725956331,0.00134279910503667,0.002403436122167159,,,,-0.3289284064995087,0.005166050280872389
SEA_A,learned_features_label,clean,-0.0007693933629254746,-0.0010370887871271977,-7.117598685072817e-05,-0.0014637424944924,-0.0026194328097114417,-0.0009122498819230292,,,,,0.032451208342140485
radar,learned_features,attacked,-0.0015983564690623799,-0.003939389931181131,5.9915863024573184e-05,-0.006667844688077113,0.0017701545107159688,0.0040586580090745915,0.002688292019325168,0.0029522618254493563,-0.000961715794239915,-0.19843014040913323,0.0009228156534515979
radar,learned_features,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0903537795798925e-05
radar,learned_features_label,attacked,0.0012651215899902896,-0.00404976996193645,0.0004915207683159711,-0.004922852708820004,0.007496516670280773,0.009277936332016177,0.00745271718768364,0.008902350888631406,-0.0020948429075063756,-0.4098887217444515,-0.009086721055038672
radar,learned_features_label,clean,0.005723191366755809,0.016757904871347096,0.036583648504220245,0.0019969555306237896,-0.001255983085271195,0.018440830576916256,0.009715143858817887,0.007261948869951906,-0.004820158762985,,0.021699450968985193
