condition,stream,mode,level,base_key,attack_seed,activation_row,host_rows,detector,filter,accuracy,macro_precision,macro_recall,macro_f1,malicious_precision,malicious_recall,benign_fpr,roc_auc,average_precision,poison_admission_rate,legitimate_withhold_rate,filter_poison_recall,filter_legitimate_rejection,filter_rows_withheld,rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,scored_resets,source_summary_sha256,source_predictions_sha256,scoring_mask_sha256,withholding_mask_sha256,reused_frozen_inference,stream_no_filter,mode_no_filter,level_no_filter,base_key_no_filter,attack_seed_no_filter,activation_row_no_filter,host_rows_no_filter,detector_no_filter,filter_no_filter,accuracy_no_filter,macro_precision_no_filter,macro_recall_no_filter,macro_f1_no_filter,malicious_precision_no_filter,malicious_recall_no_filter,benign_fpr_no_filter,roc_auc_no_filter,average_precision_no_filter,poison_admission_rate_no_filter,legitimate_withhold_rate_no_filter,filter_poison_recall_no_filter,filter_legitimate_rejection_no_filter,filter_rows_withheld_no_filter,rows_no_filter,training_visits_no_filter,accepted_training_visits_no_filter,accepted_refit_rows_no_filter,resets_no_filter,seconds_no_filter,pending_candidate_no_filter,audit_rows_reserved_no_filter,policy_no_filter,guarded_no_filter,scored_resets_no_filter,source_summary_sha256_no_filter,source_predictions_sha256_no_filter,scoring_mask_sha256_no_filter,withholding_mask_sha256_no_filter,reused_frozen_inference_no_filter,accuracy_difference,macro_f1_difference,macro_precision_difference,macro_recall_difference,roc_auc_difference,average_precision_difference,malicious_precision_difference,malicious_recall_difference,benign_fpr_difference,poison_admission_rate_difference,legitimate_withhold_rate_difference
RBF_I__base_s0__clean__none__anone,RBF_I,clean,none,RBF_I__base_s0,,1000,236550,none,learned_features,0.662291270344536,0.6634982800681795,0.6624586688471455,0.6623393113805889,,,,0.8620903863632525,0.7128958917822081,,0.2624899598393574,,0.0437032339885859,10338,250000,227162,175408,0,0,16.43582829199977,False,12500,none,True,0,e4f4890d5b4d312fe54bbb9293a26e736934385c55f6a0ecbeac02cf483cd8d5,d38fa07f64112cd96c74bdf8e7b6ac1fd5a4b5cb3b8598af6aaaa40f8b14f3be,b61cf91a5a4c7105c4a6d421ece35a654eca4202ce022c2e365610a4ec0a679e,2dc240baeff59391a331b466fa4e30a173c7cbe966f6fd726af016f731d4fad2,True,RBF_I,clean,none,RBF_I__base_s0,,1000,236550,none,none,0.6974339463115621,0.6985569310245472,0.6972013033800705,0.6973271354988523,,,,0.8805748379841987,0.7552508483407172,,0.180722891566265,,0.0,0,250000,237500,194750,0,0,16.84035962500002,False,12500,none,True,0,25ca7ec02aa54a090c66196a74a490cbd848f4a84a4e70799341db89fa23307b,29d909847b5de9e840c53186a9512376d8c124eb9280b74f6cfc97f6a0deba3f,b61cf91a5a4c7105c4a6d421ece35a654eca4202ce022c2e365610a4ec0a679e,2a60e85386d2ea13abc91fa6589fa30195be596086698e19b8089566b7c5807e,True,-0.03514267596702603,-0.0349878241182634,-0.03505865095636773,-0.03474263453292492,-0.01848445162094614,-0.04235495655850907,,,,,0.08176706827309241
RBF_I__base_s0__clean__none__anone,RBF_I,clean,none,RBF_I__base_s0,,1000,236550,none,learned_features_label,0.6669203128302684,0.6694033098103664,0.6666973600261611,0.6671069147329354,,,,0.865519631569867,0.7214174680526008,,0.2793532022828154,,0.0146987951807228,3477,250000,234023,171419,0,0,17.031978374999653,False,12500,none,True,0,820915c6746a80fa086ff5cd8a99e68208537e4c2a070112b7226b6e90c5d5f2,2b72ede6dfc78a6ffc01a9277110460044bb63493bbb23fb999bbcfd014ef0eb,b61cf91a5a4c7105c4a6d421ece35a654eca4202ce022c2e365610a4ec0a679e,f6dba7b38040b1a6e4d0f8a7be8b2a6e1e89cab4462fab3234776ad68b51f92d,True,RBF_I,clean,none,RBF_I__base_s0,,1000,236550,none,none,0.6974339463115621,0.6985569310245472,0.6972013033800705,0.6973271354988523,,,,0.8805748379841987,0.7552508483407172,,0.180722891566265,,0.0,0,250000,237500,194750,0,0,16.84035962500002,False,12500,none,True,0,25ca7ec02aa54a090c66196a74a490cbd848f4a84a4e70799341db89fa23307b,29d909847b5de9e840c53186a9512376d8c124eb9280b74f6cfc97f6a0deba3f,b61cf91a5a4c7105c4a6d421ece35a654eca4202ce022c2e365610a4ec0a679e,2a60e85386d2ea13abc91fa6589fa30195be596086698e19b8089566b7c5807e,True,-0.030513633481293656,-0.030220220765916905,-0.029153621214180747,-0.03050394335390938,-0.015055206414331668,-0.033833380288116444,,,,,0.0986303107165504
RBF_I__base_s0__concept__moderate__a0,RBF_I,concept,moderate,RBF_I__base_s0,0.0,1000,200943,none,learned_features,0.6634717307893283,0.6661535006446235,0.66292780114125,0.6635432309072249,,,,0.8607482834632565,0.7141820131204267,0.7062375375628388,0.2418297726220868,0.0598196983739152,0.0446096654275092,11094,250000,226406,178446,0,0,17.023178083000403,False,12500,none,True,0,7a1242c8ce2d91d4c615e0adaa1270018f6e93b5e41bcc970e5b27ae5d9c8038,892c7f63872f9607d4487495233bdb69c645e076be8dd55ea2aa7bae1d0b57ee,ae055aefdbb131f32b89cf97ce811e21e2e8036ff0209f021f1f4e333ce60491,e56145ac466d9777e79be44a9de15c0861b8fec1b7c127a0c0b360d1be1353ec,True,RBF_I,concept,moderate,RBF_I__base_s0,0.0,1000,200943,none,none,0.65488223028421,0.6570616134355867,0.6547305279588205,0.6552955067038797,,,,0.8582154889658998,0.709315393097842,0.7118824950150251,0.2515190875024261,0.0,0.0,0,250000,237500,176700,0,0,16.74560141699976,False,12500,none,True,0,444a4d8803b067e30df1ef0b598dc721444210eda03cd11121ccf7c5e293c0de,c2ef0ac76b4c86920b9efde8c713adc7a851c9d064c4ed2f226afa4aae8b4392,ae055aefdbb131f32b89cf97ce811e21e2e8036ff0209f021f1f4e333ce60491,2a60e85386d2ea13abc91fa6589fa30195be596086698e19b8089566b7c5807e,True,0.008589500505118308,0.008247724203345186,0.009091887209036864,0.008197273182429576,0.0025327944973566607,0.004866620022584756,,,,-0.005644957452186294,-0.009689314880339278
RBF_I__base_s0__concept__moderate__a0,RBF_I,concept,moderate,RBF_I__base_s0,0.0,1000,200943,none,learned_features_label,0.6844030396679656,0.6857526933314141,0.684018415996064,0.6844609820110982,,,,0.8682476962699262,0.7274171024938834,0.7233409161120005,0.1985886544940605,0.0290111494930772,0.0148748650114709,4022,250000,233478,187744,0,0,17.693108250000023,False,12500,none,True,0,fe465e1a657f62f3f53b14e77cb708cd9f1441c4d7a7b910d4fdcb839c252378,abdff0a6666cc5a7bba90f52c3b0895725c07738bcf99dfb5aede670a67ded39,ae055aefdbb131f32b89cf97ce811e21e2e8036ff0209f021f1f4e333ce60491,de6edf53c92e6931601fb8cc93a107964f4f8a2611eb5a2dd4dde56cfbd96212,True,RBF_I,concept,moderate,RBF_I__base_s0,0.0,1000,200943,none,none,0.65488223028421,0.6570616134355867,0.6547305279588205,0.6552955067038797,,,,0.8582154889658998,0.709315393097842,0.7118824950150251,0.2515190875024261,0.0,0.0,0,250000,237500,176700,0,0,16.74560141699976,False,12500,none,True,0,444a4d8803b067e30df1ef0b598dc721444210eda03cd11121ccf7c5e293c0de,c2ef0ac76b4c86920b9efde8c713adc7a851c9d064c4ed2f226afa4aae8b4392,ae055aefdbb131f32b89cf97ce811e21e2e8036ff0209f021f1f4e333ce60491,2a60e85386d2ea13abc91fa6589fa30195be596086698e19b8089566b7c5807e,True,0.029520809383755564,0.02916547530721847,0.02869107989582742,0.02928788803724358,0.01003220730402632,0.018101709396041388,,,,0.011458421096975369,-0.052930433008365585
RBF_I__base_s0__concept__severe__a0,RBF_I,concept,severe,RBF_I__base_s0,0.0,1000,177127,none,learned_features,0.6334155718778052,0.6342733980768009,0.6341348086493652,0.6337606701369116,,,,0.8476102646105028,0.6930611629706661,0.7641653905053599,0.2109390437369797,0.0613735422311226,0.0448491760149497,11591,250000,225909,186123,0,0,16.36864129200012,False,12500,none,True,0,d7957d19384514949c6f9e839bfe6d16931c0198006d0dd773f2c38d3546d0a4,40014ddd9d73e5eb5f7e35a68f324130f8914171bffd945b59604f047ae05de7,3a35960c513518e216eaab718d5df4ecf5de0c1af10d5cb062d8533dfc33a6e2,a9e47f1c3ee5c9d4d8a96b16256f4bb567f68258c9cd3c8facd1219f0222fc1a,True,RBF_I,concept,severe,RBF_I__base_s0,0.0,1000,177127,none,none,0.6537230348845744,0.656359727031324,0.6541493886133649,0.6542198106032846,,,,0.8516734028605135,0.702110870481141,0.6348215337495583,0.2636526334212175,0.0,0.0,0,250000,237500,169100,0,0,16.43880608299969,False,12500,none,True,0,4eb129e5a479f0d00afea1d93890489ecdda1fd4cbf7592659fc9718e0265466,0f86cf84a992f2206770e4717de90cb433721c5d99e89a7514727c33a330dc8c,3a35960c513518e216eaab718d5df4ecf5de0c1af10d5cb062d8533dfc33a6e2,2a60e85386d2ea13abc91fa6589fa30195be596086698e19b8089566b7c5807e,True,-0.020307463006769222,-0.020459140466372983,-0.022086328954523005,-0.02001457996399969,-0.0040631382500107005,-0.009049707510474847,,,,0.12934385675580162,-0.05271358968423778
RBF_I__base_s0__concept__severe__a0,RBF_I,concept,severe,RBF_I__base_s0,0.0,1000,177127,none,learned_features_label,0.6558458055519486,0.6562067892216699,0.6556614622442873,0.6554125236035783,,,,0.8509933322145438,0.6957758501557642,0.7028591622772328,0.2251999977417333,0.030913955875671,0.015181197671727,4526,250000,232974,179954,0,0,15.690344665999874,False,12500,none,True,0,3a757579c316c4d8e93d6e78f1dc742adb1b4b7689a1daee2095f5a493c281a4,5cbf9af46bd1d95aab8542bd329982a1e0bc1b076f5f93d5233929a28d8310f1,3a35960c513518e216eaab718d5df4ecf5de0c1af10d5cb062d8533dfc33a6e2,f6715a67c90a9978636f83b52e69f791becabea1828252929c7520a20a496643,True,RBF_I,concept,severe,RBF_I__base_s0,0.0,1000,177127,none,none,0.6537230348845744,0.656359727031324,0.6541493886133649,0.6542198106032846,,,,0.8516734028605135,0.702110870481141,0.6348215337495583,0.2636526334212175,0.0,0.0,0,250000,237500,169100,0,0,16.43880608299969,False,12500,none,True,0,4eb129e5a479f0d00afea1d93890489ecdda1fd4cbf7592659fc9718e0265466,0f86cf84a992f2206770e4717de90cb433721c5d99e89a7514727c33a330dc8c,3a35960c513518e216eaab718d5df4ecf5de0c1af10d5cb062d8533dfc33a6e2,2a60e85386d2ea13abc91fa6589fa30195be596086698e19b8089566b7c5807e,True,0.0021227706673742075,0.001192713000293666,-0.00015293780965408565,0.001512073630922428,-0.0006800706459697548,-0.006335020325376806,,,,0.06803762852767448,-0.038452635679484176
RBF_I__base_s0__instance__moderate__a0,RBF_I,instance,moderate,RBF_I__base_s0,0.0,1000,236550,none,learned_features,0.672145423800465,0.6760881113164418,0.6716650536298223,0.6727455983212585,,,,0.8608858227030236,0.7089730837165948,0.7699286556935003,0.2278549674542667,0.0432840851637548,0.0437774946752393,10338,250000,227162,183522,0,0,16.46276191700008,False,12500,none,True,0,a315b230fde3593e76a2503c86110f91e6d4b32f1ba63def02d2ced860876449,40247ca8bc243b15131f3ee6533e153c0fac27049b57806989d7e1eb41dea837,b61cf91a5a4c7105c4a6d421ece35a654eca4202ce022c2e365610a4ec0a679e,2dc240baeff59391a331b466fa4e30a173c7cbe966f6fd726af016f731d4fad2,True,RBF_I,instance,moderate,RBF_I__base_s0,0.0,1000,236550,none,none,0.656127668569013,0.6595056523341776,0.6564810632210278,0.6572114929007422,,,,0.8577297572567536,0.7027175363100149,0.7983821133644178,0.2006588769233831,0.0,0.0,0,250000,237500,190000,0,0,17.01860549999992,False,12500,none,True,0,09420fb21c294451588e910e638cc5808333e91eb53f7a50f429feb80481bd76,9220e2610245c6e370b4c0944adf883c39419bc969f329baa1440ea06d27e074,b61cf91a5a4c7105c4a6d421ece35a654eca4202ce022c2e365610a4ec0a679e,2a60e85386d2ea13abc91fa6589fa30195be596086698e19b8089566b7c5807e,True,0.016017755231452102,0.015534105420516253,0.01658245898226418,0.015183990408794479,0.0031560654462700066,0.006255547406579964,,,,-0.028453457670917448,0.027196090530883593
RBF_I__base_s0__instance__moderate__a0,RBF_I,instance,moderate,RBF_I__base_s0,0.0,1000,236550,none,learned_features_label,0.6561910801099133,0.6627127342114305,0.6553332564246325,0.6565289265254339,,,,0.8585539395084187,0.7057894606385235,0.7693388011909443,0.2397834265581145,0.0006741194314926,0.0146654855982642,2971,250000,234529,181104,0,0,15.347264957999869,False,12500,none,True,0,04cfa1d1279ec2be56e35f023c5577a884ae951784ef770956e00c7cb48de3c5,1066b12b809829a2a551d1f130841bb718dde7a22544361e35ac9df601e09e67,b61cf91a5a4c7105c4a6d421ece35a654eca4202ce022c2e365610a4ec0a679e,0ca18315a527383fc86006a806c08a974f9472cfdb64fab9ba5a4f2257c7fd62,True,RBF_I,instance,moderate,RBF_I__base_s0,0.0,1000,236550,none,none,0.656127668569013,0.6595056523341776,0.6564810632210278,0.6572114929007422,,,,0.8577297572567536,0.7027175363100149,0.7983821133644178,0.2006588769233831,0.0,0.0,0,250000,237500,190000,0,0,17.01860549999992,False,12500,none,True,0,09420fb21c294451588e910e638cc5808333e91eb53f7a50f429feb80481bd76,9220e2610245c6e370b4c0944adf883c39419bc969f329baa1440ea06d27e074,b61cf91a5a4c7105c4a6d421ece35a654eca4202ce022c2e365610a4ec0a679e,2a60e85386d2ea13abc91fa6589fa30195be596086698e19b8089566b7c5807e,True,6.341154090039325e-05,-0.00068256637530828,0.0032070818772529375,-0.0011478067963953675,0.0008241822516651398,0.0030719243285086684,,,,-0.029043312173473446,0.03912454963473139
RBF_I__base_s0__instance__severe__a0,RBF_I,instance,severe,RBF_I__base_s0,0.0,1000,236550,none,learned_features,0.6303149439864723,0.6405239370152673,0.6299372141543539,0.6318540040810644,,,,0.8439238867030054,0.6713939067063328,0.7313523347483323,0.2701511406093032,0.0433596118859915,0.0438183603670718,10338,250000,227162,173685,0,0,15.320024958000433,False,12500,none,True,0,6c82509617c7f09591a7a0490a03ad32aefd70dbf99fef7d9648a42723e23f8e,e15182e6608d9237215d6468719217974569814324d38084a96882b7989c9e1c,b61cf91a5a4c7105c4a6d421ece35a654eca4202ce022c2e365610a4ec0a679e,2dc240baeff59391a331b466fa4e30a173c7cbe966f6fd726af016f731d4fad2,True,RBF_I,instance,severe,RBF_I__base_s0,0.0,1000,236550,none,none,0.6380131050517861,0.6484213034087077,0.6378539832804011,0.6392939628628248,,,,0.8411724012236197,0.6708015836205745,0.7604945758372077,0.2360908875419051,0.0,0.0,0,250000,237500,181450,0,0,16.869561583000177,False,12500,none,True,0,2ee8b92bd786471ed7b710bfa3e9fdd99f297deef5f5d3dde0cac854b6b13099,1f4d9fde3408de6d520107469c879c48fd0b722c2271a6499e28a90bb4fea2da,b61cf91a5a4c7105c4a6d421ece35a654eca4202ce022c2e365610a4ec0a679e,2a60e85386d2ea13abc91fa6589fa30195be596086698e19b8089566b7c5807e,True,-0.007698161065313847,-0.007439958781760403,-0.007897366393440408,-0.007916769126047218,0.0027514854793857513,0.0005923230857582951,,,,-0.02914224108887542,0.03406025306739807
RBF_I__base_s0__instance__severe__a0,RBF_I,instance,severe,RBF_I__base_s0,0.0,1000,236550,none,learned_features_label,0.6440118368209681,0.6588710507530479,0.6424885022383421,0.6454722527700858,,,,0.8462701472054249,0.6806701884727492,0.7616568964355501,0.2477058006840269,0.0006738090425173,0.0146625579899089,2638,250000,234862,179461,0,0,15.809500832999674,False,12500,none,True,0,7eb5927ca272245034d5008d3c76ea056fac2e970c89c24b6705869a4913bb2c,ea32340add14f364d017747ef063d33e51ac0d63de0e4d8db476c38f02858c2a,b61cf91a5a4c7105c4a6d421ece35a654eca4202ce022c2e365610a4ec0a679e,ac12cb7d3bb88e4179523e2395b58f0d09f706de83511bee338bb82b7db272ec,True,RBF_I,instance,severe,RBF_I__base_s0,0.0,1000,236550,none,none,0.6380131050517861,0.6484213034087077,0.6378539832804011,0.6392939628628248,,,,0.8411724012236197,0.6708015836205745,0.7604945758372077,0.2360908875419051,0.0,0.0,0,250000,237500,181450,0,0,16.869561583000177,False,12500,none,True,0,2ee8b92bd786471ed7b710bfa3e9fdd99f297deef5f5d3dde0cac854b6b13099,1f4d9fde3408de6d520107469c879c48fd0b722c2271a6499e28a90bb4fea2da,b61cf91a5a4c7105c4a6d421ece35a654eca4202ce022c2e365610a4ec0a679e,2a60e85386d2ea13abc91fa6589fa30195be596086698e19b8089566b7c5807e,True,0.005998731769181975,0.006178289907260992,0.010449747344340121,0.004634518957940981,0.005097745981805235,0.009868604852174667,,,,0.0011623205983424256,0.011614913142121791
