stream,condition,mode,level,view,threshold,rows,poison_rows,prevalence,roc_auc,average_precision,poison_recall,poison_precision,legitimate_rejection,tn,fp,fn,tp
SEA_A,SEA_A__base_s0__clean__none__anone,clean,none,features,0.20459146147425808,236550,0,0.0,,,,0.0,0.04924540266328472,224901,11649,0,0
SEA_A,SEA_A__base_s0__clean__none__anone,clean,none,features_label,0.3360642172630294,236550,0,0.0,,,,0.0,0.04933417882054534,224880,11670,0,0
SEA_A,SEA_A__base_s0__instance__moderate__a0,instance,moderate,features,0.20459146147425808,236550,35601,0.15050095117311352,0.49557821753095677,0.1491874745888232,0.048200893233336144,0.14730878186968838,0.04943045250287386,191016,9933,33885,1716
SEA_A,SEA_A__base_s0__instance__moderate__a0,instance,moderate,features_label,0.3360642172630294,236550,35601,0.15050095117311352,0.9329022343375224,0.711370652340931,0.7661582539816297,0.7344103392568659,0.049087081796873835,191085,9864,8325,27276
SEA_A,SEA_A__base_s0__instance__severe__a0,instance,severe,features,0.20459146147425808,236550,59357,0.2509279222151765,0.5014636525234406,0.25176287933232455,0.04978351331772158,0.2536698429049704,0.04906514365691647,168499,8694,56402,2955
SEA_A,SEA_A__base_s0__instance__severe__a0,instance,severe,features_label,0.3360642172630294,236550,59357,0.2509279222151765,0.9335408529590554,0.8133494820270563,0.7657395083983355,0.8383503024937288,0.049460193122753154,168429,8764,13905,45452
SEA_A,SEA_A__base_s0__concept__moderate__a0,concept,moderate,features,0.20459146147425808,236550,35560,0.1503276262946523,0.5013292620398543,0.15130833798728954,0.05087176602924635,0.15435153583617747,0.04931091099059655,191079,9911,33751,1809
SEA_A,SEA_A__base_s0__concept__moderate__a0,concept,moderate,features_label,0.3360642172630294,236550,35560,0.1503276262946523,0.7201868226967176,0.42368509834151186,0.41524184476940385,0.5975476508437538,0.04948007363550425,191045,9945,20794,14766
SEA_A,SEA_A__base_s0__concept__severe__a0,concept,severe,features,0.20459146147425808,236550,59405,0.25113083914605794,0.49868208079401455,0.25087279427804876,0.04908677720730578,0.25238012809416654,0.04876231335911259,168507,8638,56489,2916
SEA_A,SEA_A__base_s0__concept__severe__a0,concept,severe,features_label,0.3360642172630294,236550,59405,0.25113083914605794,0.7209037184297931,0.5554052856729383,0.4150324046797408,0.7384389601054271,0.049298597194388775,168412,8733,34750,24655
SEA_A,SEA_A__base_s0__splice__moderate__a0,splice,moderate,features,0.20459146147425808,236550,35630,0.15062354681885437,0.49776447147499836,0.1502334794016104,0.04981756946393489,0.1525831685721654,0.04906430420067689,191062,9858,33855,1775
SEA_A,SEA_A__base_s0__splice__moderate__a0,splice,moderate,features_label,0.3360642172630294,236550,35630,0.15062354681885437,0.49943327344509947,0.1511315934232404,0.051108616334549536,0.1548469387755102,0.04946744973123631,190981,9939,33809,1821
SEA_A,SEA_A__base_s0__splice__severe__a0,splice,severe,features,0.20459146147425808,236550,59352,0.25090678503487635,0.5018447815682272,0.2525001954149018,0.050023588084647526,0.25378237456192837,0.04926692174855247,168468,8730,56383,2969
SEA_A,SEA_A__base_s0__splice__severe__a0,splice,severe,features_label,0.3360642172630294,236550,59352,0.25090678503487635,0.4991508387653213,0.2502687811132822,0.048490362582558295,0.24853195164075992,0.049108906421065704,168496,8702,56474,2878
SEA_A,SEA_A__base_s1__clean__none__anone,clean,none,features,0.20459146147425808,236550,0,0.0,,,,0.0,0.05029803424223209,224652,11898,0,0
SEA_A,SEA_A__base_s1__clean__none__anone,clean,none,features_label,0.3360642172630294,236550,0,0.0,,,,0.0,0.04946100190234623,224850,11700,0,0
SEA_A,SEA_A__base_s1__instance__moderate__a1,instance,moderate,features,0.20459146147425808,236550,35556,0.15031071655041217,0.4991334336348125,0.14985688819103424,0.04966812914838564,0.1484283072785342,0.05040946495915301,190862,10132,33790,1766
SEA_A,SEA_A__base_s1__instance__moderate__a1,instance,moderate,features_label,0.3360642172630294,236550,35556,0.15031071655041217,0.9340944946186918,0.7116189737196293,0.7667060411744853,0.7325665761964905,0.04951391583828373,191042,9952,8295,27261
SEA_A,SEA_A__base_s1__instance__severe__a1,instance,severe,features,0.20459146147425808,236550,59318,0.2507630522088353,0.50187576095155,0.25183447865243036,0.05015341043190937,0.25004202386955793,0.050346438566398845,168309,8923,56343,2975
SEA_A,SEA_A__base_s1__instance__severe__a1,instance,severe,features_label,0.3360642172630294,236550,59318,0.2507630522088353,0.9339663992505763,0.8139294289587944,0.7672038841498364,0.8387518891223414,0.04936467455087117,168483,8749,13809,45509
SEA_A,SEA_A__base_s1__concept__moderate__a1,concept,moderate,features,0.20459146147425808,236550,35638,0.1506573663073346,0.4966759378597309,0.14998202106024167,0.05084460407430271,0.15229450327786181,0.05020108306124074,190826,10086,33826,1812
SEA_A,SEA_A__base_s1__concept__moderate__a1,concept,moderate,features_label,0.3360642172630294,236550,35638,0.1506573663073346,0.7137493839165854,0.41520370681072694,0.4012570851338459,0.5896907216494846,0.04952416978577686,190962,9950,21338,14300
SEA_A,SEA_A__base_s1__concept__severe__a1,concept,severe,features,0.20459146147425808,236550,59420,0.2511942506869584,0.49894505174818593,0.25072192865019827,0.049309996634129924,0.24902260751317354,0.04988426579348501,168294,8836,56490,2930
SEA_A,SEA_A__base_s1__concept__severe__a1,concept,severe,features_label,0.3360642172630294,236550,59420,0.2511942506869584,0.712105007412496,0.5464416126251694,0.40090878492090204,0.7319036499938553,0.04926325297803873,168404,8726,35598,23822
SEA_A,SEA_A__base_s1__splice__moderate__a1,splice,moderate,features,0.20459146147425808,236550,35580,0.15041217501585288,0.4990819308534608,0.15003736284800376,0.049156829679595275,0.14769464617463265,0.05022142608349505,190877,10093,33831,1749
SEA_A,SEA_A__base_s1__splice__moderate__a1,splice,moderate,features_label,0.3360642172630294,236550,35580,0.15041217501585288,0.5001382654021196,0.15028798360160528,0.04994378864530635,0.15116971501488727,0.04964920137333931,190992,9978,33803,1777
SEA_A,SEA_A__base_s1__splice__severe__a1,splice,severe,features,0.20459146147425808,236550,59397,0.2510970196575777,0.500396893785565,0.2514822058348113,0.050574944862535144,0.2505630160980899,0.05071887012921034,168168,8985,56393,3004
SEA_A,SEA_A__base_s1__splice__severe__a1,splice,severe,features_label,0.3360642172630294,236550,59397,0.2510970196575777,0.5016791569070411,0.25102727694186167,0.048487297338249406,0.24851151954439554,0.0491608948197321,168444,8709,56517,2880
SEA_A,SEA_A__base_s2__clean__none__anone,clean,none,features,0.20459146147425808,236550,0,0.0,,,,0.0,0.049993658845909957,224724,11826,0,0
SEA_A,SEA_A__base_s2__clean__none__anone,clean,none,features_label,0.3360642172630294,236550,0,0.0,,,,0.0,0.04921581061086451,224908,11642,0,0
SEA_A,SEA_A__base_s2__instance__moderate__a2,instance,moderate,features,0.20459146147425808,236550,35670,0.15079264426125555,0.49891973647880916,0.1507796797101687,0.05040650406504065,0.15203788263148993,0.04992035045798487,190852,10028,33872,1798
SEA_A,SEA_A__base_s2__instance__moderate__a2,instance,moderate,features_label,0.3360642172630294,236550,35670,0.15079264426125555,0.9338161645111384,0.7146622999730593,0.7673955705074292,0.7342345967114616,0.049322978892871364,190972,9908,8297,27373
SEA_A,SEA_A__base_s2__instance__severe__a2,instance,severe,features,0.20459146147425808,236550,59418,0.2511857958148383,0.49950136117059574,0.2513934288299272,0.05033828132889023,0.25291730086250636,0.04987805704220581,168297,8835,56427,2991
SEA_A,SEA_A__base_s2__instance__severe__a2,instance,severe,features_label,0.3360642172630294,236550,59418,0.2511857958148383,0.9333993783862626,0.814951953894387,0.7642801844558887,0.8399985202175281,0.04883363819072782,168482,8650,14006,45412
SEA_A,SEA_A__base_s2__concept__moderate__a2,concept,moderate,features,0.20459146147425808,236550,35636,0.15064891143521456,0.5032208377224447,0.15155657036965614,0.048490290717252214,0.14649033570701933,0.05011099276307276,190846,10068,33908,1728
SEA_A,SEA_A__base_s2__concept__moderate__a2,concept,moderate,features_label,0.3360642172630294,236550,35636,0.15064891143521456,0.7220293531738763,0.4268378212749425,0.4130373779324279,0.5978472786352559,0.049279791353514436,191013,9901,20917,14719
SEA_A,SEA_A__base_s2__concept__severe__a2,concept,severe,features,0.20459146147425808,236550,59385,0.2510462904248573,0.499193050843793,0.2507720603039419,0.04848025595689147,0.24475048882087902,0.050145344735133913,168281,8884,56506,2879
SEA_A,SEA_A__base_s2__concept__severe__a2,concept,severe,features_label,0.3360642172630294,236550,59385,0.2510462904248573,0.7083342122587812,0.5413638491687824,0.3940725772501473,0.726273974303271,0.04978409956819914,168345,8820,35983,23402
SEA_A,SEA_A__base_s2__splice__moderate__a2,splice,moderate,features,0.20459146147425808,236550,35650,0.15070809554005496,0.5001122534150321,0.15058456044132354,0.050350631136044884,0.1511833571970016,0.05016426082628173,190822,10078,33855,1795
SEA_A,SEA_A__base_s2__splice__moderate__a2,splice,moderate,features_label,0.3360642172630294,236550,35650,0.15070809554005496,0.5012524191628555,0.15154500707086316,0.048892005610098176,0.15096137190368958,0.0487954206072673,191097,9803,33907,1743
SEA_A,SEA_A__base_s2__splice__severe__a2,splice,severe,features,0.20459146147425808,236550,59435,0.2512576622278588,0.5012553867563754,0.2516707414356619,0.05064356019180617,0.2520726907294196,0.050424865200575895,168184,8931,56425,3010
SEA_A,SEA_A__base_s2__splice__severe__a2,splice,severe,features_label,0.3360642172630294,236550,59435,0.2512576622278588,0.4998821450049964,0.2510601365444184,0.0488264490620005,0.2501077307592864,0.04912627388984558,168414,8701,56533,2902
