condition,stream,mode,level,base_key,attack_seed,detector,filter,activation_row,host_rows,accuracy,macro_precision,macro_recall,macro_f1,malicious_precision,malicious_recall,benign_fpr,roc_auc,average_precision,poison_admission_rate,legitimate_withhold_rate,filter_poison_recall,filter_legitimate_rejection,filter_inference_seconds,filter_rows_withheld,rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,total_seconds,scored_resets,accuracy_no_filter,macro_f1_no_filter,macro_recall_no_filter,roc_auc_no_filter,poison_admission_rate_no_filter,legitimate_withhold_rate_no_filter,filter_poison_recall_no_filter,filter_legitimate_rejection_no_filter,scored_resets_no_filter,total_seconds_no_filter,accuracy_difference,macro_f1_difference,macro_recall_difference,roc_auc_difference,poison_admission_rate_difference,legitimate_withhold_rate_difference,filter_poison_recall_difference,filter_legitimate_rejection_difference,scored_resets_difference,total_seconds_difference
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,adwin,none,1000,236550,0.9259015007398012,0.9264813506800184,0.9134317584602988,0.9192386532945848,,,,0.9360244310802134,0.9224634195172402,,0.1365461847389558,,0.0,0.0,0,250000,241300,209000,5700,2,5.387147041999924,False,12500,confirmed,True,5.387147041999924,2,0.9259015007398012,0.9192386532945848,0.9134317584602988,0.9360244310802134,,0.1365461847389558,,0.0,2,5.387147041999924,0.0,0.0,0.0,0.0,,0.0,,0.0,0,0.0
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,adwin,oracle_rows,1000,236550,0.9259015007398012,0.9264813506800184,0.9134317584602988,0.9192386532945848,,,,0.9360244310802134,0.9224634195172402,,0.1365461847389558,,0.0,0.0,0,250000,241300,209000,5700,2,5.064161542000875,False,12500,confirmed,True,5.064161542000875,2,0.9259015007398012,0.9192386532945848,0.9134317584602988,0.9360244310802134,,0.1365461847389558,,0.0,2,5.387147041999924,0.0,0.0,0.0,0.0,,0.0,,0.0,0,-0.32298549999904935
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,adwin,random_rows,1000,236550,0.9259015007398012,0.9264813506800184,0.9134317584602988,0.9192386532945848,,,,0.9360244310802134,0.9224634195172402,,0.1365461847389558,,0.0,0.0,0,250000,241300,209000,5700,2,5.303439625000465,False,12500,confirmed,True,5.303439625000465,2,0.9259015007398012,0.9192386532945848,0.9134317584602988,0.9360244310802134,,0.1365461847389558,,0.0,2,5.387147041999924,0.0,0.0,0.0,0.0,,0.0,,0.0,0,-0.08370741699945938
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,adwin,oracle_blocks,1000,236550,0.9259015007398012,0.9264813506800184,0.9134317584602988,0.9192386532945848,,,,0.9360244310802134,0.9224634195172402,,0.1365461847389558,,0.0,0.0,0,250000,241300,209000,5700,2,5.117197999999917,False,12500,confirmed,True,5.117197999999917,2,0.9259015007398012,0.9192386532945848,0.9134317584602988,0.9360244310802134,,0.1365461847389558,,0.0,2,5.387147041999924,0.0,0.0,0.0,0.0,,0.0,,0.0,0,-0.26994904200000747
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,adwin,random_blocks,1000,236550,0.9259015007398012,0.9264813506800184,0.9134317584602988,0.9192386532945848,,,,0.9360244310802134,0.9224634195172402,,0.1365461847389558,,0.0,0.0,0,250000,241300,209000,5700,2,5.3351958750008635,False,12500,confirmed,True,5.3351958750008635,2,0.9259015007398012,0.9192386532945848,0.9134317584602988,0.9360244310802134,,0.1365461847389558,,0.0,2,5.387147041999924,0.0,0.0,0.0,0.0,,0.0,,0.0,0,-0.05195116699906066
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,adwin,learned_features,1000,236550,0.9244430352990912,0.9252289797894088,0.9115234688025264,0.9175863069509668,,,,0.935095668660904,0.9196630840677624,,0.1676432043965335,,0.0492454026632847,0.2860359999995125,11649,250000,229478,201471,5448,2,5.268466833000275,False,12500,confirmed,True,5.554502832999788,2,0.9259015007398012,0.9192386532945848,0.9134317584602988,0.9360244310802134,,0.1365461847389558,,0.0,2,5.387147041999924,-0.001458465440709933,-0.0016523463436179942,-0.001908289657772344,-0.0009287624193093924,,0.03109701965757769,,0.0492454026632847,0,0.16735579099986353
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,adwin,learned_features_label,1000,236550,0.9265017966603256,0.926107965992116,0.9150796684480658,0.9200699592249708,,,,0.9342350185542604,0.9212470982742268,,0.1334432466708941,,0.0493341788205453,0.2906918749995384,11670,250000,229433,208648,5421,2,4.613726084000518,False,12500,confirmed,True,4.904417959000057,2,0.9259015007398012,0.9192386532945848,0.9134317584602988,0.9360244310802134,,0.1365461847389558,,0.0,2,5.387147041999924,0.0006002959205244629,0.0008313059303860504,0.0016479099877669823,-0.0017894125259529936,,-0.0031029380680616947,,0.0493341788205453,0,-0.4827290829998674
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,hddm_w,none,1000,236550,0.92430775734517,0.92252698231416,0.9139326870922824,0.9178996275798276,,,,0.935552248380228,0.9210045014402948,,0.1004016064257028,,0.0,0.0,0,250000,239400,215650,2850,1,6.098493249999592,False,12500,confirmed,True,6.098493249999592,1,0.92430775734517,0.9178996275798276,0.9139326870922824,0.935552248380228,,0.1004016064257028,,0.0,1,6.098493249999592,0.0,0.0,0.0,0.0,,0.0,,0.0,0,0.0
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,hddm_w,oracle_rows,1000,236550,0.92430775734517,0.92252698231416,0.9139326870922824,0.9178996275798276,,,,0.935552248380228,0.9210045014402948,,0.1004016064257028,,0.0,0.0,0,250000,239400,215650,2850,1,6.123260790998756,False,12500,confirmed,True,6.123260790998756,1,0.92430775734517,0.9178996275798276,0.9139326870922824,0.935552248380228,,0.1004016064257028,,0.0,1,6.098493249999592,0.0,0.0,0.0,0.0,,0.0,,0.0,0,0.02476754099916434
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,SEA_A__base_s0,,hddm_w,random_rows,1000,236550,0.92430775734517,0.92252698231416,0.9139326870922824,0.9178996275798276,,,,0.935552248380228,0.9210045014402948,,0.1004016064257028,,0.0,0.0,0,250000,239400,215650,2850,1,6.038485041999593,False,12500,confirmed,True,6.038485041999593,1,0.92430775734517,0.9178996275798276,0.9139326870922824,0.935552248380228,,0.1004016064257028,,0.0,1,6.098493249999592,0.0,0.0,0.0,0.0,,0.0,,0.0,0,-0.060008207999999286
