stream,condition,mode,level,view,threshold,rows,poison_rows,prevalence,roc_auc,average_precision,poison_recall,poison_precision,legitimate_rejection,tn,fp,fn,tp
RBF_I,RBF_I__base_s0__clean__none__anone,clean,none,features,0.2691869103522677,236550,0,0.0,,,,0.0,0.0437032339885859,226212,10338,0,0
RBF_I,RBF_I__base_s0__clean__none__anone,clean,none,features_label,0.5419015385532788,236550,0,0.0,,,,0.0,0.0146987951807228,233073,3477,0,0
RBF_I,RBF_I__base_s0__instance__moderate__a0,instance,moderate,features,0.2691869103522677,236550,35602,0.1505051786091735,0.4987596631134761,0.1499386777988783,0.0432840851637548,0.149061714064616,0.0437774946752393,192151,8797,34061,1541
RBF_I,RBF_I__base_s0__instance__moderate__a0,instance,moderate,features_label,0.5419015385532788,236550,35602,0.1505051786091735,0.3941538501665356,0.1153541103737466,0.0006741194314926,0.008078088185796,0.0146654855982642,198001,2947,35578,24
RBF_I,RBF_I__base_s0__instance__severe__a0,instance,severe,features,0.2691869103522677,236550,59364,0.2509575142675967,0.4978802965043934,0.2499251974571811,0.0433596118859915,0.248984329657574,0.0438183603670718,169422,7764,56790,2574
RBF_I,RBF_I__base_s0__instance__severe__a0,instance,severe,features_label,0.5419015385532788,236550,59364,0.2509575142675967,0.3942524999547215,0.196995418512083,0.0006738090425173,0.0151630022744503,0.0146625579899089,174588,2598,59324,40
RBF_I,RBF_I__base_s0__concept__moderate__a0,concept,moderate,features,0.2691869103522677,236550,35607,0.1505263157894736,0.5203593384487337,0.1627796962438681,0.0598196983739152,0.1919956733369389,0.0446096654275092,191979,8964,33477,2130
RBF_I,RBF_I__base_s0__concept__moderate__a0,concept,moderate,features_label,0.5419015385532788,236550,35607,0.1505263157894736,0.5362549235953904,0.17388676175741,0.0290111494930772,0.2568373943311785,0.0148748650114709,197954,2989,34574,1033
RBF_I,RBF_I__base_s0__concept__severe__a0,concept,severe,features,0.2691869103522677,236550,59423,0.2512069329951384,0.5222473615971369,0.2703196305568796,0.0613735422311226,0.3146406694849452,0.0448491760149497,169183,7944,55776,3647
RBF_I,RBF_I__base_s0__concept__severe__a0,concept,severe,features_label,0.5419015385532788,236550,59423,0.2512069329951384,0.5325854625527788,0.2834434013065651,0.030913955875671,0.4058771542200619,0.015181197671727,174438,2689,57586,1837
RBF_I,RBF_I__base_s0__splice__moderate__a0,splice,moderate,features,0.2691869103522677,236550,35641,0.1506700486155147,0.503491929257281,0.1517892329663628,0.0441065065514435,0.1500572737686139,0.0443185720898516,192005,8904,34069,1572
RBF_I,RBF_I__base_s0__splice__moderate__a0,splice,moderate,features_label,0.5419015385532788,236550,35641,0.1506700486155147,0.4983529733766417,0.1501670021660291,0.0155438960747453,0.1578347578347578,0.01471312882947,197953,2956,35087,554
RBF_I,RBF_I__base_s0__splice__severe__a0,splice,severe,features,0.2691869103522677,236550,59464,0.2513802578735997,0.5009461981111958,0.2523714635352037,0.045506524956276,0.2537509377344336,0.044938617394938,169128,7958,56758,2706
RBF_I,RBF_I__base_s0__splice__severe__a0,splice,severe,features_label,0.5419015385532788,236550,59464,0.2513802578735997,0.4998417100466261,0.2513343445768438,0.0157406161711287,0.2587779928117224,0.0151395367222705,174405,2681,58528,936
RBF_I,RBF_I__base_s1__clean__none__anone,clean,none,features,0.2691869103522677,236550,0,0.0,,,,0.0,0.0707292327203551,219819,16731,0,0
RBF_I,RBF_I__base_s1__clean__none__anone,clean,none,features_label,0.5419015385532788,236550,0,0.0,,,,0.0,0.0219488480236736,231358,5192,0,0
RBF_I,RBF_I__base_s1__instance__moderate__a1,instance,moderate,features,0.2691869103522677,236550,35658,0.1507419150285352,0.5001149773435125,0.1511674011870523,0.0718772785910595,0.1531886916502301,0.0705254564641698,186724,14168,33095,2563
RBF_I,RBF_I__base_s1__instance__moderate__a1,instance,moderate,features_label,0.5419015385532788,236550,35658,0.1507419150285352,0.501817515969192,0.1389582063150148,0.0023837568007179,0.0190711240744895,0.0217629372996435,196520,4372,35573,85
RBF_I,RBF_I__base_s1__instance__severe__a1,instance,severe,features,0.2691869103522677,236550,59322,0.2507799619530754,0.5007713121723691,0.2512282085812882,0.0724688985536563,0.2569481800251031,0.0701469293791048,164796,12432,55023,4299
RBF_I,RBF_I__base_s1__instance__severe__a1,instance,severe,features_label,0.5419015385532788,236550,59322,0.2507799619530754,0.5011978622002481,0.2322116356166907,0.00254543002596,0.0374689826302729,0.0218870607353239,173349,3879,59171,151
