condition,stream,mode,level,detector,filter,activation_row,blocks,alarms,alarm_rate,resets,reset_requests,rejected_updates,rejected_update_rate,reset_rejections,rows,resets_per_100k,event_applicable,detection_delay,commit_delay,missed_detections,missed_commits,scheduled_events,unexposed_false_alarm_rate,unexposed_blocks,event_recall
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,adwin,none,1000,249,8,0.0321285140562249,2,2,34,0.13654618473895583,0,249000,0.8032128514056226,True,3.75,3.5,0.0,1.0,3.0,0.016574585635359115,181.0,1.0
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,adwin,learned_features,1000,249,7,0.028112449799196786,2,2,31,0.12449799196787148,0,249000,0.8032128514056226,True,3.0833333333333335,4.0,0.0,1.0,3.0,0.011049723756906077,181.0,1.0
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,adwin,learned_features_label,1000,249,10,0.040160642570281124,2,2,23,0.09236947791164658,0,249000,0.8032128514056226,True,2.4166666666666665,3.5,0.0,1.0,3.0,0.022099447513812154,181.0,1.0
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,hddm_w,none,1000,249,1,0.004016064257028112,1,1,25,0.10040160642570281,0,249000,0.4016064257028113,True,1.75,3.75,2.0,2.0,3.0,0.0,181.0,0.33333333333333337
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,hddm_w,learned_features,1000,249,1,0.004016064257028112,1,1,25,0.10040160642570281,0,249000,0.4016064257028113,True,1.75,3.75,2.0,2.0,3.0,0.0,181.0,0.33333333333333337
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,hddm_w,learned_features_label,1000,249,0,0.0,0,0,23,0.09236947791164658,0,249000,0.0,True,,,3.0,3.0,3.0,0.0,181.0,0.0
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,hellinger,none,1000,249,27,0.10843373493975904,2,3,35,0.14056224899598393,1,249000,0.8032128514056226,True,6.416666666666667,4.25,0.0,1.0,3.0,0.09944751381215469,181.0,1.0
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,hellinger,learned_features,1000,249,23,0.09236947791164658,2,2,24,0.0963855421686747,0,249000,0.8032128514056226,True,2.75,2.25,1.0,2.0,3.0,0.10497237569060773,181.0,0.6666666666666667
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,hellinger,learned_features_label,1000,249,27,0.10843373493975904,0,0,23,0.09236947791164658,0,249000,0.0,True,7.416666666666667,,0.0,3.0,3.0,0.11049723756906077,181.0,1.0
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,d3_oof,none,1000,249,7,0.028112449799196786,1,1,34,0.13654618473895583,0,249000,0.4016064257028113,True,4.75,4.25,1.0,2.0,3.0,0.027624309392265192,181.0,0.6666666666666667
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,d3_oof,learned_features,1000,249,4,0.01606425702811245,1,1,29,0.11646586345381527,0,249000,0.4016064257028113,True,4.25,6.25,2.0,2.0,3.0,0.016574585635359115,181.0,0.33333333333333337
SEA_A__base_s0__clean__none__anone,SEA_A,clean,none,d3_oof,learned_features_label,1000,249,7,0.028112449799196786,0,0,23,0.09236947791164658,0,249000,0.0,True,15.5,,1.0,3.0,3.0,0.027624309392265192,181.0,0.6666666666666667
SEA_A__base_s0__instance__moderate__a0,SEA_A,instance,moderate,adwin,none,1000,249,5,0.020080321285140562,1,2,36,0.14457831325301204,1,249000,0.4016064257028113,True,4.416666666666667,4.75,0.0,2.0,3.0,,0.0,1.0
SEA_A__base_s0__instance__moderate__a0,SEA_A,instance,moderate,adwin,learned_features,1000,249,3,0.012048192771084338,1,1,36,0.14457831325301204,0,249000,0.4016064257028113,True,4.0,4.75,1.0,2.0,3.0,,0.0,0.6666666666666667
SEA_A__base_s0__instance__moderate__a0,SEA_A,instance,moderate,adwin,learned_features_label,1000,249,6,0.024096385542168676,2,2,28,0.11244979919678715,0,249000,0.8032128514056226,True,3.4166666666666665,4.5,0.0,1.0,3.0,,0.0,1.0
SEA_A__base_s0__instance__moderate__a0,SEA_A,instance,moderate,hddm_w,none,1000,249,23,0.09236947791164658,3,4,45,0.18072289156626506,1,249000,1.2048192771084336,True,1.75,3.75,0.0,0.0,3.0,,0.0,1.0
SEA_A__base_s0__instance__moderate__a0,SEA_A,instance,moderate,hddm_w,learned_features,1000,249,24,0.0963855421686747,3,4,54,0.21686746987951808,1,249000,1.2048192771084336,True,2.0833333333333335,3.75,0.0,2.0,3.0,,0.0,1.0
SEA_A__base_s0__instance__moderate__a0,SEA_A,instance,moderate,hddm_w,learned_features_label,1000,249,0,0.0,0,0,18,0.07228915662650602,0,249000,0.0,True,,,3.0,3.0,3.0,,0.0,0.0
SEA_A__base_s0__instance__moderate__a0,SEA_A,instance,moderate,hellinger,none,1000,249,29,0.11646586345381527,1,2,37,0.14859437751004015,1,249000,0.4016064257028113,True,6.416666666666667,5.25,0.0,2.0,3.0,,0.0,1.0
SEA_A__base_s0__instance__moderate__a0,SEA_A,instance,moderate,hellinger,learned_features,1000,249,20,0.08032128514056225,2,2,27,0.10843373493975904,0,249000,0.8032128514056226,True,4.416666666666667,5.75,0.0,1.0,3.0,,0.0,1.0
SEA_A__base_s0__instance__moderate__a0,SEA_A,instance,moderate,hellinger,learned_features_label,1000,249,27,0.10843373493975904,1,1,24,0.0963855421686747,0,249000,0.4016064257028113,True,7.416666666666667,4.75,0.0,2.0,3.0,,0.0,1.0
SEA_A__base_s0__instance__moderate__a0,SEA_A,instance,moderate,d3_oof,none,1000,249,5,0.020080321285140562,1,1,32,0.1285140562248996,0,249000,0.4016064257028113,True,3.75,5.75,2.0,2.0,3.0,,0.0,0.33333333333333337
SEA_A__base_s0__instance__moderate__a0,SEA_A,instance,moderate,d3_oof,learned_features,1000,249,8,0.0321285140562249,0,0,30,0.12048192771084337,0,249000,0.0,True,20.25,,1.0,3.0,3.0,,0.0,0.6666666666666667
SEA_A__base_s0__instance__moderate__a0,SEA_A,instance,moderate,d3_oof,learned_features_label,1000,249,10,0.040160642570281124,0,0,18,0.07228915662650602,0,249000,0.0,True,7.25,,1.0,3.0,3.0,,0.0,0.6666666666666667
SEA_A__base_s0__instance__severe__a0,SEA_A,instance,severe,adwin,none,1000,249,1,0.004016064257028112,1,1,86,0.3453815261044177,0,249000,0.4016064257028113,True,3.75,5.75,2.0,2.0,3.0,,0.0,0.33333333333333337
