dataset,category,policy,guarded,detector,accuracy_difference,macro_f1_difference,poison_admission_rate_difference,clean_withhold_rate_difference
RADAR,0,confirmed,False,adwin,0.4841402213615065,4.85056146898782,,0.0
RADAR,0,confirmed,False,d3_oof,-0.2840521719330617,1.6416012315083457,,0.0
RADAR,0,confirmed,False,hddm_w,-0.22829866262534435,2.822975423543132,,0.0
RADAR,0,confirmed,False,hellinger,-2.688458660157052,-0.2827502065937367,,0.0
RADAR,0,confirmed,True,adwin,0.998852010464731,6.362799699119859,,7.235102760218901
RADAR,0,confirmed,True,d3_oof,1.1634538002850303,3.5144964056224546,,5.167930543013499
RADAR,0,confirmed,True,hddm_w,0.19729108129565112,2.57920767372671,,7.85525442538052
RADAR,0,confirmed,True,hellinger,-1.4417408146276973,-0.4993718068364776,,7.02838553849836
RADAR,0,immediate,False,adwin,0.028720193459482363,11.932503134280301,,0.0
RADAR,0,immediate,False,d3_oof,-0.19811435476100683,3.843643863037464,,0.0
RADAR,0,immediate,False,hddm_w,-0.1889452487022473,11.716719675344175,,0.0
RADAR,0,immediate,False,hellinger,-1.1685053086389046,4.901816776824564,,0.0
RADAR,0,immediate,True,adwin,-5.969298643404575,0.6845725311264131,,28.940411040875606
RADAR,0,immediate,True,d3_oof,0.6463768327155672,0.8554770735421675,,9.922426642585918
RADAR,0,immediate,True,hddm_w,-2.442906295208021,2.8681352145365437,,28.11354215399345
RADAR,0,immediate,True,hellinger,-2.3674877148386932,-2.5100172065920523,,14.883639963878887
RADAR,1,confirmed,False,adwin,2.3582396357816005,8.5078079540183,0.0,0.0
RADAR,1,confirmed,False,d3_oof,-0.9318931587964485,1.2872465497243117,0.0,0.0
RADAR,1,confirmed,False,hddm_w,1.4113183311491733,7.61055173022081,0.0,0.0
RADAR,1,confirmed,False,hellinger,-0.2394669815344271,2.702616010661316,0.0,0.0
RADAR,1,confirmed,True,adwin,-1.3284214785819315,3.2984681182779654,-6.842288818351098,6.736959194482157
RADAR,1,confirmed,True,d3_oof,-1.3659419936746022,-0.24093149376841647,-4.692377007651294,4.6032904231537035
RADAR,1,confirmed,True,hddm_w,-1.3249925621257856,2.7130252054075306,-7.0064932061939125,6.870107108155881
RADAR,1,confirmed,True,hellinger,-1.6560346403278192,-0.29408220918881,-6.021643842533002,5.990023685658347
RADAR,1,immediate,False,adwin,9.966750639277667,23.54906058507366,0.0,0.0
RADAR,1,immediate,False,d3_oof,0.3464773481558048,5.946829324498303,0.0,0.0
RADAR,1,immediate,False,hddm_w,9.589762421208366,23.216470740144956,0.0,0.0
RADAR,1,immediate,False,hellinger,1.669450805979696,7.628240730606127,0.0,0.0
RADAR,1,immediate,True,adwin,-2.3094724474245987,5.977227380076054,-23.07327411839425,23.085280120935536
RADAR,1,immediate,True,d3_oof,-0.6894498615383012,1.2578872363049163,-8.840797362791298,8.735165771733437
RADAR,1,immediate,True,hddm_w,-1.7852017343292488,4.450940167887178,-22.14283615523166,22.1145314637254
RADAR,1,immediate,True,hellinger,-1.9195858105461612,-0.9823526544824933,-9.361778843055731,9.535039050321389
RADAR,2,confirmed,False,adwin,4.15451547181183,14.669481732542659,0.0,0.0
RADAR,2,confirmed,False,d3_oof,-1.3506965793416963,4.2411425245924175,0.0,0.0
RADAR,2,confirmed,False,hddm_w,3.264526855915861,13.48773410140826,0.0,0.0
RADAR,2,confirmed,False,hellinger,1.3992264769869773,8.084266484998048,0.0,0.0
