dataset,policy,guarded,detector,population,accuracy_difference,macro_f1_difference,poison_admission_rate_difference,clean_withhold_rate_difference
RADAR,confirmed,False,adwin,attacked,0.03241130033283953,6.5206393175466175,0.0,0.0
RADAR,confirmed,False,adwin,clean,0.4841402213615065,4.85056146898782,,0.0
RADAR,confirmed,False,d3_oof,attacked,-1.3250909675563725,1.1895689715876532,0.0,0.0
RADAR,confirmed,False,d3_oof,clean,-0.2840521719330617,1.6416012315083457,,0.0
RADAR,confirmed,False,hddm_w,attacked,-0.3265594619657617,6.23143551913622,0.0,0.0
RADAR,confirmed,False,hddm_w,clean,-0.22829866262534435,2.822975423543132,,0.0
RADAR,confirmed,False,hellinger,attacked,-1.3422140804175327,2.4896392561450886,0.0,0.0
RADAR,confirmed,False,hellinger,clean,-2.688458660157052,-0.2827502065937367,,0.0
RADAR,confirmed,True,adwin,attacked,-2.4393103301781007,2.89743650491528,-7.893342146649335,6.984716817685981
RADAR,confirmed,True,adwin,clean,0.998852010464731,6.362799699119859,,7.235102760218901
RADAR,confirmed,True,d3_oof,attacked,-2.037760217442563,-0.6259636526549818,-5.915206785006262,5.165416796165285
RADAR,confirmed,True,d3_oof,clean,1.1634538002850303,3.5144964056224546,,5.167930543013499
RADAR,confirmed,True,hddm_w,attacked,-2.1524652592118945,2.930993055740826,-7.085087645069052,6.754889290492414
RADAR,confirmed,True,hddm_w,clean,0.19729108129565112,2.57920767372671,,7.85525442538052
RADAR,confirmed,True,hellinger,attacked,-2.178108561331831,0.5354939102862203,-7.386909871007187,6.548989579551157
RADAR,confirmed,True,hellinger,clean,-1.4417408146276973,-0.4993718068364776,,7.02838553849836
RADAR,immediate,False,adwin,attacked,3.6213142107032117,17.729820946172836,0.0,0.0
RADAR,immediate,False,adwin,clean,0.028720193459482363,11.932503134280301,,0.0
RADAR,immediate,False,d3_oof,attacked,-1.0638189324403222,3.6010765896475103,0.0,0.0
RADAR,immediate,False,d3_oof,clean,-0.19811435476100683,3.843643863037464,,0.0
RADAR,immediate,False,hddm_w,attacked,3.433312397800671,17.481942282275643,0.0,0.0
RADAR,immediate,False,hddm_w,clean,-0.1889452487022473,11.716719675344175,,0.0
RADAR,immediate,False,hellinger,attacked,0.31471608716366467,6.938496598827242,0.0,0.0
RADAR,immediate,False,hellinger,clean,-1.1685053086389046,4.901816776824564,,0.0
RADAR,immediate,True,adwin,attacked,-4.42324042383117,3.1027801420131804,-32.54365922911482,29.890748618586105
RADAR,immediate,True,adwin,clean,-5.969298643404575,0.6845725311264131,,28.940411040875606
RADAR,immediate,True,d3_oof,attacked,-1.7982908891351155,1.2829383849923433,-8.112891413316058,7.639477719614856
RADAR,immediate,True,d3_oof,clean,0.6463768327155672,0.8554770735421675,,9.922426642585918
RADAR,immediate,True,hddm_w,attacked,-3.661763738572142,2.788393236986872,-31.680495452302896,28.811836950992785
RADAR,immediate,True,hddm_w,clean,-2.442906295208021,2.8681352145365437,,28.11354215399345
RADAR,immediate,True,hellinger,attacked,-2.4838494001280047,0.6242100454340617,-12.323130845758284,11.584589131696106
RADAR,immediate,True,hellinger,clean,-2.3674877148386932,-2.5100172065920523,,14.883639963878887
RBF,confirmed,False,adwin,attacked,-5.840800346700658,-5.964314597683373,0.0,0.0
RBF,confirmed,False,adwin,clean,-5.832999182752492,-5.874302015950428,,0.0
RBF,confirmed,False,d3_oof,attacked,-1.927384011213765,-2.0145187118842323,0.0,0.0
RBF,confirmed,False,d3_oof,clean,-3.627112477008295,-3.712973472151182,,0.0
RBF,confirmed,False,hddm_w,attacked,-9.310698145117456,-9.529106026624117,0.0,0.0
RBF,confirmed,False,hddm_w,clean,-8.972476632678724,-9.12526725759516,,0.0
RBF,confirmed,False,hellinger,attacked,-6.390080670571685,-6.559201348262021,0.0,0.0
RBF,confirmed,False,hellinger,clean,-5.802866356568855,-5.864239896735043,,0.0
RBF,confirmed,True,adwin,attacked,-1.1862649987182425,-1.2607590618843583,-10.07300955995319,1.8195007131631595
RBF,confirmed,True,adwin,clean,0.8148857035407575,0.7903058303785016,,3.0789825970548903
RBF,confirmed,True,d3_oof,attacked,-0.305231021879784,-0.3168276082645219,-2.10156755500167,1.0017756080157862
RBF,confirmed,True,d3_oof,clean,-1.5244701410625616,-1.6704833205536953,,3.0789825970548867
RBF,confirmed,True,hddm_w,attacked,-3.654490041231655,-3.8689091003654195,-8.946935538436492,6.16648881413609
RBF,confirmed,True,hddm_w,clean,-1.3568081749527099,-1.362089116655352,,5.087014725568943
RBF,confirmed,True,hellinger,attacked,-1.0401593827072033,-1.1369730490914554,-4.9137184154461275,1.8332027386998841
RBF,confirmed,True,hellinger,clean,-0.9056725147991829,-0.9161706106204185,,0.6693440428380169
RBF,immediate,False,adwin,attacked,-14.181259600986445,-14.715246149185527,0.0,0.0
RBF,immediate,False,adwin,clean,-14.832292790817874,-15.321477450314775,,0.0
RBF,immediate,False,d3_oof,attacked,-8.134511026766399,-8.389713334338326,0.0,0.0
RBF,immediate,False,d3_oof,clean,-10.365150111509786,-10.608713837362187,,0.0
RBF,immediate,False,hddm_w,attacked,-15.664764057017893,-16.21563237119943,0.0,0.0
RBF,immediate,False,hddm_w,clean,-16.117248975493975,-16.599537235197822,,0.0
RBF,immediate,False,hellinger,attacked,-12.935714195817033,-13.393604301871084,0.0,0.0
RBF,immediate,False,hellinger,clean,-14.684613252070207,-15.12831116368244,,0.0
RBF,immediate,True,adwin,attacked,-7.120832627503191,-7.436177729138859,-30.540678026661425,13.64006108625322
RBF,immediate,True,adwin,clean,-7.359657560492088,-7.507709052244304,,9.236947791164662
RBF,immediate,True,d3_oof,attacked,-1.0595236046501588,-1.1515250251411595,-4.042065409854521,3.7924232717920887
RBF,immediate,True,d3_oof,clean,-0.7647884616595749,-0.8438765748734367,,1.3386880856760364
RBF,immediate,True,hddm_w,attacked,-12.125729694663255,-12.675433465766183,-35.9592393241462,23.391280776089662
RBF,immediate,True,hddm_w,clean,-14.211441002375679,-14.645820799698086,,24.364123159303883
RBF,immediate,True,hellinger,attacked,-3.797903297365856,-3.9345231442542317,-10.995082783080667,7.730967621787312
RBF,immediate,True,hellinger,clean,-6.05178387769519,-6.225869522410725,,10.843373493975905
SEA,confirmed,False,adwin,attacked,1.2825012964828835,1.5483642824915849,0.0,0.0
SEA,confirmed,False,adwin,clean,2.6697222226780393,3.0751860712935346,,0.0
SEA,confirmed,False,d3_oof,attacked,0.7079975607300474,0.8383730187238481,0.0,0.0
SEA,confirmed,False,d3_oof,clean,1.5630115413583316,1.793824064745279,,0.0
SEA,confirmed,False,hddm_w,attacked,0.9732740567474486,1.2013142801103327,0.0,0.0
SEA,confirmed,False,hddm_w,clean,1.5016312513748058,1.773897028430408,,0.0
SEA,confirmed,False,hellinger,attacked,1.5812289071063053,1.8900717748518285,0.0,0.0
SEA,confirmed,False,hellinger,clean,2.3915329951539372,2.7942617847308853,,0.0
SEA,confirmed,True,adwin,attacked,1.695452893470546,1.9979377548307629,-11.73407790779441,10.254860967887614
SEA,confirmed,True,adwin,clean,2.2772177256940918,2.6167174618743814,,6.961178045515393
SEA,confirmed,True,d3_oof,attacked,0.6309473349321458,0.7456986605802802,-2.5112511626766048,2.2814833070582767
