dataset,base_key,attack_seed,category,mode,level,condition,run_id,detector,policy,guarded,series,rows,common_host_rows,mask_sha256,correct,accuracy,macro_f1,macro_recall,roc_auc,poison_admission_rate,clean_withhold_rate,resets_per_100k,seconds_per_100k,mode_control,level_control,condition_control,run_id_control,detector_control,policy_control,series_control,rows_control,common_host_rows_control,mask_sha256_control,correct_control,accuracy_control,macro_f1_control,macro_recall_control,roc_auc_control,poison_admission_rate_control,clean_withhold_rate_control,resets_per_100k_control,seconds_per_100k_control,accuracy_difference,macro_f1_difference,poison_admission_rate_difference,clean_withhold_rate_difference
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__adwin__confirmed__unguarded,adwin,confirmed,False,confirmed_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,130473,0.7003306459404622,0.589836482437204,0.5725810390729684,0.8585901902460671,,0.0,8.457915680769382,48.72667517270531,clean,none,radar__clean__none__anone,radar__clean__none__anone__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,130933,0.702799755236122,0.5454880591420612,0.5340568366837255,0.9337119970549014,,0.0,0.0,71.09325980449763,-0.24691092956597993,4.434842329514277,,0.0
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__adwin__confirmed__guarded,adwin,confirmed,True,confirmed_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,123507,0.6629397429979281,0.5312108690192276,0.5183263046544591,0.8648226741678047,,0.1467692274215834,6.807590669887551,65.297160409542,clean,none,radar__clean__none__anone,radar__clean__none__anone__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,122637,0.658269905851789,0.4807178165561163,0.4826151195326539,0.914419801221184,,0.0744181998193944,0.0,178.0275463380358,0.4669837146139111,5.049305246311136,,7.235102760218901
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__adwin__immediate__unguarded,adwin,immediate,False,immediate_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,131071,0.7035404880248199,0.6729477482970583,0.6952380831905806,0.8000996951884963,,0.0,50.128622205535606,33.952264864786535,clean,none,radar__clean__none__anone,radar__clean__none__anone__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,130933,0.702799755236122,0.5454880591420612,0.5340568366837255,0.9337119970549014,,0.0,0.0,71.09325980449763,0.07407327886979065,12.745968915499706,,0.0
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__adwin__immediate__guarded,adwin,immediate,True,immediate_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,111479,0.5983779025453296,0.481832497104255,0.4783997691196657,0.76669685237472,,0.3638223102281505,21.660515767824027,37.3671877636694,clean,none,radar__clean__none__anone,radar__clean__none__anone__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,122637,0.658269905851789,0.4807178165561163,0.4826151195326539,0.914419801221184,,0.0744181998193944,0.0,178.0275463380358,-5.9892003306459385,0.11146805481387356,,28.940411040875606
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__d3_oof__confirmed__unguarded,d3_oof,confirmed,False,confirmed_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,129849,0.6969812455046108,0.5582057134044445,0.5538877526560155,0.9009665343266502,,0.0,1.8566156372420597,74.87035261257311,clean,none,radar__clean__none__anone,radar__clean__none__anone__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,130933,0.702799755236122,0.5454880591420612,0.5340568366837255,0.9337119970549014,,0.0,0.0,71.09325980449763,-0.5818509731511212,1.271765426238325,,0.0
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__d3_oof__confirmed__guarded,d3_oof,confirmed,True,confirmed_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,124954,0.670706702021449,0.5140965420331118,0.5135209292862785,0.8946975237527864,,0.1260975052495294,1.2377437581613728,100.78792277716036,clean,none,radar__clean__none__anone,radar__clean__none__anone__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,122637,0.658269905851789,0.4807178165561163,0.4826151195326539,0.914419801221184,,0.0744181998193944,0.0,178.0275463380358,1.243679616965998,3.337872547699555,,5.167930543013499
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__d3_oof__immediate__unguarded,d3_oof,immediate,False,immediate_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,130186,0.6987901364451268,0.5846347990870416,0.5916865516555118,0.8911246541483908,,0.0,3.713231274484119,59.75931548642823,clean,none,radar__clean__none__anone,radar__clean__none__anone__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,130933,0.702799755236122,0.5454880591420612,0.5340568366837255,0.9337119970549014,,0.0,0.0,71.09325980449763,-0.4009618790995262,3.9146739944980413,,0.0
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__d3_oof__immediate__guarded,d3_oof,immediate,True,immediate_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,123546,0.6631490805251689,0.4846911428270303,0.4746536280724691,0.89118784436846,,0.1736424662452536,2.4754875163227457,87.47269355733067,clean,none,radar__clean__none__anone,radar__clean__none__anone__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,122637,0.658269905851789,0.4807178165561163,0.4826151195326539,0.914419801221184,,0.0744181998193944,0.0,178.0275463380358,0.4879174673379838,0.39733262709140127,,9.922426642585918
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__hddm_w__confirmed__unguarded,hddm_w,confirmed,False,confirmed_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,128691,0.6907655312342326,0.5675852975101268,0.554311093070051,0.8687178303188013,,0.0,8.251625054409153,50.40405237306143,clean,none,radar__clean__none__anone,radar__clean__none__anone__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,130933,0.702799755236122,0.5454880591420612,0.5340568366837255,0.9337119970549014,,0.0,0.0,71.09325980449763,-1.203422400188947,2.209723836806554,,0.0
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__hddm_w__confirmed__guarded,hddm_w,confirmed,True,confirmed_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,121357,0.6513993408551706,0.4894549284612864,0.4763607856902693,0.8695545793455639,,0.1529707440731996,6.395009417167093,66.84825610154203,clean,none,radar__clean__none__anone,radar__clean__none__anone__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,122637,0.658269905851789,0.4807178165561163,0.4826151195326539,0.914419801221184,,0.0744181998193944,0.0,178.0275463380358,-0.6870564996618422,0.8737111905170125,,7.8552544253805205
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__hddm_w__immediate__unguarded,hddm_w,immediate,False,immediate_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,130226,0.6990048416012711,0.6676771233916896,0.6905900875263031,0.8036421654004443,,0.0,47.03426281013217,36.92982578756649,clean,none,radar__clean__none__anone,radar__clean__none__anone__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,130933,0.702799755236122,0.5454880591420612,0.5340568366837255,0.9337119970549014,,0.0,0.0,71.09325980449763,-0.37949136348509604,12.218906424962839,,0.0
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__hddm_w__immediate__guarded,hddm_w,immediate,True,immediate_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,119992,0.6440725274017456,0.5121885228959411,0.5047167870015492,0.828508340228495,,0.3555536213593289,11.345984449812583,42.95051469511871,clean,none,radar__clean__none__anone,radar__clean__none__anone__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,122637,0.658269905851789,0.4807178165561163,0.4826151195326539,0.914419801221184,,0.0744181998193944,0.0,178.0275463380358,-1.419737845004343,3.147070633982479,,28.11354215399345
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__hellinger__confirmed__unguarded,hellinger,confirmed,False,confirmed_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,125309,0.67261221028223,0.5455082571154527,0.5525977354895526,0.8891936900249398,,0.0,3.0943593954034325,62.90741212536675,clean,none,radar__clean__none__anone,radar__clean__none__anone__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,130933,0.702799755236122,0.5454880591420612,0.5340568366837255,0.9337119970549014,,0.0,0.0,71.09325980449763,-3.0187544953892087,0.002019797339147811,,0.0
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__hellinger__confirmed__guarded,hellinger,confirmed,True,confirmed_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,119791,0.6429936339921203,0.4732555857005283,0.4617965090705726,0.8840147944832544,,0.144702055204378,1.6503250108818304,93.94371684136584,clean,none,radar__clean__none__anone,radar__clean__none__anone__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,122637,0.658269905851789,0.4807178165561163,0.4826151195326539,0.914419801221184,,0.0744181998193944,0.0,178.0275463380358,-1.5276271859668733,-0.7462230855588003,,7.028385538498361
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__hellinger__immediate__unguarded,hellinger,immediate,False,immediate_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,128475,0.6896061233910532,0.6012083181735147,0.6080452328257265,0.846226055235577,,0.0,6.6013000435273215,48.24545987337672,clean,none,radar__clean__none__anone,radar__clean__none__anone__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,130933,0.702799755236122,0.5454880591420612,0.5340568366837255,0.9337119970549014,,0.0,0.0,71.09325980449763,-1.3193631845068832,5.5720259031453505,,0.0
RADAR,radar,0,0,clean,none,radar__clean__none__anone,radar__clean__none__anone__hellinger__immediate__guarded,hellinger,immediate,True,immediate_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,118495,0.6360371869330442,0.4566668111862058,0.447225870862249,0.8645089067197418,,0.2232545994581833,2.0629062636022883,98.52266643012352,clean,none,radar__clean__none__anone,radar__clean__none__anone__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,122637,0.658269905851789,0.4807178165561163,0.4826151195326539,0.914419801221184,,0.0744181998193944,0.0,178.0275463380358,-2.2232718918744787,-2.4051005369910508,,14.883639963878888
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__adwin__confirmed__unguarded,adwin,confirmed,False,confirmed_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,123105,0.6607819561786776,0.5340890433590901,0.50839801234943,0.8128780748327712,1.0,0.0,8.87049693348984,66.31001683334321,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,123640,0.6636536376421079,0.4786320167060567,0.4538670614349118,0.7739545369661586,1.0,0.0,0.0,68.99481139878473,-0.2871681463430309,5.5457026653033425,0.0,0.0
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__adwin__confirmed__guarded,adwin,confirmed,True,confirmed_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,117587,0.6311633798885681,0.4714414745739038,0.4517396124302347,0.8054854896069377,0.8260504201680672,0.1735881908614884,7.01388129624778,85.525919984006,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,127415,0.6839164367532287,0.5014248391348928,0.4899609472175493,0.847014775619013,0.9244277021153288,0.0766467372517891,0.0,270.9025827792672,-5.275305686466059,-2.998336456098899,-9.837728194726159,9.694145360969932
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__adwin__immediate__unguarded,adwin,immediate,False,immediate_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,134787,0.7234865970306277,0.6788778941147927,0.6789128547701953,0.8384415476482412,1.0,0.0,48.89087844737423,45.62865409810299,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,123640,0.6636536376421079,0.4786320167060567,0.4538670614349118,0.7739545369661586,1.0,0.0,0.0,68.99481139878473,5.983295938851974,20.0245877408736,0.0,0.0
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__adwin__immediate__guarded,adwin,immediate,True,immediate_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,115074,0.6176745284538008,0.5053433378573627,0.4970185413579692,0.80762568308575,0.6854534917415241,0.3141507380711569,25.786328295028603,51.62709978071672,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,127415,0.6839164367532287,0.5014248391348928,0.4899609472175493,0.847014775619013,0.9244277021153288,0.0766467372517891,0.0,270.9025827792672,-6.624190829942789,0.3918498722469965,-23.89742103738046,23.750400081936778
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__d3_oof__confirmed__unguarded,d3_oof,confirmed,False,confirmed_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,121089,0.6499608163090037,0.5017115309071383,0.4754414906023666,0.7996178075063392,1.0,0.0,1.0314531318011442,87.09304637622051,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,123640,0.6636536376421079,0.4786320167060567,0.4538670614349118,0.7739545369661586,1.0,0.0,0.0,68.99481139878473,-1.3692821333104233,2.3079514201081563,0.0,0.0
