dataset,category,mode,level,accuracy,macro_f1,macro_recall,roc_auc,accuracy_change_pp,macro_f1_change_pp,macro_recall_change_pp
RADAR,0,clean,none,0.7015510745648297,0.5494893664597541,0.5405454458803849,0.9351512119603299,0.0,0.0,0.0
RADAR,1,instance,moderate,0.6421541725654216,0.4554997807968932,0.43957017478275473,0.7797817374411804,-5.939690199940806,-9.398958566286092,-10.097527109763016
RADAR,2,instance,severe,0.6147655043948198,0.3871928876138382,0.35724147463630535,0.7773463231876031,-8.678557017000987,-16.229647884591593,-18.330397124407956
RADAR,3,concept,moderate,0.6627104072184092,0.4926781340852759,0.4993184552868371,0.8986602027337093,-3.8840667346420443,-5.681123237447822,-4.122699059354779
RADAR,4,concept,severe,0.6532112777500655,0.4517309588828571,0.4668268216679528,0.9004584366612568,-4.8339796814764195,-9.775840757689702,-7.3718624212432085
RADAR,5,splice,moderate,0.6871369049545075,0.5102110757428749,0.4962610536417335,0.9117688366171214,-1.4414169610322158,-3.927829071687916,-4.428439223865138
RADAR,6,splice,severe,0.6948738942138747,0.5136399787483392,0.5117514393365529,0.9159769193261327,-0.6677180350954992,-3.584938771141488,-2.879400654383202
RBF,0,clean,none,0.685923262888234,0.6849979009620352,0.6848431211660801,0.8696593847361034,0.0,0.0,0.0
RBF,1,instance,moderate,0.6649036481679075,0.6635900770547398,0.6630006078454537,0.854924924145719,-2.101961472032654,-2.1407823907295342,-2.1842513320626478
RBF,2,instance,severe,0.6509348215375623,0.6494079725783796,0.6486601245219146,0.8447727168163169,-3.4988441350671695,-3.55899283836556,-3.6182996644165577
RBF,3,concept,moderate,0.6717011709226609,0.6704479694965668,0.6709263967792113,0.8633034127915801,-1.4222091965573114,-1.4549931465468346,-1.3916724386868862
RBF,4,concept,severe,0.6752992534987564,0.6729558543672493,0.6727517636888679,0.8642124150546241,-1.0624009389477607,-1.2042046594785916,-1.209135747721224
RBF,5,splice,moderate,0.67525153844369,0.6742169492837372,0.6741337579052527,0.8656084325558555,-1.0671724444544006,-1.0780951678297956,-1.0709363260827498
RBF,6,splice,severe,0.6887808113790838,0.6883471797664963,0.6876781674649015,0.8733667628760916,0.2857548490849737,0.334927880446112,0.2835046298821364
SEA,0,clean,none,0.8997633993689647,0.8891380015673663,0.8792103964574404,0.9292834096921356,0.0,0.0,0.0
SEA,1,instance,moderate,0.8990591564046708,0.888488692092063,0.8789403353716606,0.9258156221156001,-0.0704242964293833,-0.06493094753032835,-0.02700610857797603
SEA,2,instance,severe,0.8952597431077566,0.8837993258675869,0.873082264354152,0.9232144389564532,-0.45036562612080777,-0.5338675699779416,-0.6128132103288331
SEA,3,concept,moderate,0.8987440474761305,0.8880574911063457,0.8782622842438189,0.92662274985611,-0.10193518928341971,-0.10805104610206451,-0.09481122136214548
SEA,4,concept,severe,0.8986543796319163,0.8880902465489928,0.8786737826549135,0.9252434420433436,-0.11090197370483557,-0.10477550183735085,-0.05366138025268974
SEA,5,splice,moderate,0.8989435861197729,0.8885372892616653,0.8794735265509518,0.9297525055547817,-0.08198132491917809,-0.06007123057010233,0.026313009351142114
SEA,6,splice,severe,0.9011389608022581,0.891237780161803,0.8828802314058675,0.9309324018419485,0.13755614332934263,0.20997785944366631,0.36698349484270976
