dataset,detector,policy,metric,mean_difference,min_condition_difference,max_condition_difference,defined_conditions,positive_conditions
RADAR,adwin,confirmed,accuracy,-2.8012248639080553,-4.901865035140673,-0.39872428364112383,7,0
RADAR,adwin,confirmed,clean_withhold_rate,15.464225655029784,13.765960945018307,17.784373624398587,7,7
RADAR,adwin,confirmed,macro_f1,-4.932712743649046,-8.177175363877636,-1.3805394754248024,7,0
RADAR,adwin,confirmed,macro_recall,-4.778506795096112,-7.941176605448413,-1.6490622222714226,7,0
RADAR,adwin,confirmed,poison_admission_rate,-17.024353650861666,-20.95890210102384,-14.786521857453527,6,0
RADAR,adwin,confirmed,resets_per_100k,-1.4636811108416237,-1.9941427214822118,-0.6188718790806865,7,0
RADAR,adwin,confirmed,roc_auc,-0.0043458246663649535,-0.022575726628510078,0.016841558368338522,7,1
RADAR,adwin,confirmed,seconds_per_100k,18.574262337625953,12.646913589646408,24.40458656264021,7,7
RADAR,adwin,immediate,accuracy,-8.508328956780616,-11.761415127634315,-5.589197520565707,7,0
RADAR,adwin,immediate,clean_withhold_rate,38.19872552446657,30.18477598329072,44.7121050012774,7,7
RADAR,adwin,immediate,macro_f1,-16.187455141142735,-18.78533438836203,-13.80941287508936,7,0
RADAR,adwin,immediate,macro_recall,-17.73289953269407,-20.988312521222028,-15.66571624145761,7,0
RADAR,adwin,immediate,poison_admission_rate,-41.674670733327154,-49.37315225197375,-30.168567803816746,6,0
RADAR,adwin,immediate,resets_per_100k,-33.4485515598371,-43.66484924624843,-20.629062636022883,7,0
RADAR,adwin,immediate,roc_auc,-0.024361452402450374,-0.0494682221496191,-0.007841187441468667,7,0
RADAR,adwin,immediate,seconds_per_100k,5.661252230275562,3.414922898882864,8.085153414899755,7,7
RADAR,d3_oof,confirmed,accuracy,-1.1602093686418602,-3.292208680131862,0.0807591241897961,7,1
RADAR,d3_oof,confirmed,clean_withhold_rate,13.609515319839845,12.609750524952938,16.752903740139555,7,7
RADAR,d3_oof,confirmed,macro_f1,-3.3317587330327183,-5.664508611094036,-0.808054104627165,7,0
RADAR,d3_oof,confirmed,macro_recall,-2.484377942701881,-5.442729560446485,0.0019718661999605183,7,1
RADAR,d3_oof,confirmed,poison_admission_rate,-15.046218289218594,-16.71777145793095,-13.204644542884992,6,0
RADAR,d3_oof,confirmed,resets_per_100k,-0.31434762112034875,-0.7563989633208393,0.20629062636022885,7,2
RADAR,d3_oof,confirmed,roc_auc,0.007496926237430817,-0.014463188667090066,0.03970719025652991,7,4
RADAR,d3_oof,confirmed,seconds_per_100k,50.16721074050635,25.917570164587246,67.04925411500062,7,7
RADAR,d3_oof,immediate,accuracy,-1.2650423722980224,-3.89522346487338,1.1968312994565207,7,2
RADAR,d3_oof,immediate,clean_withhold_rate,16.40935269702125,13.496299800740596,20.611708399533804,7,7
RADAR,d3_oof,immediate,macro_f1,-4.457000939616233,-10.525570574703437,-0.6080826126671787,7,0
RADAR,d3_oof,immediate,macro_recall,-4.895948488755929,-11.852032438838313,-0.5869443742879047,7,0
RADAR,d3_oof,immediate,poison_admission_rate,-17.24390291752839,-20.57626592977891,-15.462607089995567,6,0
RADAR,d3_oof,immediate,resets_per_100k,-1.051099858121166,-1.7190885530019069,-0.6188718790806864,7,0
RADAR,d3_oof,immediate,roc_auc,0.004846211328871398,-0.029387266531739547,0.02800650302617406,7,5
RADAR,d3_oof,immediate,seconds_per_100k,29.35453192017805,19.586441211638718,43.27577128282693,7,7
RADAR,hddm_w,confirmed,accuracy,-2.2604001561356815,-4.314124908428959,-0.9568511972746515,7,0
RADAR,hddm_w,confirmed,clean_withhold_rate,15.355823726744102,12.74097625839851,17.7400415903119,7,7
RADAR,hddm_w,confirmed,macro_f1,-4.906919012868016,-7.781171535024565,-2.1447669944456833,7,0
