experiment,detector,method,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,malicious_recall,benign_fpr,resets_per_100k,training_visits_per_100k
E1_fixed,adwin,confirmed_screened,0.5522662470717667,0.729515479612662,0.7099170306457218,0.24628245582871466,0.6115237021283185,0.19343778663021485,3.8839083193604345,107546.91933352478
E1_fixed,adwin,confirmed_unscreened,0.5708177194736396,0.7338186813649136,1.0,0.0,0.6631364133999009,0.1935176301398205,5.702875143964448,105835.38217646941
E1_fixed,adwin,immediate_screened,0.5468312281724481,0.7135008835875958,0.5058203447436954,0.3882267124098541,0.6498036990211568,0.253148960576171,17.19321714855486,94999.91940293695
E1_fixed,adwin,immediate_unscreened,0.5737460990566822,0.7292616044721809,1.0,0.0,0.8312350628857087,0.22488095990089163,37.456479395278585,94999.91940293695
E1_fixed,adwin,none_screened,0.5665087747063638,0.7590057933029369,0.7808866028492588,0.19109401443967425,0.8206572971597319,0.09141287449919136,0.0,94999.91940293695
E1_fixed,adwin,none_unscreened,0.5823562551975056,0.7659254853949541,1.0,0.0,0.8296543526937642,0.0879170636544082,0.0,94999.91940293695
E1_fixed,d3_oof,confirmed_screened,0.5625089460602608,0.7511841547916672,0.7634972525116498,0.19999230222167183,0.7785340335203832,0.12120415453776391,0.6924833863135659,96977.56105392009
E1_fixed,d3_oof,confirmed_unscreened,0.5787096257622304,0.7527012638821674,1.0,0.0,0.7442261423696188,0.13107490723233534,1.0179988045317263,96934.11713154723
E1_fixed,d3_oof,immediate_screened,0.5582724098963142,0.7452183430350279,0.732947646946177,0.23290515147612723,0.6918602185089736,0.13890965652224466,1.3617765303326224,94999.91940293695
E1_fixed,d3_oof,immediate_unscreened,0.5654533104285978,0.7417304018918487,1.0,0.0,0.6279686657645102,0.1606218109479086,2.863695891819661,94999.91940293695
E1_fixed,d3_oof,none_screened,0.5665087747063638,0.7590057933029369,0.7808866028492588,0.19109401443967425,0.8206572971597319,0.09141287449919136,0.0,94999.91940293695
E1_fixed,d3_oof,none_unscreened,0.5823562551975056,0.7659254853949541,1.0,0.0,0.8296543526937642,0.0879170636544082,0.0,94999.91940293695
E1_fixed,hddm_w,confirmed_screened,0.549630963900995,0.7277236970608589,0.7227879972960388,0.24031181135651783,0.6039183140441378,0.1868818507764203,4.118551371416597,108354.64589433627
E1_fixed,hddm_w,confirmed_unscreened,0.5649569986884029,0.7314590840233457,1.0,0.0,0.6604065548309545,0.18502985897797622,5.874026132528548,106160.5690547412
E1_fixed,hddm_w,immediate_screened,0.5559648054524385,0.7272730852388252,0.4850326095116458,0.40282057805327853,0.6721504304471024,0.21912456100911096,20.508753663465484,94999.91940293695
E1_fixed,hddm_w,immediate_unscreened,0.5744071555790685,0.7305294259823297,1.0,0.0,0.8288435359802354,0.22199318353267317,49.14291043560903,94999.91940293695
E1_fixed,hddm_w,none_screened,0.5665087747063638,0.7590057933029369,0.7808866028492588,0.19109401443967425,0.8206572971597319,0.09141287449919136,0.0,94999.91940293695
E1_fixed,hddm_w,none_unscreened,0.5823562551975056,0.7659254853949541,1.0,0.0,0.8296543526937642,0.0879170636544082,0.0,94999.91940293695
E1_fixed,hellinger,confirmed_screened,0.5556827542512776,0.7394545936176552,0.7390090745015921,0.22202373929068706,0.6962808623816239,0.15679808091638026,1.8359905691567213,100238.12537152779
E1_fixed,hellinger,confirmed_unscreened,0.5702869438466707,0.740900066146215,1.0,0.0,0.6993118410736147,0.16033702630925098,2.5195931460257586,99787.14638038591
E1_fixed,hellinger,immediate_screened,0.5597107443349035,0.7367791561778886,0.6551916838493322,0.2936396821868514,0.6893052443611069,0.16210569345736997,4.36325227900532,94999.91940293695
E1_fixed,hellinger,immediate_unscreened,0.5553978715075992,0.7285677478598621,1.0,0.0,0.6913480824384556,0.18087509807239058,7.36611594200038,94999.91940293695
E1_fixed,hellinger,none_screened,0.5665087747063638,0.7590057933029369,0.7808866028492588,0.19109401443967425,0.8206572971597319,0.09141287449919136,0.0,94999.91940293695
E1_fixed,hellinger,none_unscreened,0.5823562551975056,0.7659254853949541,1.0,0.0,0.8296543526937642,0.0879170636544082,0.0,94999.91940293695
E2_RL,adwin,RL_2state,0.553000089742053,0.7182029086553378,0.6014739983574408,0.3492530974834134,0.6513480444604799,0.24944799624617175,27.478274420169924,94999.91940293695
E2_RL,adwin,RL_4state,0.552958299236965,0.7242682976745911,0.6378321832313599,0.31584044942819106,0.6735443559754918,0.21870580158626632,15.126042621700742,94999.91940293695
E2_RL,adwin,confirmed_screened,0.5522662470717667,0.729515479612662,0.7099170306457218,0.24628245582871466,0.6115237021283185,0.19343778663021485,3.8839083193604345,107546.91933352478
E2_RL,adwin,error_rule,0.5535916135365582,0.7184324687890126,0.5061215054051732,0.4105476623978732,0.629303107737292,0.24845992389073565,14.276438386177047,94999.91940293695
E2_RL,adwin,none_screened,0.5665087747063638,0.7590057933029369,0.7808866028492588,0.19109401443967425,0.8206572971597319,0.09141287449919136,0.0,94999.91940293695
E2_RL,adwin,selected_map,0.5633850955574878,0.7394099823904758,0.6273822985212328,0.32170646925225216,0.7330070248720274,0.17933142390247708,6.511924582202918,94999.91940293695
E2_RL,d3_oof,RL_2state,0.5556338210623548,0.7215547505921306,0.6239595302831241,0.32507550501459453,0.671404542713822,0.24247667182153387,24.886352417073027,94999.91940293695
E2_RL,d3_oof,RL_4state,0.5516632274064033,0.7215481133361449,0.5992774189894373,0.3410449049340369,0.6821397904800078,0.2252083684300627,24.841758555542725,94999.91940293695
E2_RL,d3_oof,confirmed_screened,0.5625089460602608,0.7511841547916672,0.7634972525116498,0.19999230222167183,0.7785340335203832,0.12120415453776391,0.6924833863135659,96977.56105392009
E2_RL,d3_oof,error_rule,0.5535916135365582,0.7184324687890126,0.5061215054051732,0.4105476623978732,0.629303107737292,0.24845992389073565,14.276438386177047,94999.91940293695
E2_RL,d3_oof,none_screened,0.5665087747063638,0.7590057933029369,0.7808866028492588,0.19109401443967425,0.8206572971597319,0.09141287449919136,0.0,94999.91940293695
E2_RL,d3_oof,selected_map,0.5565156516158559,0.7209427571989987,0.585353921966074,0.3598026183165046,0.6293058244272769,0.24855392716229688,10.095255859488725,94999.91940293695
E2_RL,hddm_w,RL_2state,0.5564532382374944,0.7290438795953511,0.5872593865027614,0.3538879180651337,0.6888271327534161,0.2098038543914755,26.441663615492136,94999.91940293695
E2_RL,hddm_w,RL_4state,0.552456890325448,0.7207486264692172,0.6106152573005937,0.3376455716085032,0.638368788848427,0.23706542646624285,19.897072484392954,94999.91940293695
E2_RL,hddm_w,confirmed_screened,0.549630963900995,0.7277236970608589,0.7227879972960388,0.24031181135651783,0.6039183140441378,0.1868818507764203,4.118551371416597,108354.64589433627
E2_RL,hddm_w,error_rule,0.5535916135365582,0.7184324687890126,0.5061215054051732,0.4105476623978732,0.629303107737292,0.24845992389073565,14.276438386177047,94999.91940293695
E2_RL,hddm_w,none_screened,0.5665087747063638,0.7590057933029369,0.7808866028492588,0.19109401443967425,0.8206572971597319,0.09141287449919136,0.0,94999.91940293695
E2_RL,hddm_w,selected_map,0.5586177649936438,0.7311765964459003,0.6527878436870067,0.30269279376094205,0.6694473245126676,0.21314694958223063,19.954603457515315,94999.91940293695
E2_RL,hellinger,RL_2state,0.5612455034717261,0.7403090105945438,0.635041102010958,0.3080071812037393,0.746030919936777,0.16694477316036263,20.906668272028575,94999.91940293695
E2_RL,hellinger,RL_4state,0.5593819547398448,0.7414898771159493,0.664132767647013,0.2821575120973679,0.7492288859302908,0.15180564321371073,15.914825155363177,94999.91940293695
E2_RL,hellinger,confirmed_screened,0.5556827542512776,0.7394545936176552,0.7390090745015921,0.22202373929068706,0.6962808623816239,0.15679808091638026,1.8359905691567213,100238.12537152779
E2_RL,hellinger,error_rule,0.5535916135365582,0.7184324687890126,0.5061215054051732,0.4105476623978732,0.629303107737292,0.24845992389073565,14.276438386177047,94999.91940293695
E2_RL,hellinger,none_screened,0.5665087747063638,0.7590057933029369,0.7808866028492588,0.19109401443967425,0.8206572971597319,0.09141287449919136,0.0,94999.91940293695
E2_RL,hellinger,selected_map,0.556080290870243,0.7205175177200293,0.5974329011716311,0.3524061984354217,0.6227749005392108,0.24990964893414971,10.894748130888315,94999.91940293695
E3_filter,adwin,confirmed_screened_filter_learned_features,0.5490898671991593,0.7216932580422935,0.6126489288336009,0.2631341165845377,0.6339868801168159,0.21089683473598977,4.070289323718268,101662.64929744035
E3_filter,adwin,confirmed_screened_filter_learned_features_label,0.5454082067399265,0.7186518871233397,0.5466366129834507,0.24264500514684886,0.5976974276835042,0.20422254303911141,3.8117655921597806,96928.78051393293
E3_filter,adwin,confirmed_screened_filter_none,0.5522662470717667,0.729515479612662,0.7099170306457218,0.24628245582871466,0.6115237021283185,0.19343778663021485,3.8839083193604345,107546.91933352478
E3_filter,adwin,confirmed_screened_filter_oracle_blocks,0.5025727186712858,0.6826378087364068,0.0,0.6774295544503538,0.7299119263463145,0.21572690268573333,0.46722183239561116,36170.06781338194
E3_filter,adwin,confirmed_screened_filter_oracle_rows,0.5597635713055574,0.7273223907288582,0.0,0.2149307196521534,0.6788999013800446,0.21700577093107828,3.693932817577924,88145.68087938304
E3_filter,adwin,confirmed_screened_filter_random_blocks,0.5027300291179411,0.679231489344969,0.17717370618977527,0.722105320414666,0.741225058986621,0.21323094299050013,0.4703964355702144,36176.099559413684
E3_filter,adwin,confirmed_screened_filter_random_rows,0.547730563885288,0.7214394377910157,0.583346206405606,0.3730157413264559,0.637995806722501,0.20400049215476512,4.101952784595631,88810.4436253151
E3_filter,adwin,none_screened_filter_learned_features,0.5666809200941505,0.7579699310882907,0.6681321474592442,0.21202357923754242,0.8019252738732724,0.08940120921451462,0.0,90046.89426711446
E3_filter,adwin,none_screened_filter_learned_features_label,0.5607616218657335,0.7442955545192013,0.5802472713687913,0.21127814545479942,0.8426696072127836,0.10588288575128162,0.0,86594.27168394899
E3_filter,adwin,none_screened_filter_none,0.5665087747063638,0.7590057933029369,0.7808866028492588,0.19109401443967425,0.8206572971597319,0.09141287449919136,0.0,94999.91940293695
E3_filter,d3_oof,confirmed_screened_filter_learned_features,0.5603401263857006,0.7465311622071561,0.6507593396792463,0.2266682802867137,0.7506509602057958,0.12932121664060364,0.7472246483583037,91916.84170269685
E3_filter,d3_oof,confirmed_screened_filter_learned_features_label,0.5511406793353752,0.7331635498844536,0.5706356632909321,0.22249374112412976,0.7634603341757888,0.1436991047891872,0.7207420982803878,88374.77414788345
E3_filter,d3_oof,confirmed_screened_filter_none,0.5625089460602608,0.7511841547916672,0.7634972525116498,0.19999230222167183,0.7785340335203832,0.12120415453776391,0.6924833863135659,96977.56105392009
E3_filter,d3_oof,confirmed_screened_filter_oracle_blocks,0.5041587724051398,0.6900860487786304,0.0,0.6686118569291333,0.7781182989987728,0.19037912743462626,0.03174603174603175,34754.34322769197
E3_filter,d3_oof,confirmed_screened_filter_oracle_rows,0.5653374191870509,0.7570324104274073,0.0,0.17614536442637477,0.7934590803208513,0.10795726858868737,0.5473247860970395,80313.17739018815
E3_filter,d3_oof,confirmed_screened_filter_random_blocks,0.5043445775906463,0.6867066349560639,0.17744020645627553,0.7132906302223061,0.7894314316390795,0.18788316773939306,0.03174603174603175,34754.34322769197
E3_filter,d3_oof,confirmed_screened_filter_random_rows,0.5560213220417521,0.7442340078103636,0.6137477738588687,0.336207121065812,0.7394768116044179,0.12635562211654003,0.7300357620682588,80360.22757215658
E3_filter,d3_oof,none_screened_filter_learned_features,0.5666809200941505,0.7579699310882907,0.6681321474592442,0.21202357923754242,0.8019252738732724,0.08940120921451462,0.0,90046.89426711446
E3_filter,d3_oof,none_screened_filter_learned_features_label,0.5607616218657335,0.7442955545192013,0.5802472713687913,0.21127814545479942,0.8426696072127836,0.10588288575128162,0.0,86594.27168394899
E3_filter,d3_oof,none_screened_filter_none,0.5665087747063638,0.7590057933029369,0.7808866028492588,0.19109401443967425,0.8206572971597319,0.09141287449919136,0.0,94999.91940293695
E3_filter,hddm_w,confirmed_screened_filter_learned_features,0.5470803815545583,0.7205920365843309,0.60805901354966,0.2669363399781017,0.6349772057343337,0.20590971537926853,4.3611546499735345,102724.93385382589
E3_filter,hddm_w,confirmed_screened_filter_learned_features_label,0.5415498435292788,0.7165082569993225,0.5508723679427109,0.23189151884997547,0.589960951748672,0.19951189651414244,3.7176132216027766,97187.13201088355
E3_filter,hddm_w,confirmed_screened_filter_none,0.549630963900995,0.7277236970608589,0.7227879972960388,0.24031181135651783,0.6039183140441378,0.1868818507764203,4.118551371416597,108354.64589433627
E3_filter,hddm_w,confirmed_screened_filter_oracle_blocks,0.5029157545491009,0.6850432108949635,0.0,0.6764862790727896,0.7310092042530459,0.2073558994542545,0.4354758006495794,36109.75035306448
E3_filter,hddm_w,confirmed_screened_filter_oracle_rows,0.5558415805789395,0.7283010213346154,0.0,0.2053131434585851,0.6603568214133357,0.2057954372497779,3.6823376964306687,89121.6945825286
E3_filter,hddm_w,confirmed_screened_filter_random_blocks,0.5031015597346072,0.6816637970723969,0.17744020645627553,0.7211650523659624,0.7423223368933526,0.2048599397590213,0.4354758006495794,36109.75035306448
E3_filter,hddm_w,confirmed_screened_filter_random_rows,0.545345728808469,0.7229443719062364,0.5836628008563568,0.3696186416744061,0.619989755423053,0.19069429965078583,4.507711691475759,89678.08779375574
E3_filter,hddm_w,none_screened_filter_learned_features,0.5666809200941505,0.7579699310882907,0.6681321474592442,0.21202357923754242,0.8019252738732724,0.08940120921451462,0.0,90046.89426711446
E3_filter,hddm_w,none_screened_filter_learned_features_label,0.5607616218657335,0.7442955545192013,0.5802472713687913,0.21127814545479942,0.8426696072127836,0.10588288575128162,0.0,86594.27168394899
E3_filter,hddm_w,none_screened_filter_none,0.5665087747063638,0.7590057933029369,0.7808866028492588,0.19109401443967425,0.8206572971597319,0.09141287449919136,0.0,94999.91940293695
E3_filter,hellinger,confirmed_screened_filter_learned_features,0.5532757849126578,0.7356210353008957,0.6314941483706568,0.24585608518373603,0.6690845177584948,0.15934527053404102,1.8842174831149154,95327.29149720723
E3_filter,hellinger,confirmed_screened_filter_learned_features_label,0.5442592920519859,0.7244668489943124,0.5520557111097167,0.24040622390352442,0.6287472390203488,0.17049980985700675,1.8161875089026858,91357.35628560046
E3_filter,hellinger,confirmed_screened_filter_none,0.5556827542512776,0.7394545936176552,0.7390090745015921,0.22202373929068706,0.6962808623816239,0.15679808091638026,1.8359905691567213,100238.12537152779
E3_filter,hellinger,confirmed_screened_filter_oracle_blocks,0.5033820306465339,0.6865897810248552,0.0,0.6725364441885328,0.7508973663125521,0.20596341747596342,0.22452367958160588,35146.40671975546
E3_filter,hellinger,confirmed_screened_filter_oracle_rows,0.5606348826646053,0.7403372020669884,0.0,0.20556417388239465,0.7414777773634537,0.17836500305759204,1.730308081451063,82735.27962246361
E3_filter,hellinger,confirmed_screened_filter_random_blocks,0.5035393410931891,0.6831834616334174,0.17717370618977527,0.7172122101528452,0.7622104989528588,0.20346745778073022,0.22769828275620907,35152.43846578721
E3_filter,hellinger,confirmed_screened_filter_random_rows,0.5460659305557031,0.7287528294168638,0.5908054007718299,0.35778559700912643,0.6604998918586613,0.17394877251817717,2.1918412744468165,83585.92054202019
E3_filter,hellinger,none_screened_filter_learned_features,0.5666809200941505,0.7579699310882907,0.6681321474592442,0.21202357923754242,0.8019252738732724,0.08940120921451462,0.0,90046.89426711446
E3_filter,hellinger,none_screened_filter_learned_features_label,0.5607616218657335,0.7442955545192013,0.5802472713687913,0.21127814545479942,0.8426696072127836,0.10588288575128162,0.0,86594.27168394899
E3_filter,hellinger,none_screened_filter_none,0.5665087747063638,0.7590057933029369,0.7808866028492588,0.19109401443967425,0.8206572971597319,0.09141287449919136,0.0,94999.91940293695
