stream,detector,arm,mode,level,feedback_fraction,delay_blocks,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,resets,training_visits,seconds,malicious_recall,benign_fpr
RBF_I,adwin,confirmed,clean,none,0.05,1,0.5511293248218289,0.556421052631579,,0.2305084745762712,2.0,63840.0,2.7991025749972325,,
RBF_I,adwin,confirmed,concept,moderate,0.05,1,0.548188346714656,0.5519531842722034,0.5748339522579936,0.31947449200392397,1.2,66120.0,2.900513174603111,,
RBF_I,adwin,confirmed,concept,severe,0.05,1,0.5223312166426346,0.5272902876850051,0.6437881599797924,0.2013072925458368,2.4,66120.0,2.8347807918005854,,
RBF_I,adwin,confirmed,instance,moderate,0.05,1,0.5474932663082356,0.5528028545941124,0.745144277764928,0.2541266308192699,1.0,61560.0,2.8234338748065055,,
RBF_I,adwin,confirmed,instance,severe,0.05,1,0.516386470511775,0.5231079393398751,0.7321713474950894,0.2677851099933556,1.4,61180.0,2.7671186082006898,,
RBF_I,adwin,confirmed,splice,moderate,0.05,1,0.5394855472285597,0.5439443198597946,0.7349913827019764,0.2323043407835767,2.0,63840.0,2.7836488750006536,,
RBF_I,adwin,confirmed,splice,severe,0.05,1,0.5313637872781491,0.5371321063829482,0.500654380222165,0.27525013143108573,2.0,65740.0,2.802387325206655,,
RBF_I,adwin,error_rule,clean,none,0.05,1,0.5513469926529522,0.5557966101694916,,0.3694915254237288,8.2,57000.0,2.514986700002919,,
RBF_I,adwin,error_rule,concept,moderate,0.05,1,0.5328775796579001,0.5381229900515578,0.4178051551823544,0.4232075313660326,7.8,57000.0,2.500085166801,,
RBF_I,adwin,error_rule,concept,severe,0.05,1,0.5198700664515788,0.5260375186848557,0.38357752898517916,0.3990063725746723,7.2,57000.0,2.5095860917965185,,
RBF_I,adwin,error_rule,instance,moderate,0.05,1,0.5368569429361287,0.5419375557537912,0.6884097254964087,0.311915651730588,8.8,57000.0,2.509327983204275,,
RBF_I,adwin,error_rule,instance,severe,0.05,1,0.5149321120870842,0.5216271186440677,0.6070861755319303,0.38877932152966344,5.6,57000.0,2.503612199801137,,
RBF_I,adwin,error_rule,splice,moderate,0.05,1,0.5299790390899201,0.5346655821779893,0.48060835070398333,0.3745428065589541,8.4,57000.0,2.51104069200228,,
RBF_I,adwin,error_rule,splice,severe,0.05,1,0.5204601394140195,0.52651424960346,0.3291141346789213,0.39860388509584715,5.6,57000.0,2.5101707497989993,,
RBF_I,adwin,no_reset,clean,none,0.05,1,0.5576023644552077,0.5601677074041035,,0.1864406779661017,0.0,57000.0,2.9277072750002846,,
RBF_I,adwin,no_reset,concept,moderate,0.05,1,0.5456248556696359,0.5487909172093777,0.7284493206070548,0.2671223735811253,0.0,57000.0,2.8193041501945117,,
RBF_I,adwin,no_reset,concept,severe,0.05,1,0.5338504740492077,0.5374999882949728,0.7016247877028761,0.23920762596144568,0.0,57000.0,2.805363041604869,,
RBF_I,adwin,no_reset,instance,moderate,0.05,1,0.55353170404324,0.5595182872435325,0.8052437340382219,0.19294471361788212,0.0,57000.0,2.853781791802612,,
RBF_I,adwin,no_reset,instance,severe,0.05,1,0.5171596563423677,0.5228724353256021,0.784198418801217,0.21734253399868333,0.0,57000.0,2.806544849794591,,
RBF_I,adwin,no_reset,splice,moderate,0.05,1,0.5294536414062101,0.532565229346462,0.691297397426904,0.24444490879702513,0.0,57000.0,2.800146925196168,,
RBF_I,adwin,no_reset,splice,severe,0.05,1,0.5306200057111,0.5365696418738538,0.6373265430598944,0.25817539291999625,0.0,57000.0,2.8002294331992745,,
RBF_I,adwin,q_alarm_17,clean,none,0.05,1,0.5576023644552077,0.5601677074041035,,0.1864406779661017,0.0,57000.0,2.925108825400821,,
RBF_I,adwin,q_alarm_17,concept,moderate,0.05,1,0.5456248556696359,0.5487909172093777,0.7284493206070548,0.2671223735811253,0.0,57000.0,2.830268166604219,,
RBF_I,adwin,q_alarm_17,concept,severe,0.05,1,0.5338504740492077,0.5374999882949728,0.7016247877028761,0.23920762596144568,0.0,57000.0,2.8306278582051165,,
RBF_I,adwin,q_alarm_17,instance,moderate,0.05,1,0.55353170404324,0.5595182872435325,0.8052437340382219,0.19294471361788212,0.0,57000.0,2.8449226584081773,,
RBF_I,adwin,q_alarm_17,instance,severe,0.05,1,0.5171596563423677,0.5228724353256021,0.784198418801217,0.21734253399868333,0.0,57000.0,2.8238717665954027,,
RBF_I,adwin,q_alarm_17,splice,moderate,0.05,1,0.5294536414062101,0.532565229346462,0.691297397426904,0.24444490879702513,0.0,57000.0,2.801662600002601,,
RBF_I,adwin,q_alarm_17,splice,severe,0.05,1,0.5306200057111,0.5365696418738538,0.6373265430598944,0.25817539291999625,0.0,57000.0,2.794153733199346,,
RBF_I,adwin,q_alarm_27,clean,none,0.05,1,0.5576023644552077,0.5601677074041035,,0.1864406779661017,0.0,57000.0,2.9447983913996723,,
RBF_I,adwin,q_alarm_27,concept,moderate,0.05,1,0.5456248556696359,0.5487909172093777,0.7284493206070548,0.2671223735811253,0.0,57000.0,2.8121867247944463,,
RBF_I,adwin,q_alarm_27,concept,severe,0.05,1,0.5338504740492077,0.5374999882949728,0.7016247877028761,0.23920762596144568,0.0,57000.0,2.8225272334035254,,
