category,series,metric,mean,sd,runs,defined
0,alarm,clean_withhold_rate,0.39651448028411374,,1,1
0,alarm,host_accuracy,0.5943455497382198,,1,1
0,alarm,host_macro_f1,0.47805983894478715,,1,1
0,alarm,poison_admission_rate,,,1,0
0,alarm_persistence,clean_withhold_rate,0.34086332515651885,,1,1
0,alarm_persistence,host_accuracy,0.5868926884633691,,1,1
0,alarm_persistence,host_macro_f1,0.46070235908755697,,1,1
0,alarm_persistence,poison_admission_rate,,,1,0
0,confirmed,clean_withhold_rate,0.2365174092922784,,1,1
0,confirmed,host_accuracy,0.5942664665177754,,1,1
0,confirmed,host_macro_f1,0.4720138047749764,,1,1
0,confirmed,poison_admission_rate,,,1,0
0,error_rule,clean_withhold_rate,0.382601691502215,,1,1
0,error_rule,host_accuracy,0.5965657379269945,,1,1
0,error_rule,host_macro_f1,0.47079077252134,,1,1
0,error_rule,poison_admission_rate,,,1,0
0,no_reset,clean_withhold_rate,0.1460842822099366,,1,1
0,no_reset,host_accuracy,0.6631420935085857,,1,1
0,no_reset,host_macro_f1,0.4611957613941567,,1,1
0,no_reset,poison_admission_rate,,,1,0
0,selected_map,clean_withhold_rate,0.2921685644198733,,1,1
0,selected_map,host_accuracy,0.6292461465236334,,1,1
0,selected_map,host_macro_f1,0.4891657095695468,,1,1
0,selected_map,poison_admission_rate,,,1,0
1,alarm,clean_withhold_rate,0.3638796059394716,0.024292634892897503,5,5
1,alarm,host_accuracy,0.5713938417603339,0.005317156418733825,5,5
1,alarm,host_macro_f1,0.43933372521730263,0.008685972951837201,5,5
1,alarm,poison_admission_rate,0.6355916988887784,0.021889005694088033,5,5
1,alarm_persistence,clean_withhold_rate,0.30004040910612406,0.029430763892815917,5,5
1,alarm_persistence,host_accuracy,0.5733000402738623,0.016127369561867746,5,5
1,alarm_persistence,host_macro_f1,0.4297917364066198,0.005208255615679302,5,5
1,alarm_persistence,poison_admission_rate,0.7004877438696017,0.028708860387676307,5,5
1,confirmed,clean_withhold_rate,0.13782771896201396,0.02039974765886529,5,5
1,confirmed,host_accuracy,0.5790444110862959,0.035709489646937945,5,5
1,confirmed,host_macro_f1,0.4403033329407825,0.04303430575824452,5,5
1,confirmed,poison_admission_rate,0.8627726528499968,0.021272555111023255,5,5
1,error_rule,clean_withhold_rate,0.360495487136042,0.01575378619092724,5,5
1,error_rule,host_accuracy,0.5907121151100209,0.022845809894414256,5,5
1,error_rule,host_macro_f1,0.4738693734114503,0.026945721708494547,5,5
1,error_rule,poison_admission_rate,0.6405215121190246,0.01689908495319152,5,5
1,no_reset,clean_withhold_rate,0.12246284663179732,0.020044917600121847,5,5
1,no_reset,host_accuracy,0.6166968110423607,0.01722003778539184,5,5
1,no_reset,host_macro_f1,0.40219882351380065,0.05324257709052208,5,5
1,no_reset,poison_admission_rate,0.8777346335584193,0.02027944887869311,5,5
1,selected_map,clean_withhold_rate,0.2517608131718673,0.015245967705469666,5,5
1,selected_map,host_accuracy,0.5928576135905979,0.039768031825365154,5,5
1,selected_map,host_macro_f1,0.4494544201790598,0.04304574133525834,5,5
1,selected_map,poison_admission_rate,0.7478343421029886,0.01432778826120536,5,5
2,alarm,clean_withhold_rate,0.3618739866909545,0.021324443785376426,5,5
2,alarm,host_accuracy,0.5572007468970821,0.013314287976086383,5,5
2,alarm,host_macro_f1,0.42511041941392014,0.016806890371562255,5,5
2,alarm,poison_admission_rate,0.6364761369593964,0.02096105854873889,5,5
2,alarm_persistence,clean_withhold_rate,0.2795402867953318,0.01490327358920078,5,5
2,alarm_persistence,host_accuracy,0.5478560392487094,0.006634125692627257,5,5
2,alarm_persistence,host_macro_f1,0.39409817866774705,0.024064445941803275,5,5
2,alarm_persistence,poison_admission_rate,0.7189301539548477,0.017494756442833423,5,5
2,confirmed,clean_withhold_rate,0.1809997064950072,0.04196097333532869,5,5
2,confirmed,host_accuracy,0.5606238787390619,0.024692485395122053,5,5
2,confirmed,host_macro_f1,0.39633029298104183,0.0287286235078284,5,5
2,confirmed,poison_admission_rate,0.8195294320476114,0.042293659607330315,5,5
2,error_rule,clean_withhold_rate,0.35298713983715024,0.03231402974579603,5,5
2,error_rule,host_accuracy,0.546465053271336,0.03027058554222424,5,5
2,error_rule,host_macro_f1,0.42465376505841335,0.03233796597978959,5,5
2,error_rule,poison_admission_rate,0.6454321417918457,0.031205780621145318,5,5
2,no_reset,clean_withhold_rate,0.13210230179869473,0.029967261307143785,5,5
2,no_reset,host_accuracy,0.5860315600629737,0.011862705226244493,5,5
2,no_reset,host_macro_f1,0.32374899326185086,0.023843716739878007,5,5
2,no_reset,poison_admission_rate,0.8676233051167962,0.029811386564322823,5,5
2,selected_map,clean_withhold_rate,0.24924598834069753,0.04678387149450984,5,5
2,selected_map,host_accuracy,0.5671672829788014,0.023713431715861117,5,5
2,selected_map,host_macro_f1,0.4173487447509398,0.022313182454819072,5,5
2,selected_map,poison_admission_rate,0.7515757114851838,0.048781247127413566,5,5
3,alarm,clean_withhold_rate,0.37155078606088165,0.022625741465495813,5,5
3,alarm,host_accuracy,0.6079175217702536,0.017387556727943503,5,5
3,alarm,host_macro_f1,0.47695464590230136,0.005085657867895587,5,5
3,alarm,poison_admission_rate,0.5935795201352254,0.05268149888946557,5,5
3,alarm_persistence,clean_withhold_rate,0.2857365689962841,0.03276240716234963,5,5
3,alarm_persistence,host_accuracy,0.6137585793888598,0.014780093230612199,5,5
3,alarm_persistence,host_macro_f1,0.4784696295456287,0.016038959111553598,5,5
3,alarm_persistence,poison_admission_rate,0.686081490078298,0.05296883790117163,5,5
3,confirmed,clean_withhold_rate,0.12618139306585663,0.02924676171668494,5,5
3,confirmed,host_accuracy,0.612082692751698,0.011947487006831424,5,5
3,confirmed,host_macro_f1,0.47448614078512624,0.019184781075094005,5,5
3,confirmed,poison_admission_rate,0.852359574777604,0.0454413932369684,5,5
3,error_rule,clean_withhold_rate,0.34007375962989467,0.013050239607502115,5,5
3,error_rule,host_accuracy,0.6161396332278508,0.014004975530156968,5,5
3,error_rule,host_macro_f1,0.4806351138250687,0.03339079140518597,5,5
3,error_rule,poison_admission_rate,0.6080852075957222,0.0588189589009874,5,5
3,no_reset,clean_withhold_rate,0.09912670510244201,0.030060087908030806,5,5
3,no_reset,host_accuracy,0.6698621851280399,0.016869424161335383,5,5
3,no_reset,host_macro_f1,0.5004911866396933,0.025486167637277034,5,5
3,no_reset,poison_admission_rate,0.8659551131592403,0.05413281138352637,5,5
3,selected_map,clean_withhold_rate,0.15015349153107838,0.054354724784680813,5,5
3,selected_map,host_accuracy,0.6593448902210127,0.02913686669037119,5,5
3,selected_map,host_macro_f1,0.49617259551863074,0.03465703899613642,5,5
3,selected_map,poison_admission_rate,0.8211981385515005,0.04080254631849106,5,5
4,alarm,clean_withhold_rate,0.3657161972736958,0.010135738359904885,5,5
4,alarm,host_accuracy,0.6096175873357659,0.01906932903630126,5,5
4,alarm,host_macro_f1,0.4678094738527273,0.03213605023383105,5,5
4,alarm,poison_admission_rate,0.6390852750693438,0.03469418450317308,5,5
4,alarm_persistence,clean_withhold_rate,0.27235053126761033,0.019593424311616744,5,5
4,alarm_persistence,host_accuracy,0.6203336598927273,0.02403109708829407,5,5
4,alarm_persistence,host_macro_f1,0.4626797470731979,0.03239077781337177,5,5
4,alarm_persistence,poison_admission_rate,0.7307452973407529,0.017436992533290063,5,5
4,confirmed,clean_withhold_rate,0.1540907024865727,0.031546670241208045,5,5
4,confirmed,host_accuracy,0.6081219108987416,0.02251517657521491,5,5
4,confirmed,host_macro_f1,0.45960653019666653,0.034744867754494965,5,5
4,confirmed,poison_admission_rate,0.8390158887020952,0.05697405143207018,5,5
4,error_rule,clean_withhold_rate,0.3576086009096914,0.049830522689070955,5,5
4,error_rule,host_accuracy,0.5975201710209327,0.031450364863539575,5,5
4,error_rule,host_macro_f1,0.4608771523742859,0.05017078429848128,5,5
4,error_rule,poison_admission_rate,0.614812175366683,0.03664226537483119,5,5
4,no_reset,clean_withhold_rate,0.13515952816217686,0.014098298716785031,5,5
4,no_reset,host_accuracy,0.6739666040885084,0.022353814162106512,5,5
4,no_reset,host_macro_f1,0.516583566314275,0.028430616956187663,5,5
4,no_reset,poison_admission_rate,0.8656723681304049,0.0203948079970673,5,5
4,selected_map,clean_withhold_rate,0.19541242481671078,0.036487046957578,5,5
4,selected_map,host_accuracy,0.6159755575125402,0.04048884834499629,5,5
4,selected_map,host_macro_f1,0.4671215311824651,0.045519604708454404,5,5
4,selected_map,poison_admission_rate,0.8015697623559636,0.05203915138921224,5,5
5,alarm,clean_withhold_rate,0.40757385817997915,0.011670709053488248,5,5
5,alarm,host_accuracy,0.6034267938724417,0.016304888599020212,5,5
5,alarm,host_macro_f1,0.4665478688006665,0.02556174279012682,5,5
5,alarm,poison_admission_rate,0.5733276095930367,0.06154645255572532,5,5
5,alarm_persistence,clean_withhold_rate,0.32615606165033173,0.013491274578983706,5,5
5,alarm_persistence,host_accuracy,0.6044670743114455,0.024526844924123985,5,5
5,alarm_persistence,host_macro_f1,0.4669424391418193,0.017808884083214998,5,5
5,alarm_persistence,poison_admission_rate,0.6462081378649074,0.05385756250452923,5,5
5,confirmed,clean_withhold_rate,0.18638335063666864,0.025729053498595778,5,5
5,confirmed,host_accuracy,0.6241243129418426,0.018808094001896772,5,5
5,confirmed,host_macro_f1,0.4870267871845407,0.020698322179451955,5,5
5,confirmed,poison_admission_rate,0.8040064559651302,0.042914554527939575,5,5
5,error_rule,clean_withhold_rate,0.39536014971632716,0.02153672223457997,5,5
5,error_rule,host_accuracy,0.5928644232375244,0.02018623612319407,5,5
5,error_rule,host_macro_f1,0.45176568855836213,0.034709401720075604,5,5
5,error_rule,poison_admission_rate,0.5411100779198408,0.02812206225931475,5,5
5,no_reset,clean_withhold_rate,0.13823294941405878,0.043417742242766386,5,5
5,no_reset,host_accuracy,0.6573238771734708,0.006206297526986061,5,5
5,no_reset,host_macro_f1,0.4607178160280022,0.042997390222082585,5,5
5,no_reset,poison_admission_rate,0.8743906674741974,0.012052462090062225,5,5
5,selected_map,clean_withhold_rate,0.2513608561525234,0.041122886949940984,5,5
5,selected_map,host_accuracy,0.630378452311585,0.05288321098868072,5,5
5,selected_map,host_macro_f1,0.47069726442166554,0.048105410037762586,5,5
5,selected_map,poison_admission_rate,0.7734418995374599,0.053886017405552565,5,5
6,alarm,clean_withhold_rate,0.39661561359133374,0.015710025056161245,5,5
6,alarm,host_accuracy,0.5806091364356644,0.01935450675020755,5,5
6,alarm,host_macro_f1,0.44611449666737324,0.024475187865356476,5,5
6,alarm,poison_admission_rate,0.586020336122714,0.04120589294046515,5,5
6,alarm_persistence,clean_withhold_rate,0.31299894614856194,0.01691559764765761,5,5
6,alarm_persistence,host_accuracy,0.5872159879164082,0.029077465165988824,5,5
6,alarm_persistence,host_macro_f1,0.43837056178757294,0.02830119801761976,5,5
6,alarm_persistence,poison_admission_rate,0.6735187109489967,0.030474020501438853,5,5
6,confirmed,clean_withhold_rate,0.19390937655649804,0.01361463571358652,5,5
