category,series,metric,mean,sd,runs,defined
0,confirmed,clean_withhold_rate,0.2365174092922784,,1,1
0,confirmed,host_accuracy,0.5942664665177754,,1,1
0,confirmed,host_macro_f1,0.4720138047749764,,1,1
0,confirmed,poison_admission_rate,,,1,0
0,q_alarm_17,clean_withhold_rate,0.3478197195474682,,1,1
0,q_alarm_17,host_accuracy,0.6217918207447003,,1,1
0,q_alarm_17,host_macro_f1,0.49357576464161,,1,1
0,q_alarm_17,poison_admission_rate,,,1,0
0,q_alarm_27,clean_withhold_rate,0.3478197195474682,,1,1
0,q_alarm_27,host_accuracy,0.6217918207447003,,1,1
0,q_alarm_27,host_macro_f1,0.49357576464161,,1,1
0,q_alarm_27,poison_admission_rate,,,1,0
0,q_alarm_37,clean_withhold_rate,0.382601691502215,,1,1
0,q_alarm_37,host_accuracy,0.5716398784461612,,1,1
0,q_alarm_37,host_macro_f1,0.4725664874769857,,1,1
0,q_alarm_37,poison_admission_rate,,,1,0
0,q_alarm_47,clean_withhold_rate,0.4521656354117087,,1,1
0,q_alarm_47,host_accuracy,0.5782521143777688,,1,1
0,q_alarm_47,host_macro_f1,0.465290588981865,,1,1
0,q_alarm_47,poison_admission_rate,,,1,0
0,q_alarm_7,clean_withhold_rate,0.4521656354117087,,1,1
0,q_alarm_7,host_accuracy,0.5782521143777688,,1,1
0,q_alarm_7,host_macro_f1,0.465290588981865,,1,1
0,q_alarm_7,poison_admission_rate,,,1,0
1,confirmed,clean_withhold_rate,0.13782771896201396,0.02039974765886529,5,5
1,confirmed,host_accuracy,0.5790444110862959,0.035709489646937945,5,5
1,confirmed,host_macro_f1,0.4403033329407825,0.04303430575824452,5,5
1,confirmed,poison_admission_rate,0.8627726528499968,0.021272555111023255,5,5
1,q_alarm_17,clean_withhold_rate,0.3102700535724017,0.04456821307824399,5,5
1,q_alarm_17,host_accuracy,0.5882868963497236,0.01901987330968282,5,5
1,q_alarm_17,host_macro_f1,0.4704125999793421,0.0206282123739225,5,5
1,q_alarm_17,poison_admission_rate,0.6898230866822572,0.041951436927714705,5,5
1,q_alarm_27,clean_withhold_rate,0.3102700535724017,0.04456821307824399,5,5
1,q_alarm_27,host_accuracy,0.5882868963497236,0.01901987330968282,5,5
1,q_alarm_27,host_macro_f1,0.4704125999793421,0.0206282123739225,5,5
1,q_alarm_27,poison_admission_rate,0.6898230866822572,0.041951436927714705,5,5
1,q_alarm_37,clean_withhold_rate,0.35034199326165005,0.022998327460750038,5,5
1,q_alarm_37,host_accuracy,0.5668919562113279,0.026227463281709076,5,5
1,q_alarm_37,host_macro_f1,0.3988111879932462,0.020693069474277796,5,5
1,q_alarm_37,poison_admission_rate,0.6479273500366722,0.02258676493059961,5,5
1,q_alarm_47,clean_withhold_rate,0.4242579646454523,0.014461326536790949,5,5
1,q_alarm_47,host_accuracy,0.5567517299454472,0.006166558734042925,5,5
1,q_alarm_47,host_macro_f1,0.42851611906729137,0.004174340030750762,5,5
1,q_alarm_47,poison_admission_rate,0.5751924855213526,0.011603093906285259,5,5
1,q_alarm_7,clean_withhold_rate,0.4242579646454523,0.014461326536790949,5,5
1,q_alarm_7,host_accuracy,0.5567517299454472,0.006166558734042925,5,5
1,q_alarm_7,host_macro_f1,0.42851611906729137,0.004174340030750762,5,5
1,q_alarm_7,poison_admission_rate,0.5751924855213526,0.011603093906285259,5,5
2,confirmed,clean_withhold_rate,0.1809997064950072,0.04196097333532869,5,5
2,confirmed,host_accuracy,0.5606238787390619,0.024692485395122053,5,5
2,confirmed,host_macro_f1,0.39633029298104183,0.0287286235078284,5,5
2,confirmed,poison_admission_rate,0.8195294320476114,0.042293659607330315,5,5
2,q_alarm_17,clean_withhold_rate,0.3296547625597269,0.03506837887923689,5,5
2,q_alarm_17,host_accuracy,0.5814081206751365,0.026118763122734312,5,5
2,q_alarm_17,host_macro_f1,0.45588024583809617,0.026214750742224114,5,5
2,q_alarm_17,poison_admission_rate,0.6700344504935474,0.03487786615616311,5,5
2,q_alarm_27,clean_withhold_rate,0.3296547625597269,0.03506837887923689,5,5
2,q_alarm_27,host_accuracy,0.5814081206751365,0.026118763122734312,5,5
2,q_alarm_27,host_macro_f1,0.45588024583809617,0.026214750742224114,5,5
2,q_alarm_27,poison_admission_rate,0.6700344504935474,0.03487786615616311,5,5
2,q_alarm_37,clean_withhold_rate,0.3275716405631482,0.02609826364487229,5,5
2,q_alarm_37,host_accuracy,0.5469351590817559,0.015047796727536126,5,5
2,q_alarm_37,host_macro_f1,0.3782308940818246,0.030016995239360144,5,5
2,q_alarm_37,poison_admission_rate,0.6693670224806728,0.026564094239990794,5,5
2,q_alarm_47,clean_withhold_rate,0.41124438388608525,0.012478783386601102,5,5
2,q_alarm_47,host_accuracy,0.5381261670266906,0.011635673179690895,5,5
2,q_alarm_47,host_macro_f1,0.4177803556557918,0.013646673278113166,5,5
2,q_alarm_47,poison_admission_rate,0.5864723806646073,0.012539852240380123,5,5
2,q_alarm_7,clean_withhold_rate,0.41124438388608525,0.012478783386601102,5,5
2,q_alarm_7,host_accuracy,0.5381261670266906,0.011635673179690895,5,5
2,q_alarm_7,host_macro_f1,0.4177803556557918,0.013646673278113166,5,5
2,q_alarm_7,poison_admission_rate,0.5864723806646073,0.012539852240380123,5,5
3,confirmed,clean_withhold_rate,0.12618139306585663,0.02924676171668494,5,5
3,confirmed,host_accuracy,0.612082692751698,0.011947487006831424,5,5
