category,series,metric,mean,sd,runs,defined
0,baseline,host_accuracy,0.7936507936507936,,1,1
0,baseline,host_macro_f1,0.5385845733827372,,1,1
0,baseline,macro_precision,0.5566835526442097,,1,1
0,baseline,macro_recall,0.5534400189679806,,1,1
1,baseline,host_accuracy,0.7646031746031746,0.009180313486299236,5,5
1,baseline,host_macro_f1,0.4524394663808261,0.06720948513107136,5,5
1,baseline,macro_precision,0.48660905163097673,0.09259079055731644,5,5
1,baseline,macro_recall,0.4514735234708116,0.04467234356167778,5,5
2,baseline,host_accuracy,0.6955555555555556,0.05249986502520168,5,5
2,baseline,host_macro_f1,0.3681271134557181,0.10804648560885274,5,5
2,baseline,macro_precision,0.40857755513513017,0.10280715291065057,5,5
2,baseline,macro_recall,0.38153676480868437,0.09385722913506865,5,5
3,baseline,host_accuracy,0.7503174603174603,0.02057837184412563,5,5
3,baseline,host_macro_f1,0.4212145925063579,0.014992488532293916,5,5
3,baseline,macro_precision,0.43938060654864464,0.021628034129007063,5,5
3,baseline,macro_recall,0.42133689087704285,0.015917191981211738,5,5
4,baseline,host_accuracy,0.7376190476190476,0.024899647415596325,5,5
4,baseline,host_macro_f1,0.4024157241839726,0.028779907772646496,5,5
4,baseline,macro_precision,0.4455595659975421,0.04003994154720818,5,5
4,baseline,macro_recall,0.3965317997009609,0.034759458507452656,5,5
5,baseline,host_accuracy,0.753015873015873,0.05436768618474944,5,5
5,baseline,host_macro_f1,0.40691478465946773,0.07818359644709832,5,5
5,baseline,macro_precision,0.44653953442972494,0.07667836639821651,5,5
5,baseline,macro_recall,0.421538137005942,0.087621076021914,5,5
6,baseline,host_accuracy,0.7093650793650793,0.03954499973806035,5,5
6,baseline,host_macro_f1,0.38996295720362706,0.04666462710019486,5,5
6,baseline,macro_precision,0.4411149953348274,0.07292108674728433,5,5
6,baseline,macro_recall,0.3947138715858901,0.050925665665150464,5,5
