category,series,metric,mean,sd,runs,defined
0,none,clean_withhold_rate,0.1947790429465822,,1,1
0,none,host_accuracy,0.7773383768913342,,1,1
0,none,host_macro_f1,0.2427608268084168,,1,1
0,none,poison_admission_rate,,,1,0
0,oracle_blocks,clean_withhold_rate,0.1947790429465822,,1,1
0,oracle_blocks,host_accuracy,0.7773383768913342,,1,1
0,oracle_blocks,host_macro_f1,0.2427608268084168,,1,1
0,oracle_blocks,poison_admission_rate,,,1,0
0,oracle_rows,clean_withhold_rate,0.1947790429465822,,1,1
0,oracle_rows,host_accuracy,0.7773383768913342,,1,1
0,oracle_rows,host_macro_f1,0.2427608268084168,,1,1
0,oracle_rows,poison_admission_rate,,,1,0
0,random_blocks,clean_withhold_rate,0.1947790429465822,,1,1
0,random_blocks,host_accuracy,0.7773383768913342,,1,1
0,random_blocks,host_macro_f1,0.2427608268084168,,1,1
0,random_blocks,poison_admission_rate,,,1,0
0,random_rows,clean_withhold_rate,0.1947790429465822,,1,1
0,random_rows,host_accuracy,0.7773383768913342,,1,1
0,random_rows,host_macro_f1,0.2427608268084168,,1,1
0,random_rows,poison_admission_rate,,,1,0
1,none,clean_withhold_rate,0.18501321243567045,0.026330870436362806,5,5
1,none,host_accuracy,0.7540075124325468,0.04216143989610911,5,5
1,none,host_macro_f1,0.19626851382026245,0.03390720576618077,5,5
1,none,poison_admission_rate,0.8148079797332917,0.026188290509704205,5,5
1,oracle_blocks,clean_withhold_rate,1.0,0.0,5,5
1,oracle_blocks,host_accuracy,0.5796344302190244,0.0,5,5
1,oracle_blocks,host_macro_f1,0.10232709760553452,0.0,5,5
1,oracle_blocks,poison_admission_rate,0.0,0.0,5,5
1,oracle_rows,clean_withhold_rate,0.17962339511918374,0.028639007883446102,5,5
1,oracle_rows,host_accuracy,0.7780155539096392,0.02102129517933475,5,5
1,oracle_rows,host_macro_f1,0.25037016490322445,0.03356191711623803,5,5
1,oracle_rows,poison_admission_rate,0.0,0.0,5,5
1,random_blocks,clean_withhold_rate,1.0,0.0,5,5
1,random_blocks,host_accuracy,0.5796344302190244,0.0,5,5
1,random_blocks,host_macro_f1,0.10232709760553452,0.0,5,5
1,random_blocks,poison_admission_rate,0.0,0.0,5,5
1,random_rows,clean_withhold_rate,0.29395825937386444,0.018960025045567604,5,5
1,random_rows,host_accuracy,0.7367283885303142,0.020874281226151776,5,5
1,random_rows,host_macro_f1,0.2146596029143716,0.013714257490885281,5,5
1,random_rows,poison_admission_rate,0.7047658221453157,0.019443941707156066,5,5
2,none,clean_withhold_rate,0.21257408930403834,0.02678467673434437,5,5
2,none,host_accuracy,0.7718363136176066,0.01871763088122178,5,5
2,none,host_macro_f1,0.23465223656063375,0.04264504986919126,5,5
