category,series,metric,mean,sd,runs,defined
0,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
0,confirmed_False,poison_admission_rate,,,5,0
0,confirmed_False,resets_per_100k,3.666666666666667,0.74535599249993,5,5
0,confirmed_False,training_visits_per_100k,101966.66666666667,1416.1763857498602,5,5
0,confirmed_True,clean_withhold_rate,0.2305084745762712,0.04733640692803032,5,5
0,confirmed_True,poison_admission_rate,,,5,0
0,confirmed_True,resets_per_100k,3.3333333333333335,1.6666666666666665,5,5
0,confirmed_True,training_visits_per_100k,106400.0,1734.4547654330256,5,5
0,immediate_False,clean_withhold_rate,0.0,0.0,5,5
0,immediate_False,poison_admission_rate,,,5,0
0,immediate_False,resets_per_100k,10.0,2.041241452319315,5,5
0,immediate_False,training_visits_per_100k,95000.0,0.0,5,5
0,immediate_True,clean_withhold_rate,0.2983050847457627,0.09406397915601092,5,5
0,immediate_True,poison_admission_rate,,,5,0
0,immediate_True,resets_per_100k,6.0,2.23606797749979,5,5
0,immediate_True,training_visits_per_100k,95000.0,0.0,5,5
0,none_False,clean_withhold_rate,0.0,0.0,5,5
0,none_False,poison_admission_rate,,,5,0
0,none_False,resets_per_100k,0.0,0.0,5,5
0,none_False,training_visits_per_100k,95000.0,0.0,5,5
0,none_True,clean_withhold_rate,0.1864406779661017,0.05224079663533033,5,5
0,none_True,poison_admission_rate,,,5,0
0,none_True,resets_per_100k,0.0,0.0,5,5
0,none_True,training_visits_per_100k,95000.0,0.0,5,5
1,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
1,confirmed_False,poison_admission_rate,1.0,0.0,5,5
1,confirmed_False,resets_per_100k,3.3333333333333335,1.1785113019775793,5,5
1,confirmed_False,training_visits_per_100k,101333.33333333334,2239.1714737573984,5,5
1,confirmed_True,clean_withhold_rate,0.2541266308192699,0.05774089314552978,5,5
1,confirmed_True,poison_admission_rate,0.745144277764928,0.056124960868471,5,5
1,confirmed_True,resets_per_100k,1.6666666666666667,1.1785113019775793,5,5
1,confirmed_True,training_visits_per_100k,102600.0,1734.4547654330217,5,5
1,immediate_False,clean_withhold_rate,0.0,0.0,5,5
1,immediate_False,poison_admission_rate,1.0,0.0,5,5
1,immediate_False,resets_per_100k,9.333333333333334,0.9128709291752766,5,5
1,immediate_False,training_visits_per_100k,95000.0,0.0,5,5
1,immediate_True,clean_withhold_rate,0.29516708204487285,0.08321716980389218,5,5
1,immediate_True,poison_admission_rate,0.7064818837657667,0.0797874239729431,5,5
1,immediate_True,resets_per_100k,5.666666666666667,2.5276251480171834,5,5
1,immediate_True,training_visits_per_100k,95000.0,0.0,5,5
1,none_False,clean_withhold_rate,0.0,0.0,5,5
1,none_False,poison_admission_rate,1.0,0.0,5,5
1,none_False,resets_per_100k,0.0,0.0,5,5
1,none_False,training_visits_per_100k,95000.0,0.0,5,5
1,none_True,clean_withhold_rate,0.19294471361788207,0.030992824193364556,5,5
1,none_True,poison_admission_rate,0.8052437340382219,0.02993185020246932,5,5
1,none_True,resets_per_100k,0.0,0.0,5,5
1,none_True,training_visits_per_100k,95000.0,0.0,5,5
2,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
2,confirmed_False,poison_admission_rate,1.0,0.0,5,5
2,confirmed_False,resets_per_100k,2.3333333333333335,0.9128709291752769,5,5
2,confirmed_False,training_visits_per_100k,99433.33333333334,1734.454765433028,5,5
2,confirmed_True,clean_withhold_rate,0.2677851099933556,0.07171054282895055,5,5
2,confirmed_True,poison_admission_rate,0.7321713474950894,0.07017664269730166,5,5
2,confirmed_True,resets_per_100k,2.3333333333333335,2.23606797749979,5,5
2,confirmed_True,training_visits_per_100k,101966.66666666667,4696.92570849392,5,5
2,immediate_False,clean_withhold_rate,0.0,0.0,5,5
2,immediate_False,poison_admission_rate,1.0,0.0,5,5
2,immediate_False,resets_per_100k,7.666666666666667,1.9002923751652303,5,5
2,immediate_False,training_visits_per_100k,95000.0,0.0,5,5
2,immediate_True,clean_withhold_rate,0.31149829108494453,0.030309329834892578,5,5
2,immediate_True,poison_admission_rate,0.6870621851842861,0.032243284842855734,5,5
2,immediate_True,resets_per_100k,6.0,1.90029237516523,5,5
2,immediate_True,training_visits_per_100k,95000.0,0.0,5,5
2,none_False,clean_withhold_rate,0.0,0.0,5,5
2,none_False,poison_admission_rate,1.0,0.0,5,5
2,none_False,resets_per_100k,0.0,0.0,5,5
2,none_False,training_visits_per_100k,95000.0,0.0,5,5
2,none_True,clean_withhold_rate,0.21734253399868328,0.0459288222626337,5,5
2,none_True,poison_admission_rate,0.784198418801217,0.04453294529412277,5,5
2,none_True,resets_per_100k,0.0,0.0,5,5
2,none_True,training_visits_per_100k,95000.0,0.0,5,5
3,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
3,confirmed_False,poison_admission_rate,1.0,0.0,5,5
3,confirmed_False,resets_per_100k,6.0,0.912870929175277,5,5
3,confirmed_False,training_visits_per_100k,106400.0,1734.4547654330308,5,5
3,confirmed_True,clean_withhold_rate,0.3194744920039239,0.054091805662017906,5,5
3,confirmed_True,poison_admission_rate,0.5748339522579936,0.13219778437709842,5,5
3,confirmed_True,resets_per_100k,2.0,1.3944333775567928,5,5
3,confirmed_True,training_visits_per_100k,110200.0,4696.9257084939145,5,5
3,immediate_False,clean_withhold_rate,0.0,0.0,5,5
3,immediate_False,poison_admission_rate,1.0,0.0,5,5
3,immediate_False,resets_per_100k,38.66666666666667,2.472066162365224,5,5
3,immediate_False,training_visits_per_100k,95000.0,0.0,5,5
3,immediate_True,clean_withhold_rate,0.36519327801605955,0.056867010069748945,5,5
3,immediate_True,poison_admission_rate,0.3843268978530273,0.14563759261108444,5,5
3,immediate_True,resets_per_100k,20.0,6.236095644623237,5,5
3,immediate_True,training_visits_per_100k,95000.0,0.0,5,5
3,none_False,clean_withhold_rate,0.0,0.0,5,5
3,none_False,poison_admission_rate,1.0,0.0,5,5
3,none_False,resets_per_100k,0.0,0.0,5,5
3,none_False,training_visits_per_100k,95000.0,0.0,5,5
3,none_True,clean_withhold_rate,0.2671223735811252,0.03489887379060611,5,5
3,none_True,poison_admission_rate,0.7284493206070548,0.16476238036104218,5,5
3,none_True,resets_per_100k,0.0,0.0,5,5
3,none_True,training_visits_per_100k,95000.0,0.0,5,5
4,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
4,confirmed_False,poison_admission_rate,1.0,0.0,5,5
4,confirmed_False,resets_per_100k,6.333333333333334,1.3944333775567925,5,5
4,confirmed_False,training_visits_per_100k,107033.33333333334,2649.4234173579057,5,5
4,confirmed_True,clean_withhold_rate,0.20130729254583674,0.0750239115130161,5,5
4,confirmed_True,poison_admission_rate,0.6437881599797924,0.07114067825562424,5,5
4,confirmed_True,resets_per_100k,4.0,1.90029237516523,5,5
4,confirmed_True,training_visits_per_100k,110200.0,3468.909530866047,5,5
4,immediate_False,clean_withhold_rate,0.0,0.0,5,5
4,immediate_False,poison_admission_rate,1.0,0.0,5,5
4,immediate_False,resets_per_100k,33.666666666666664,3.97911212877111,5,5
4,immediate_False,training_visits_per_100k,95000.0,0.0,5,5
4,immediate_True,clean_withhold_rate,0.36670042741190007,0.010095958140489183,5,5
4,immediate_True,poison_admission_rate,0.3019996604123985,0.08293355883302615,5,5
4,immediate_True,resets_per_100k,15.0,2.041241452319314,5,5
4,immediate_True,training_visits_per_100k,95000.0,0.0,5,5
4,none_False,clean_withhold_rate,0.0,0.0,5,5
4,none_False,poison_admission_rate,1.0,0.0,5,5
4,none_False,resets_per_100k,0.0,0.0,5,5
4,none_False,training_visits_per_100k,95000.0,0.0,5,5
4,none_True,clean_withhold_rate,0.23920762596144565,0.037682170041379574,5,5
4,none_True,poison_admission_rate,0.7016247877028761,0.10002346095833609,5,5
4,none_True,resets_per_100k,0.0,0.0,5,5
4,none_True,training_visits_per_100k,95000.0,0.0,5,5
5,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
5,confirmed_False,poison_admission_rate,1.0,0.0,5,5
5,confirmed_False,resets_per_100k,6.666666666666667,1.666666666666667,5,5
5,confirmed_False,training_visits_per_100k,107666.66666666667,3166.6666666666733,5,5
5,confirmed_True,clean_withhold_rate,0.23230434078357667,0.08096653128619,5,5
5,confirmed_True,poison_admission_rate,0.7349913827019764,0.10651886275075578,5,5
5,confirmed_True,resets_per_100k,3.3333333333333335,2.886751345948129,5,5
5,confirmed_True,training_visits_per_100k,106400.0,3610.5555128139376,5,5
5,immediate_False,clean_withhold_rate,0.0,0.0,5,5
5,immediate_False,poison_admission_rate,1.0,0.0,5,5
5,immediate_False,resets_per_100k,28.666666666666668,5.190803834132479,5,5
5,immediate_False,training_visits_per_100k,95000.0,0.0,5,5
5,immediate_True,clean_withhold_rate,0.3712169144309735,0.06905601745369316,5,5
5,immediate_True,poison_admission_rate,0.4843092622207279,0.17206357347509715,5,5
5,immediate_True,resets_per_100k,16.666666666666664,5.137011669140813,5,5
5,immediate_True,training_visits_per_100k,95000.0,0.0,5,5
5,none_False,clean_withhold_rate,0.0,0.0,5,5
5,none_False,poison_admission_rate,1.0,0.0,5,5
5,none_False,resets_per_100k,0.0,0.0,5,5
5,none_False,training_visits_per_100k,95000.0,0.0,5,5
5,none_True,clean_withhold_rate,0.24444490879702513,0.0745562956168764,5,5
5,none_True,poison_admission_rate,0.691297397426904,0.0696492286423751,5,5
5,none_True,resets_per_100k,0.0,0.0,5,5
5,none_True,training_visits_per_100k,95000.0,0.0,5,5
6,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
6,confirmed_False,poison_admission_rate,1.0,0.0,5,5
6,confirmed_False,resets_per_100k,5.666666666666667,1.9002923751652303,5,5
6,confirmed_False,training_visits_per_100k,105766.66666666667,3610.555512813937,5,5
