category,series,metric,mean,sd,runs,defined
0,baseline,host_accuracy,0.5482983878758885,0.004240089955277411,5,5
0,baseline,host_macro_f1,0.5452271470971868,0.0026139734111690874,5,5
0,baseline,macro_precision,0.5493781434205995,0.005480396054955334,5,5
0,baseline,macro_recall,0.5443399659439606,0.0034595449744649082,5,5
1,baseline,host_accuracy,0.5338781984023573,0.01735630564886155,5,5
1,baseline,host_macro_f1,0.5286470384362476,0.019998444797113796,5,5
1,baseline,macro_precision,0.5423890655366502,0.023461998557019137,5,5
1,baseline,macro_recall,0.5267376537178374,0.017367121974356175,5,5
2,baseline,host_accuracy,0.5228877373761108,0.0283272983787494,5,5
2,baseline,host_macro_f1,0.5163312847431316,0.02875312916204787,5,5
2,baseline,macro_precision,0.546126087234466,0.02541906025318576,5,5
2,baseline,macro_recall,0.5147452841615758,0.025914915530390853,5,5
3,baseline,host_accuracy,0.5555643236044171,0.015784250226335218,5,5
3,baseline,host_macro_f1,0.552535024303349,0.015255405792783481,5,5
3,baseline,macro_precision,0.554462692851126,0.016046307068190588,5,5
3,baseline,macro_recall,0.5521485361361107,0.0145287911089316,5,5
4,baseline,host_accuracy,0.5327870699233791,0.00830854782636972,5,5
4,baseline,host_macro_f1,0.5286877780152317,0.01102254329330368,5,5
4,baseline,macro_precision,0.5313560738241162,0.010677255919686542,5,5
4,baseline,macro_recall,0.5283882282199908,0.011608138142785975,5,5
5,baseline,host_accuracy,0.5595340974835977,0.015422166926962992,5,5
5,baseline,host_macro_f1,0.555380781670321,0.01893399938457568,5,5
5,baseline,macro_precision,0.5602354318485621,0.01719599633532252,5,5
5,baseline,macro_recall,0.5542213487360335,0.01940132078792036,5,5
6,baseline,host_accuracy,0.551482743758343,0.017127402128259462,5,5
6,baseline,host_macro_f1,0.5469972753928609,0.020194602818703836,5,5
6,baseline,macro_precision,0.5500075249017475,0.019000466975022993,5,5
6,baseline,macro_recall,0.5461037482518386,0.020745688235959205,5,5
