category,series,metric,mean,sd,runs,defined
0,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
0,confirmed_False,poison_admission_rate,,,5,0
0,confirmed_False,resets_per_100k,0.6666666666666667,0.9128709291752769,5,5
0,confirmed_False,training_visits_per_100k,96266.66666666667,1734.4547654330318,5,5
0,confirmed_True,clean_withhold_rate,0.20677966101694914,0.0615793292358812,5,5
0,confirmed_True,poison_admission_rate,,,5,0
0,confirmed_True,resets_per_100k,0.33333333333333337,0.7453559924999299,5,5
0,confirmed_True,training_visits_per_100k,96266.66666666667,1734.4547654330318,5,5
0,immediate_False,clean_withhold_rate,0.0,0.0,5,5
0,immediate_False,poison_admission_rate,,,5,0
0,immediate_False,resets_per_100k,1.6666666666666667,2.041241452319315,5,5
0,immediate_False,training_visits_per_100k,95000.0,0.0,5,5
0,immediate_True,clean_withhold_rate,0.18983050847457625,0.06715800934291169,5,5
0,immediate_True,poison_admission_rate,,,5,0
0,immediate_True,resets_per_100k,1.3333333333333335,2.173067468400883,5,5
0,immediate_True,training_visits_per_100k,95000.0,0.0,5,5
0,none_False,clean_withhold_rate,0.0,0.0,5,5
0,none_False,poison_admission_rate,,,5,0
0,none_False,resets_per_100k,0.0,0.0,5,5
0,none_False,training_visits_per_100k,95000.0,0.0,5,5
0,none_True,clean_withhold_rate,0.1864406779661017,0.05224079663533033,5,5
0,none_True,poison_admission_rate,,,5,0
0,none_True,resets_per_100k,0.0,0.0,5,5
0,none_True,training_visits_per_100k,95000.0,0.0,5,5
1,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
1,confirmed_False,poison_admission_rate,1.0,0.0,5,5
1,confirmed_False,resets_per_100k,0.33333333333333337,0.7453559924999299,5,5
1,confirmed_False,training_visits_per_100k,95633.33333333334,1416.1763857498697,5,5
1,confirmed_True,clean_withhold_rate,0.1894786477921119,0.02517073392333628,5,5
1,confirmed_True,poison_admission_rate,0.8082106771523441,0.02525507140225917,5,5
1,confirmed_True,resets_per_100k,0.33333333333333337,0.7453559924999299,5,5
1,confirmed_True,training_visits_per_100k,95633.33333333334,1416.1763857498697,5,5
1,immediate_False,clean_withhold_rate,0.0,0.0,5,5
1,immediate_False,poison_admission_rate,1.0,0.0,5,5
1,immediate_False,resets_per_100k,2.0,1.3944333775567928,5,5
1,immediate_False,training_visits_per_100k,95000.0,0.0,5,5
1,immediate_True,clean_withhold_rate,0.2203198014934992,0.046679293371716765,5,5
1,immediate_True,poison_admission_rate,0.7795486936081971,0.04515035466423535,5,5
1,immediate_True,resets_per_100k,0.6666666666666667,0.9128709291752769,5,5
1,immediate_True,training_visits_per_100k,95000.0,0.0,5,5
1,none_False,clean_withhold_rate,0.0,0.0,5,5
1,none_False,poison_admission_rate,1.0,0.0,5,5
1,none_False,resets_per_100k,0.0,0.0,5,5
1,none_False,training_visits_per_100k,95000.0,0.0,5,5
1,none_True,clean_withhold_rate,0.19294471361788207,0.030992824193364556,5,5
1,none_True,poison_admission_rate,0.8052437340382219,0.02993185020246932,5,5
1,none_True,resets_per_100k,0.0,0.0,5,5
1,none_True,training_visits_per_100k,95000.0,0.0,5,5
2,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
2,confirmed_False,poison_admission_rate,1.0,0.0,5,5
2,confirmed_False,resets_per_100k,1.0,0.9128709291752769,5,5
2,confirmed_False,training_visits_per_100k,96900.0,1734.454765433027,5,5
2,confirmed_True,clean_withhold_rate,0.2376056857586319,0.04708686631981576,5,5
2,confirmed_True,poison_admission_rate,0.7636370680730156,0.04471638468686227,5,5
2,confirmed_True,resets_per_100k,0.6666666666666667,0.9128709291752769,5,5
2,confirmed_True,training_visits_per_100k,96900.0,1734.454765433027,5,5
2,immediate_False,clean_withhold_rate,0.0,0.0,5,5
2,immediate_False,poison_admission_rate,1.0,0.0,5,5
2,immediate_False,resets_per_100k,1.6666666666666667,1.1785113019775793,5,5
2,immediate_False,training_visits_per_100k,95000.0,0.0,5,5
2,immediate_True,clean_withhold_rate,0.24742713723927817,0.06798713455883469,5,5
2,immediate_True,poison_admission_rate,0.7524482288302804,0.06990391397782827,5,5
2,immediate_True,resets_per_100k,1.0,1.4907119849998598,5,5
2,immediate_True,training_visits_per_100k,95000.0,0.0,5,5
2,none_False,clean_withhold_rate,0.0,0.0,5,5
2,none_False,poison_admission_rate,1.0,0.0,5,5
2,none_False,resets_per_100k,0.0,0.0,5,5
2,none_False,training_visits_per_100k,95000.0,0.0,5,5
2,none_True,clean_withhold_rate,0.21734253399868328,0.0459288222626337,5,5
2,none_True,poison_admission_rate,0.784198418801217,0.04453294529412277,5,5
2,none_True,resets_per_100k,0.0,0.0,5,5
2,none_True,training_visits_per_100k,95000.0,0.0,5,5
3,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
3,confirmed_False,poison_admission_rate,1.0,0.0,5,5
3,confirmed_False,resets_per_100k,1.3333333333333335,1.3944333775567928,5,5
3,confirmed_False,training_visits_per_100k,97533.33333333334,2649.4234173579107,5,5
3,confirmed_True,clean_withhold_rate,0.26975377753092766,0.03179204021659233,5,5
3,confirmed_True,poison_admission_rate,0.654084211568111,0.16089626679003577,5,5
3,confirmed_True,resets_per_100k,0.6666666666666667,0.9128709291752769,5,5
3,confirmed_True,training_visits_per_100k,98166.66666666667,2239.171473757404,5,5
3,immediate_False,clean_withhold_rate,0.0,0.0,5,5
3,immediate_False,poison_admission_rate,1.0,0.0,5,5
3,immediate_False,resets_per_100k,2.666666666666667,1.90029237516523,5,5
3,immediate_False,training_visits_per_100k,95000.0,0.0,5,5
3,immediate_True,clean_withhold_rate,0.26394210020139675,0.05671309995059477,5,5
3,immediate_True,poison_admission_rate,0.7107852555509855,0.16276381709543786,5,5
3,immediate_True,resets_per_100k,0.6666666666666667,0.9128709291752769,5,5
3,immediate_True,training_visits_per_100k,95000.0,0.0,5,5
3,none_False,clean_withhold_rate,0.0,0.0,5,5
3,none_False,poison_admission_rate,1.0,0.0,5,5
3,none_False,resets_per_100k,0.0,0.0,5,5
3,none_False,training_visits_per_100k,95000.0,0.0,5,5
3,none_True,clean_withhold_rate,0.2671223735811252,0.03489887379060611,5,5
3,none_True,poison_admission_rate,0.7284493206070548,0.16476238036104218,5,5
3,none_True,resets_per_100k,0.0,0.0,5,5
3,none_True,training_visits_per_100k,95000.0,0.0,5,5
4,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
4,confirmed_False,poison_admission_rate,1.0,0.0,5,5
4,confirmed_False,resets_per_100k,0.6666666666666667,0.9128709291752769,5,5
4,confirmed_False,training_visits_per_100k,96266.66666666667,1734.454765433027,5,5
4,confirmed_True,clean_withhold_rate,0.24636241378150592,0.04123936658356142,5,5
4,confirmed_True,poison_admission_rate,0.6559626042510993,0.08615482638132448,5,5
4,confirmed_True,resets_per_100k,0.6666666666666667,1.49071198499986,5,5
4,confirmed_True,training_visits_per_100k,96900.0,2832.3527714997376,5,5
4,immediate_False,clean_withhold_rate,0.0,0.0,5,5
4,immediate_False,poison_admission_rate,1.0,0.0,5,5
4,immediate_False,resets_per_100k,1.6666666666666667,2.041241452319315,5,5
4,immediate_False,training_visits_per_100k,95000.0,0.0,5,5
4,immediate_True,clean_withhold_rate,0.2677572755774702,0.04132704516023899,5,5
4,immediate_True,poison_admission_rate,0.63873486713429,0.11259202375825182,5,5
4,immediate_True,resets_per_100k,0.6666666666666667,0.9128709291752769,5,5
4,immediate_True,training_visits_per_100k,95000.0,0.0,5,5
4,none_False,clean_withhold_rate,0.0,0.0,5,5
4,none_False,poison_admission_rate,1.0,0.0,5,5
4,none_False,resets_per_100k,0.0,0.0,5,5
4,none_False,training_visits_per_100k,95000.0,0.0,5,5
4,none_True,clean_withhold_rate,0.23920762596144565,0.037682170041379574,5,5
4,none_True,poison_admission_rate,0.7016247877028761,0.10002346095833609,5,5
4,none_True,resets_per_100k,0.0,0.0,5,5
4,none_True,training_visits_per_100k,95000.0,0.0,5,5
5,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
5,confirmed_False,poison_admission_rate,1.0,0.0,5,5
5,confirmed_False,resets_per_100k,1.0,1.4907119849998598,5,5
5,confirmed_False,training_visits_per_100k,96900.0,2832.352771499739,5,5
5,confirmed_True,clean_withhold_rate,0.21464316755304594,0.03947910019229104,5,5
5,confirmed_True,poison_admission_rate,0.6589558828618738,0.12063127631728274,5,5
5,confirmed_True,resets_per_100k,1.0,0.9128709291752769,5,5
5,confirmed_True,training_visits_per_100k,96900.0,1734.454765433027,5,5
5,immediate_False,clean_withhold_rate,0.0,0.0,5,5
5,immediate_False,poison_admission_rate,1.0,0.0,5,5
5,immediate_False,resets_per_100k,3.0,1.3944333775567928,5,5
5,immediate_False,training_visits_per_100k,95000.0,0.0,5,5
5,immediate_True,clean_withhold_rate,0.25980011678898524,0.05737083599042939,5,5
5,immediate_True,poison_admission_rate,0.687749470280689,0.09391767266598827,5,5
5,immediate_True,resets_per_100k,0.6666666666666667,0.9128709291752769,5,5
5,immediate_True,training_visits_per_100k,95000.0,0.0,5,5
5,none_False,clean_withhold_rate,0.0,0.0,5,5
5,none_False,poison_admission_rate,1.0,0.0,5,5
5,none_False,resets_per_100k,0.0,0.0,5,5
5,none_False,training_visits_per_100k,95000.0,0.0,5,5
5,none_True,clean_withhold_rate,0.24444490879702513,0.0745562956168764,5,5
5,none_True,poison_admission_rate,0.691297397426904,0.0696492286423751,5,5
5,none_True,resets_per_100k,0.0,0.0,5,5
5,none_True,training_visits_per_100k,95000.0,0.0,5,5
6,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
6,confirmed_False,poison_admission_rate,1.0,0.0,5,5
6,confirmed_False,resets_per_100k,0.33333333333333337,0.7453559924999299,5,5
