category,series,metric,mean,sd,runs,defined
0,confirmed,clean_withhold_rate,0.24406779661016947,0.04081896467387221,5,5
0,confirmed,host_accuracy,0.5592007136485281,0.020788521601531273,5,5
0,confirmed,host_macro_f1,0.5547965439207502,0.022647899074972194,5,5
0,confirmed,poison_admission_rate,,,5,0
0,q_alarm_17,clean_withhold_rate,0.3728813559322034,0.06672888028823569,5,5
0,q_alarm_17,host_accuracy,0.5514754683318466,0.014424747207550636,5,5
0,q_alarm_17,host_macro_f1,0.5476750311601349,0.010366432671806407,5,5
0,q_alarm_17,poison_admission_rate,,,5,0
0,q_alarm_27,clean_withhold_rate,0.4,0.040818964673872166,5,5
0,q_alarm_27,host_accuracy,0.5496806422836753,0.017603625902639204,5,5
0,q_alarm_27,host_macro_f1,0.5455157913613884,0.013746872886710153,5,5
0,q_alarm_27,poison_admission_rate,,,5,0
0,q_alarm_37,clean_withhold_rate,0.4,0.040818964673872166,5,5
0,q_alarm_37,host_accuracy,0.5496806422836753,0.017603625902639204,5,5
0,q_alarm_37,host_macro_f1,0.5455157913613884,0.013746872886710153,5,5
0,q_alarm_37,poison_admission_rate,,,5,0
0,q_alarm_47,clean_withhold_rate,0.4813559322033898,0.045794088427478986,5,5
0,q_alarm_47,host_accuracy,0.5553541480820696,0.015688040612394233,5,5
0,q_alarm_47,host_macro_f1,0.5516754407325555,0.012671422293497206,5,5
0,q_alarm_47,poison_admission_rate,,,5,0
0,q_alarm_7,clean_withhold_rate,0.1864406779661017,0.05224079663533033,5,5
0,q_alarm_7,host_accuracy,0.5601677074041035,0.011839151350776561,5,5
0,q_alarm_7,host_macro_f1,0.5576023644552077,0.013457641172360245,5,5
0,q_alarm_7,poison_admission_rate,,,5,0
1,confirmed,clean_withhold_rate,0.22689649418628383,0.038669912475986494,5,5
1,confirmed,host_accuracy,0.5346797502230152,0.02564692052842309,5,5
1,confirmed,host_macro_f1,0.5297671261505823,0.026212936210741958,5,5
1,confirmed,poison_admission_rate,0.7716416732587171,0.04118404663029619,5,5
