category,series,metric,mean,sd,runs,defined
0,learned_features,clean_withhold_rate_reset_difference,0.021826940231935748,0.03148926398316068,5,5
0,learned_features,host_accuracy_reset_difference,-0.00699732381801962,0.014926259443531025,5,5
0,learned_features,host_macro_f1_reset_difference,-0.00784932146425984,0.01604800970846835,5,5
0,learned_features,poison_admission_rate_reset_difference,,,5,0
0,learned_features_label,clean_withhold_rate_reset_difference,-0.006654772524531666,0.02667388037412673,5,5
0,learned_features_label,host_accuracy_reset_difference,-0.011991436217662792,0.0171414795542552,5,5
0,learned_features_label,host_macro_f1_reset_difference,-0.012975243781622644,0.015385480770543913,5,5
0,learned_features_label,poison_admission_rate_reset_difference,,,5,0
0,none,clean_withhold_rate_reset_difference,0.057627118644067755,0.033039980829860933,5,5
0,none,host_accuracy_reset_difference,-0.0009669937555753995,0.027482202564550817,5,5
0,none,host_macro_f1_reset_difference,-0.0028058205344575395,0.027495514238210155,5,5
0,none,poison_admission_rate_reset_difference,,,5,0
1,learned_features,clean_withhold_rate_reset_difference,0.02686309980963215,0.017305338538080854,5,5
1,learned_features,host_accuracy_reset_difference,-0.006489206066012487,0.013651840473094307,5,5
1,learned_features,host_macro_f1_reset_difference,-0.005505432170620927,0.012180813232556232,5,5
1,learned_features,poison_admission_rate_reset_difference,-0.026106441739604153,0.014807944650886593,5,5
1,learned_features_label,clean_withhold_rate_reset_difference,0.01756108858649797,0.04243425272586429,5,5
1,learned_features_label,host_accuracy_reset_difference,-0.00793791257805528,0.01666875391865461,5,5
1,learned_features_label,host_macro_f1_reset_difference,-0.00939645458812285,0.016329154451603916,5,5
1,learned_features_label,poison_admission_rate_reset_difference,-0.014544084772965227,0.04318071623562386,5,5
1,none,clean_withhold_rate_reset_difference,0.03395178056840174,0.06225917191733972,5,5
1,none,host_accuracy_reset_difference,-0.02483853702051732,0.02132294221183177,5,5
1,none,host_macro_f1_reset_difference,-0.023764577892657797,0.02146523453066577,5,5
1,none,poison_admission_rate_reset_difference,-0.03360206077950478,0.06238718331050141,5,5
2,learned_features,clean_withhold_rate_reset_difference,0.04592311334784497,0.03002897518215823,5,5
2,learned_features,host_accuracy_reset_difference,-0.009156824264049939,0.022964945645986206,5,5
2,learned_features,host_macro_f1_reset_difference,-0.010076599473155562,0.023430075174695374,5,5
2,learned_features,poison_admission_rate_reset_difference,-0.046738230221701496,0.029345726396055916,5,5
2,learned_features_label,clean_withhold_rate_reset_difference,0.025107660334127174,0.017634121187643376,5,5
2,learned_features_label,host_accuracy_reset_difference,-0.0002440677966101642,0.018733052392386918,5,5
2,learned_features_label,host_macro_f1_reset_difference,-0.002226585813025944,0.01982348685794369,5,5
2,learned_features_label,poison_admission_rate_reset_difference,-0.0235640538478723,0.01890832341627856,5,5
2,none,clean_withhold_rate_reset_difference,0.09144910925851166,0.027976426014793016,5,5
2,none,host_accuracy_reset_difference,-0.0032970561998215803,0.03418572548331928,5,5
2,none,host_macro_f1_reset_difference,-0.004501914274997661,0.03927899592838811,5,5
2,none,poison_admission_rate_reset_difference,-0.09173989090864364,0.030376181909183408,5,5
3,learned_features,clean_withhold_rate_reset_difference,0.0306903035071714,0.03235253659777799,5,5
3,learned_features,host_accuracy_reset_difference,-0.013078704252075617,0.00638863837402393,5,5
3,learned_features,host_macro_f1_reset_difference,-0.013704674133634121,0.00637928884052696,5,5
3,learned_features,poison_admission_rate_reset_difference,-0.041187815966626184,0.06521118740190286,5,5
3,learned_features_label,clean_withhold_rate_reset_difference,0.014959235070260701,0.042122693104649715,5,5
3,learned_features_label,host_accuracy_reset_difference,-0.0042252874033062915,0.010753406217062961,5,5
3,learned_features_label,host_macro_f1_reset_difference,-0.0054033319851031205,0.011680304384020734,5,5
3,learned_features_label,poison_admission_rate_reset_difference,-0.05730836811671306,0.06382085879036713,5,5
3,none,clean_withhold_rate_reset_difference,-0.007221854939106881,0.08176793448976671,5,5
3,none,host_accuracy_reset_difference,-0.00836401920672734,0.04643167539303267,5,5
3,none,host_macro_f1_reset_difference,-0.009317686042130239,0.04769127919308734,5,5
3,none,poison_admission_rate_reset_difference,-0.01793242447769352,0.13491421618004307,5,5
4,learned_features,clean_withhold_rate_reset_difference,0.050678464961295536,0.03599647293495375,5,5
4,learned_features,host_accuracy_reset_difference,-0.01474414039556744,0.013776673282255885,5,5
4,learned_features,host_macro_f1_reset_difference,-0.015530746225458993,0.015849013675650246,5,5
4,learned_features,poison_admission_rate_reset_difference,-0.10108368368690748,0.04652842961671599,5,5
4,learned_features_label,clean_withhold_rate_reset_difference,0.015173995366074314,0.04216514216253719,5,5
4,learned_features_label,host_accuracy_reset_difference,-0.015053652550949584,0.01114711745270163,5,5
4,learned_features_label,host_macro_f1_reset_difference,-0.01651435645991428,0.012569549827406958,5,5
4,learned_features_label,poison_admission_rate_reset_difference,-0.04473876855711213,0.07041212925552646,5,5
