category,series,metric,mean,sd,runs,defined
0,none,clean_withhold_rate,0.25084745762711863,0.0816379293477444,5,5
0,none,host_accuracy,0.5616984834968777,0.027560474752902093,5,5
0,none,host_macro_f1,0.5574756618690483,0.02588764316028293,5,5
0,none,poison_admission_rate,,,5,0
0,oracle_blocks,clean_withhold_rate,0.25084745762711863,0.0816379293477444,5,5
0,oracle_blocks,host_accuracy,0.5616984834968777,0.027560474752902093,5,5
0,oracle_blocks,host_macro_f1,0.5574756618690483,0.02588764316028293,5,5
0,oracle_blocks,poison_admission_rate,,,5,0
0,oracle_rows,clean_withhold_rate,0.25084745762711863,0.0816379293477444,5,5
0,oracle_rows,host_accuracy,0.5616984834968777,0.027560474752902093,5,5
0,oracle_rows,host_macro_f1,0.5574756618690483,0.02588764316028293,5,5
0,oracle_rows,poison_admission_rate,,,5,0
0,random_blocks,clean_withhold_rate,0.25084745762711863,0.0816379293477444,5,5
0,random_blocks,host_accuracy,0.5616984834968777,0.027560474752902093,5,5
0,random_blocks,host_macro_f1,0.5574756618690483,0.02588764316028293,5,5
0,random_blocks,poison_admission_rate,,,5,0
0,random_rows,clean_withhold_rate,0.25084745762711863,0.0816379293477444,5,5
0,random_rows,host_accuracy,0.5616984834968777,0.027560474752902093,5,5
0,random_rows,host_macro_f1,0.5574756618690483,0.02588764316028293,5,5
0,random_rows,poison_admission_rate,,,5,0
1,none,clean_withhold_rate,0.22749986267081926,0.015479531844239069,5,5
1,none,host_accuracy,0.5407172167707405,0.025924674556960223,5,5
1,none,host_macro_f1,0.5346415123461034,0.026198714871404672,5,5
1,none,poison_admission_rate,0.7749945045684032,0.014358795875974436,5,5
1,oracle_blocks,clean_withhold_rate,1.0,0.0,5,5
1,oracle_blocks,host_accuracy,0.32009991079393396,0.026363852146743617,5,5
1,oracle_blocks,host_macro_f1,0.30214576053795816,0.030001262217086593,5,5
1,oracle_blocks,poison_admission_rate,0.0,0.0,5,5
1,oracle_rows,clean_withhold_rate,0.1935313177595824,0.032753856013880894,5,5
1,oracle_rows,host_accuracy,0.5376199821587868,0.023087672851546264,5,5
1,oracle_rows,host_macro_f1,0.5323401694396609,0.021917011266245977,5,5
1,oracle_rows,poison_admission_rate,0.0,0.0,5,5
1,random_blocks,clean_withhold_rate,1.0,0.0,5,5
1,random_blocks,host_accuracy,0.32009991079393396,0.026363852146743617,5,5
1,random_blocks,host_macro_f1,0.30214576053795816,0.030001262217086593,5,5
1,random_blocks,poison_admission_rate,0.0,0.0,5,5
1,random_rows,clean_withhold_rate,0.3413534840319617,0.019843332865871213,5,5
1,random_rows,host_accuracy,0.5306519179304192,0.016638047263311955,5,5
1,random_rows,host_macro_f1,0.5246499052682246,0.014857466246811883,5,5
1,random_rows,poison_admission_rate,0.6597799546215597,0.019556002467104715,5,5
2,none,clean_withhold_rate,0.29144286367522343,0.05219757805793975,5,5
2,none,host_accuracy,0.531900089206066,0.02437500213608719,5,5
2,none,host_macro_f1,0.525067136816204,0.02326555905616609,5,5
2,none,poison_admission_rate,0.7082333841899434,0.05473373630631046,5,5
2,oracle_blocks,clean_withhold_rate,1.0,0.0,5,5
2,oracle_blocks,host_accuracy,0.32009991079393396,0.026363852146743617,5,5
2,oracle_blocks,host_macro_f1,0.30214576053795816,0.030001262217086593,5,5
2,oracle_blocks,poison_admission_rate,0.0,0.0,5,5
2,oracle_rows,clean_withhold_rate,0.2812845614251306,0.04596004656355536,5,5
2,oracle_rows,host_accuracy,0.5352007136485282,0.016690366745881487,5,5
