category,series,metric,mean,sd,runs,defined
0,learned_features,clean_withhold_rate,0.28200892060660127,0.03563537763510409,5,5
0,learned_features,host_accuracy,0.5568949152542373,0.008925626562561644,5,5
0,learned_features,host_macro_f1,0.5532779080906088,0.011026258834062724,5,5
0,learned_features,poison_admission_rate,,,5,0
0,learned_features_label,clean_withhold_rate,0.2843910793933987,0.024677025086162523,5,5
0,learned_features_label,host_accuracy,0.5512107047279214,0.00542067053078485,5,5
0,learned_features_label,host_macro_f1,0.5459551160084029,0.007155059309041108,5,5
0,learned_features_label,poison_admission_rate,,,5,0
0,none,clean_withhold_rate,0.25084745762711863,0.0816379293477444,5,5
0,none,host_accuracy,0.5616984834968777,0.027560474752902093,5,5
0,none,host_macro_f1,0.5574756618690483,0.02588764316028293,5,5
0,none,poison_admission_rate,,,5,0
1,learned_features,clean_withhold_rate,0.2748975693193773,0.03205864884382233,5,5
1,learned_features,host_accuracy,0.537071186440678,0.007663182767387988,5,5
1,learned_features,host_macro_f1,0.531554917361399,0.010594138776270436,5,5
1,learned_features,poison_admission_rate,0.7219074220454961,0.03253363624884352,5,5
1,learned_features_label,clean_withhold_rate,0.2887727143684624,0.02956255713014736,5,5
1,learned_features_label,host_accuracy,0.5412588760035681,0.01939893389106923,5,5
1,learned_features_label,host_macro_f1,0.5349122914957148,0.019828496510382407,5,5
1,learned_features_label,poison_admission_rate,0.7261916288438037,0.03505256123473503,5,5
1,none,clean_withhold_rate,0.22749986267081926,0.015479531844239069,5,5
1,none,host_accuracy,0.5407172167707405,0.025924674556960223,5,5
1,none,host_macro_f1,0.5346415123461034,0.026198714871404672,5,5
1,none,poison_admission_rate,0.7749945045684032,0.014358795875974436,5,5
2,learned_features,clean_withhold_rate,0.3155878387272031,0.024067819278144723,5,5
2,learned_features,host_accuracy,0.5160663693131133,0.018997204284195993,5,5
2,learned_features,host_macro_f1,0.5090234835842369,0.019209413552475803,5,5
2,learned_features,poison_admission_rate,0.6849529796838837,0.027310296805190874,5,5
2,learned_features_label,clean_withhold_rate,0.33898015808519966,0.03288974196688923,5,5
2,learned_features_label,host_accuracy,0.5078108831400535,0.03128854705648274,5,5
2,learned_features_label,host_macro_f1,0.4999747988353687,0.03462130788747183,5,5
2,learned_features_label,poison_admission_rate,0.67122355325227,0.02337028456956891,5,5
2,none,clean_withhold_rate,0.29144286367522343,0.05219757805793975,5,5
2,none,host_accuracy,0.531900089206066,0.02437500213608719,5,5
2,none,host_macro_f1,0.525067136816204,0.02326555905616609,5,5
2,none,poison_admission_rate,0.7082333841899434,0.05473373630631046,5,5
3,learned_features,clean_withhold_rate,0.28829284077541784,0.01799943286926615,5,5
3,learned_features,host_accuracy,0.5384809236669127,0.010226166910931745,5,5
3,learned_features,host_macro_f1,0.5347633774271703,0.009573336794399976,5,5
3,learned_features,poison_admission_rate,0.6316989507629981,0.055387485351576914,5,5
3,learned_features_label,clean_withhold_rate,0.2896726501667858,0.023842965365369534,5,5
3,learned_features_label,host_accuracy,0.5435922695253208,0.015028399056427798,5,5
3,learned_features_label,host_macro_f1,0.5387523875588056,0.015737179407942843,5,5
3,learned_features_label,poison_admission_rate,0.6306218541485006,0.07256463167961918,5,5
3,none,clean_withhold_rate,0.2469739391163684,0.05863776554922229,5,5
3,none,host_accuracy,0.5540729660316746,0.030235576012111003,5,5
3,none,host_macro_f1,0.5509895504607621,0.030719439430991053,5,5
3,none,poison_admission_rate,0.6386912386611849,0.06069565435161144,5,5
4,learned_features,clean_withhold_rate,0.2810417938259261,0.0370317408824561,5,5
4,learned_features,host_accuracy,0.5237809935137816,0.01157981444464239,5,5
4,learned_features,host_macro_f1,0.5197180979512709,0.008749424087592885,5,5
4,learned_features,poison_admission_rate,0.5900999376791455,0.06022406639736051,5,5
4,learned_features_label,clean_withhold_rate,0.28366944632841673,0.02899630351591507,5,5
4,learned_features_label,host_accuracy,0.5216947666623867,0.00953529312365732,5,5
4,learned_features_label,host_macro_f1,0.5154607980519039,0.009126510257786123,5,5
4,learned_features_label,poison_admission_rate,0.6089309231064474,0.030324249356629498,5,5
4,none,clean_withhold_rate,0.26870069188291723,0.02413158939498799,5,5
4,none,host_accuracy,0.5301820141021658,0.010803506660169045,5,5
4,none,host_macro_f1,0.5262679096100511,0.01230426920565058,5,5
4,none,poison_admission_rate,0.6548473491789191,0.09710367405455958,5,5
5,learned_features,clean_withhold_rate,0.30083117525201497,0.02147261627627139,5,5
5,learned_features,host_accuracy,0.5339986715026331,0.009899470230374196,5,5
5,learned_features,host_macro_f1,0.5290279869608414,0.0067727895028116296,5,5
5,learned_features,poison_admission_rate,0.6136871024088995,0.05122607216249539,5,5
5,learned_features_label,clean_withhold_rate,0.2864606607462077,0.03264329510653177,5,5
5,learned_features_label,host_accuracy,0.5361155250783004,0.012493981513902694,5,5
5,learned_features_label,host_macro_f1,0.5307276959404938,0.014826416357926869,5,5
5,learned_features_label,poison_admission_rate,0.6567382654692135,0.04829297695265912,5,5
5,none,clean_withhold_rate,0.2665748481365968,0.09276545482226999,5,5
5,none,host_accuracy,0.5402017536116948,0.022354951501653154,5,5
5,none,host_macro_f1,0.5374480668817284,0.019394188265470153,5,5
5,none,poison_admission_rate,0.6364174583353428,0.1057698196588156,5,5
6,learned_features,clean_withhold_rate,0.27867225843183585,0.02208343447609857,5,5
6,learned_features,host_accuracy,0.5300203951944122,0.014768483854456083,5,5
6,learned_features,host_macro_f1,0.5262331851314062,0.010058129336637321,5,5
6,learned_features,poison_admission_rate,0.5582890748053024,0.058552008987830605,5,5
6,learned_features_label,clean_withhold_rate,0.2750161310186858,0.014448897938329461,5,5
6,learned_features_label,host_accuracy,0.5260689462239488,0.009301949162082147,5,5
6,learned_features_label,host_macro_f1,0.5200225769840662,0.010301926493024478,5,5
6,learned_features_label,poison_admission_rate,0.5606518274149556,0.039517189017136245,5,5
6,none,clean_withhold_rate,0.26479975753715,0.0502175192959472,5,5
6,none,host_accuracy,0.5356419507745888,0.015150292579961871,5,5
6,none,host_macro_f1,0.5304590582075803,0.01240920746583171,5,5
6,none,poison_admission_rate,0.5901044155966003,0.10070520323456397,5,5
