category,series,metric,mean,sd,runs,defined
0,learned_features,clean_withhold_rate_reset_difference,0.021326672613737722,0.01695555865603079,5,5
0,learned_features,host_accuracy_reset_difference,0.005740588760035649,0.009457061305387692,5,5
0,learned_features,host_macro_f1_reset_difference,0.005881469864110596,0.009924323515880676,5,5
0,learned_features,poison_admission_rate_reset_difference,,,5,0
0,learned_features_label,clean_withhold_rate_reset_difference,0.020172702943800174,0.025279999451420784,5,5
0,learned_features_label,host_accuracy_reset_difference,-0.0038458519179304152,0.011725357543130692,5,5
0,learned_features_label,host_macro_f1_reset_difference,-0.004451021781512872,0.01053851586202406,5,5
0,learned_features_label,poison_admission_rate_reset_difference,,,5,0
0,none,clean_withhold_rate_reset_difference,0.06440677966101693,0.04046554707224855,5,5
0,none,host_accuracy_reset_difference,0.0015307760927743205,0.03639502630942894,5,5
0,none,host_macro_f1_reset_difference,-0.0001267025861594197,0.03749250093981187,5,5
0,none,poison_admission_rate_reset_difference,,,5,0
1,learned_features,clean_withhold_rate_reset_difference,0.015469021052247525,0.0350752133146786,5,5
1,learned_features,host_accuracy_reset_difference,0.0018540588760035566,0.01569068935791642,5,5
1,learned_features,host_macro_f1_reset_difference,0.0022597901321411967,0.0151834486960103,5,5
1,learned_features,poison_admission_rate_reset_difference,-0.016398664289312536,0.03280418309824081,5,5
1,learned_features_label,clean_withhold_rate_reset_difference,0.03729928536705412,0.03319661068665474,5,5
1,learned_features_label,host_accuracy_reset_difference,0.005111150758251552,0.01588230803799234,5,5
1,learned_features_label,host_macro_f1_reset_difference,0.004513577955820547,0.015645839156136702,5,5
1,learned_features_label,poison_admission_rate_reset_difference,-0.033943657330548396,0.033008837460001446,5,5
1,none,clean_withhold_rate_reset_difference,0.034555149052937176,0.03226671231134197,5,5
1,none,host_accuracy_reset_difference,-0.0188010704727921,0.021615811199872815,5,5
1,none,host_macro_f1_reset_difference,-0.01889019169713672,0.021614012708444843,5,5
1,none,poison_admission_rate_reset_difference,-0.03024922946981856,0.028752999480376226,5,5
2,learned_features,clean_withhold_rate_reset_difference,0.04151992405462662,0.019884390628370097,5,5
2,learned_features,host_accuracy_reset_difference,-0.0009948260481712596,0.01595644727574713,5,5
2,learned_features,host_macro_f1_reset_difference,-0.0022488587794176115,0.01609584522281265,5,5
2,learned_features,poison_admission_rate_reset_difference,-0.0421444856216285,0.01885770636094216,5,5
2,learned_features_label,clean_withhold_rate_reset_difference,0.011547878052349428,0.02252419214914059,5,5
2,learned_features_label,host_accuracy_reset_difference,0.0061545049063336035,0.01752262915754483,5,5
2,learned_features_label,host_macro_f1_reset_difference,0.004905435356512524,0.01859261199079379,5,5
2,learned_features_label,poison_admission_rate_reset_difference,-0.011997637179133594,0.024826862707703918,5,5
2,none,clean_withhold_rate_reset_difference,0.07410032967654008,0.030416653802308475,5,5
2,none,host_accuracy_reset_difference,0.00902765388046384,0.01246758097272616,5,5
2,none,host_macro_f1_reset_difference,0.0079074804738363,0.012738215370755602,5,5
