category,series,metric,mean,sd,runs,defined
0,learned_features,clean_withhold_rate,0.2606822479928635,0.039835193817047365,5,5
0,learned_features,host_accuracy,0.5511543264942016,0.006031404662262368,5,5
0,learned_features,host_macro_f1,0.5473964382264983,0.00721825159124367,5,5
0,learned_features,poison_admission_rate,,,5,0
0,learned_features_label,clean_withhold_rate,0.26421837644959856,0.034344567062485586,5,5
0,learned_features_label,host_accuracy,0.5550565566458519,0.012674413329466344,5,5
0,learned_features_label,host_macro_f1,0.5504061377899158,0.014048247527920199,5,5
0,learned_features_label,poison_admission_rate,,,5,0
0,none,clean_withhold_rate,0.1864406779661017,0.05224079663533033,5,5
0,none,host_accuracy,0.5601677074041035,0.011839151350776561,5,5
0,none,host_macro_f1,0.5576023644552077,0.013457641172360245,5,5
0,none,poison_admission_rate,,,5,0
1,learned_features,clean_withhold_rate,0.2594285482671298,0.012240225313189235,5,5
1,learned_features,host_accuracy,0.5352171275646744,0.012796321491798972,5,5
1,learned_features,host_macro_f1,0.5292951272292579,0.010737880438411384,5,5
1,learned_features,poison_admission_rate,0.7383060863348087,0.011807473651280972,5,5
1,learned_features_label,clean_withhold_rate,0.2514734290014083,0.042614872232450335,5,5
1,learned_features_label,host_accuracy,0.5361477252453166,0.007087852849101864,5,5
1,learned_features_label,host_macro_f1,0.5303987135398943,0.008937996148707378,5,5
1,learned_features_label,poison_admission_rate,0.7601352861743521,0.02176375110507312,5,5
1,none,clean_withhold_rate,0.19294471361788207,0.030992824193364556,5,5
1,none,host_accuracy,0.5595182872435325,0.010784803091607405,5,5
1,none,host_macro_f1,0.55353170404324,0.010399771906292866,5,5
1,none,poison_admission_rate,0.8052437340382219,0.02993185020246932,5,5
2,learned_features,clean_withhold_rate,0.2740679146725764,0.038284448536513735,5,5
2,learned_features,host_accuracy,0.5170611953612846,0.013353838711610793,5,5
2,learned_features,host_macro_f1,0.5112723423636545,0.01033823548860052,5,5
2,learned_features,poison_admission_rate,0.7270974653055122,0.0396682433861253,5,5
2,learned_features_label,clean_withhold_rate,0.32743228003285024,0.03206750484822331,5,5
2,learned_features_label,host_accuracy,0.5016563782337199,0.01662115217694287,5,5
2,learned_features_label,host_macro_f1,0.49506936347885616,0.022003718621608378,5,5
2,learned_features_label,poison_admission_rate,0.6832211904314037,0.025446194910104723,5,5
2,none,clean_withhold_rate,0.21734253399868328,0.0459288222626337,5,5
2,none,host_accuracy,0.5228724353256021,0.027653382631989847,5,5
2,none,host_macro_f1,0.5171596563423677,0.02597751184471856,5,5
2,none,poison_admission_rate,0.784198418801217,0.04453294529412277,5,5
3,learned_features,clean_withhold_rate,0.2662416975565889,0.03343575334095691,5,5
3,learned_features,host_accuracy,0.5437435582059301,0.008723599567376896,5,5
3,learned_features,host_macro_f1,0.5403016870077264,0.004370321091669635,5,5
3,learned_features,poison_admission_rate,0.6859482964532992,0.011953694801423444,5,5
3,learned_features_label,clean_withhold_rate,0.2751666468919574,0.028082243887375555,5,5
3,learned_features_label,host_accuracy,0.5394071893399862,0.0045396976677726806,5,5
3,learned_features_label,host_macro_f1,0.5348597736581695,0.005868331458026978,5,5
3,learned_features_label,poison_admission_rate,0.6709930076178224,0.082571373838998,5,5
3,none,clean_withhold_rate,0.2671223735811252,0.03489887379060611,5,5
3,none,host_accuracy,0.5487909172093777,0.018325110719140128,5,5
3,none,host_macro_f1,0.5456248556696359,0.020873956881295407,5,5
3,none,poison_admission_rate,0.7284493206070548,0.16476238036104218,5,5
4,learned_features,clean_withhold_rate,0.24473593636757468,0.03813871352337829,5,5
4,learned_features,host_accuracy,0.5366969609188755,0.012076078002140434,5,5
4,learned_features,host_macro_f1,0.5331138852049631,0.010011454342298583,5,5
4,learned_features,poison_admission_rate,0.6570384101793593,0.041864406411172304,5,5
4,learned_features_label,clean_withhold_rate,0.26691639192471783,0.0340267114662974,5,5
4,learned_features_label,host_accuracy,0.5357385548310154,0.014194876513667947,5,5
4,learned_features_label,host_macro_f1,0.5306858925862947,0.015018283868076812,5,5
4,learned_features_label,poison_admission_rate,0.6252986471108334,0.08474190678674656,5,5
4,none,clean_withhold_rate,0.23920762596144565,0.037682170041379574,5,5
4,none,host_accuracy,0.5374999882949728,0.017219190788714412,5,5
4,none,host_macro_f1,0.5338504740492077,0.017433046888823925,5,5
4,none,poison_admission_rate,0.7016247877028761,0.10002346095833609,5,5
