category,series,metric,mean,sd,runs,defined
0,alarm,clean_withhold_rate,0.17400611751567824,,1,1
0,alarm,host_accuracy,0.8984920612719487,,1,1
0,alarm,host_macro_f1,0.8882595160590362,,1,1
0,alarm,poison_admission_rate,0.797733708437722,,1,1
0,alarm_persistence,clean_withhold_rate,0.20744317482360963,,1,1
0,alarm_persistence,host_accuracy,0.8994258932148936,,1,1
0,alarm_persistence,host_macro_f1,0.8894772259544297,,1,1
0,alarm_persistence,poison_admission_rate,0.7620869732698332,,1,1
0,confirmed,clean_withhold_rate,0.1476006957996244,,1,1
0,confirmed,host_accuracy,0.896843858099991,,1,1
0,confirmed,host_macro_f1,0.8867005465849409,,1,1
0,confirmed,poison_admission_rate,0.8401986022177071,,1,1
0,error_rule,clean_withhold_rate,0.25046164710422436,,1,1
0,error_rule,host_accuracy,0.898438829680999,,1,1
0,error_rule,host_macro_f1,0.8886111500293492,,1,1
0,error_rule,poison_admission_rate,0.7036949108546272,,1,1
0,no_reset,clean_withhold_rate,0.120891619078478,,1,1
0,no_reset,host_accuracy,0.8953025113747384,,1,1
0,no_reset,host_macro_f1,0.8846337015523265,,1,1
0,no_reset,poison_admission_rate,0.8658551918397565,,1,1
0,selected_map,clean_withhold_rate,0.2735261031857277,,1,1
0,selected_map,host_accuracy,0.8975788866547025,,1,1
0,selected_map,host_macro_f1,0.8876571792511757,,1,1
0,selected_map,poison_admission_rate,0.6679496299358082,,1,1
1,alarm,clean_withhold_rate,0.25843636527536945,,1,1
1,alarm,host_accuracy,0.897546520938832,,1,1
1,alarm,host_macro_f1,0.8870002323696131,,1,1
1,alarm,poison_admission_rate,0.7027945496928311,,1,1
1,alarm_persistence,clean_withhold_rate,0.2944232101736136,,1,1
1,alarm_persistence,host_accuracy,0.8993709880639507,,1,1
1,alarm_persistence,host_macro_f1,0.8892361748732203,,1,1
1,alarm_persistence,poison_admission_rate,0.6634095192116348,,1,1
1,confirmed,clean_withhold_rate,0.21321946068302342,,1,1
1,confirmed,host_accuracy,0.8976653419783732,,1,1
1,confirmed,host_macro_f1,0.8875316660023554,,1,1
1,confirmed,poison_admission_rate,0.7599150039633135,,1,1
1,error_rule,clean_withhold_rate,0.336069330007672,,1,1
1,error_rule,host_accuracy,0.8975069115047918,,1,1
1,error_rule,host_macro_f1,0.887273074176462,,1,1
1,error_rule,poison_admission_rate,0.5917761365819711,,1,1
1,no_reset,clean_withhold_rate,0.191956752077891,,1,1
1,no_reset,host_accuracy,0.8947863447426112,,1,1
1,no_reset,host_macro_f1,0.8838093787769659,,1,1
1,no_reset,poison_admission_rate,0.7816615596423749,,1,1
1,selected_map,clean_withhold_rate,0.36741514437595085,,1,1
1,selected_map,host_accuracy,0.8969019497489155,,1,1
1,selected_map,host_macro_f1,0.8864980624430935,,1,1
1,selected_map,poison_admission_rate,0.5577501645146146,,1,1
2,alarm,clean_withhold_rate,0.4156935075723642,,1,1
2,alarm,host_accuracy,0.8974864512510866,,1,1
2,alarm,host_macro_f1,0.8868225483956819,,1,1
2,alarm,poison_admission_rate,0.5437305931291941,,1,1
2,alarm_persistence,clean_withhold_rate,0.45322678429444707,,1,1
2,alarm_persistence,host_accuracy,0.8989946217638175,,1,1
2,alarm_persistence,host_macro_f1,0.8887216808197949,,1,1
2,alarm_persistence,poison_admission_rate,0.5006086683672611,,1,1
2,confirmed,clean_withhold_rate,0.36309672325428705,,1,1
2,confirmed,host_accuracy,0.8952290406875877,,1,1
2,confirmed,host_macro_f1,0.8843436189446395,,1,1
2,confirmed,poison_admission_rate,0.5975507655528397,,1,1
2,error_rule,clean_withhold_rate,0.5139486921340356,,1,1
2,error_rule,host_accuracy,0.8954027701929024,,1,1
2,error_rule,host_macro_f1,0.8845172443939024,,1,1
2,error_rule,poison_admission_rate,0.43101877976574793,,1,1
2,no_reset,clean_withhold_rate,0.3375070228690723,,1,1
2,no_reset,host_accuracy,0.8949920583733286,,1,1
2,no_reset,host_macro_f1,0.8839307580771302,,1,1
2,no_reset,poison_admission_rate,0.632481295436658,,1,1
2,selected_map,clean_withhold_rate,0.5450290526036199,,1,1
2,selected_map,host_accuracy,0.8964563579818572,,1,1
2,selected_map,host_macro_f1,0.8858178320389481,,1,1
2,selected_map,poison_admission_rate,0.3825127668469239,,1,1
