category,series,metric,mean,sd,runs,defined
0,learned_features,clean_withhold_rate_reset_difference,0.06310080285459407,0.0233750835194966,5,5
0,learned_features,host_accuracy_reset_difference,0.011436217662801028,0.00443626851696308,5,5
0,learned_features,host_macro_f1_reset_difference,0.013809876332560525,0.005130682308712725,5,5
0,learned_features,poison_admission_rate_reset_difference,,,5,0
0,learned_features_label,clean_withhold_rate_reset_difference,0.0398387154326494,0.02409219435654933,5,5
0,learned_features_label,host_accuracy_reset_difference,0.007997859054415656,0.001203436052778799,5,5
0,learned_features_label,host_macro_f1_reset_difference,0.009518510133282428,0.0014639882446678804,5,5
0,learned_features_label,poison_admission_rate_reset_difference,,,5,0
0,none,clean_withhold_rate_reset_difference,0.0847457627118644,0.0951268827145917,5,5
0,none,host_accuracy_reset_difference,0.00874219446922384,0.005558318231889474,5,5
0,none,host_macro_f1_reset_difference,0.01049068542538006,0.006568535390601084,5,5
0,none,poison_admission_rate_reset_difference,,,5,0
1,learned_features,clean_withhold_rate_reset_difference,0.11688016860412105,0.09161001712783508,5,5
1,learned_features,host_accuracy_reset_difference,0.009435860838536963,0.004158871831329894,5,5
1,learned_features,host_macro_f1_reset_difference,0.011466044571855441,0.004876414194001252,5,5
1,learned_features,poison_admission_rate_reset_difference,-0.1157420578518131,0.09136292101489954,5,5
1,learned_features_label,clean_withhold_rate_reset_difference,0.04667930945628545,0.016688489598904555,5,5
1,learned_features_label,host_accuracy_reset_difference,0.00548367528991966,0.0018477837109078436,5,5
1,learned_features_label,host_macro_f1_reset_difference,0.0066143227665274845,0.002115003357926166,5,5
1,learned_features_label,poison_admission_rate_reset_difference,-0.012426619540675468,0.004025302989390301,5,5
1,none,clean_withhold_rate_reset_difference,0.13546143311706443,0.06366079071210243,5,5
1,none,host_accuracy_reset_difference,0.011229259589652079,0.002219442619843176,5,5
1,none,host_macro_f1_reset_difference,0.01338500370374704,0.002524580485143625,5,5
1,none,poison_admission_rate_reset_difference,-0.13632623884948086,0.06214569323440826,5,5
2,learned_features,clean_withhold_rate_reset_difference,0.08517507398911423,0.06957251687915034,5,5
2,learned_features,host_accuracy_reset_difference,0.006731132917038324,0.003558422347441948,5,5
2,learned_features,host_macro_f1_reset_difference,0.008473094733333396,0.004377862216976321,5,5
2,learned_features,poison_admission_rate_reset_difference,-0.0847777935544608,0.07205892028485093,5,5
2,learned_features_label,clean_withhold_rate_reset_difference,0.01928162285436095,0.025514728966561904,5,5
2,learned_features_label,host_accuracy_reset_difference,0.001831935771632448,0.0025932479261267425,5,5
2,learned_features_label,host_macro_f1_reset_difference,0.00221077055252908,0.003136366334060987,5,5
2,learned_features_label,poison_admission_rate_reset_difference,-0.004442670950996199,0.005366127731923174,5,5
2,none,clean_withhold_rate_reset_difference,0.04386913131406936,0.08121247681169243,5,5
2,none,host_accuracy_reset_difference,0.0030793933987511,0.004216637787873271,5,5
2,none,host_macro_f1_reset_difference,0.00402478314035612,0.005513953639227467,5,5
2,none,poison_admission_rate_reset_difference,-0.04464891972270044,0.08014234538223522,5,5
3,learned_features,clean_withhold_rate_reset_difference,0.05094307864009553,0.013200158951784264,5,5
3,learned_features,host_accuracy_reset_difference,0.0032044068884876193,0.0028611082497439783,5,5
3,learned_features,host_macro_f1_reset_difference,0.004273960816442824,0.003545186231847694,5,5
3,learned_features,poison_admission_rate_reset_difference,-0.0676882986791281,0.03847978143585196,5,5
3,learned_features_label,clean_withhold_rate_reset_difference,0.013928411189470932,0.016834642816776553,5,5
3,learned_features_label,host_accuracy_reset_difference,0.007534742995636068,0.005307481543687248,5,5
3,learned_features_label,host_macro_f1_reset_difference,0.008908859539661564,0.006039934990702141,5,5
3,learned_features_label,poison_admission_rate_reset_difference,0.003238346289052873,0.013635695905580858,5,5
3,none,clean_withhold_rate_reset_difference,0.050019176656726214,0.059031493920940904,5,5
3,none,host_accuracy_reset_difference,0.00216987960647082,0.004094866327326359,5,5
3,none,host_macro_f1_reset_difference,0.0028916252390105597,0.005014358293928836,5,5
3,none,poison_admission_rate_reset_difference,-0.05546898076525998,0.0527145473747919,5,5
4,learned_features,clean_withhold_rate_reset_difference,0.09583667453880448,0.04426482116972239,5,5
4,learned_features,host_accuracy_reset_difference,0.0032454734597103393,0.003569516739140544,5,5
4,learned_features,host_macro_f1_reset_difference,0.004376061800669016,0.004256927846722317,5,5
4,learned_features,poison_admission_rate_reset_difference,-0.10685164756396995,0.1171676041422622,5,5
4,learned_features_label,clean_withhold_rate_reset_difference,0.009777701823222944,0.016317099893712998,5,5
4,learned_features_label,host_accuracy_reset_difference,0.007152223419620135,0.0028296704906079434,5,5
4,learned_features_label,host_macro_f1_reset_difference,0.008630180028047215,0.0034355483035649766,5,5
4,learned_features_label,poison_admission_rate_reset_difference,-0.0035104617871609964,0.021643944719822252,5,5
4,none,clean_withhold_rate_reset_difference,0.15434647406749355,0.05105859083086345,5,5
4,none,host_accuracy_reset_difference,0.0036947614806366797,0.007269088671005123,5,5
4,none,host_macro_f1_reset_difference,0.00490838676546128,0.008791630214095476,5,5
4,none,poison_admission_rate_reset_difference,-0.16058403678300368,0.08020523901327285,5,5
5,learned_features,clean_withhold_rate_reset_difference,0.06798722383444097,0.03373332438606262,5,5
5,learned_features,host_accuracy_reset_difference,0.007987364346881312,0.003346548755264823,5,5
5,learned_features,host_macro_f1_reset_difference,0.009490911194669905,0.0038405979007359627,5,5
5,learned_features,poison_admission_rate_reset_difference,-0.07347402668858027,0.027995106527024183,5,5
5,learned_features_label,clean_withhold_rate_reset_difference,0.03529129637054538,0.02233429039818657,5,5
