category,series,metric,mean,sd,runs,defined
0,learned_features,clean_withhold_rate,0.2341252453166815,0.08401802842980176,5,5
0,learned_features,host_accuracy,0.9025798394290812,0.0047264481908244425,5,5
0,learned_features,host_macro_f1,0.8927027692705541,0.004997320342681303,5,5
0,learned_features,poison_admission_rate,,,5,0
0,learned_features_label,clean_withhold_rate,0.17685923282783225,0.026399677527012125,5,5
0,learned_features_label,host_accuracy,0.9029295272078501,0.0015732814371586848,5,5
0,learned_features_label,host_macro_f1,0.893496806461806,0.0014828872172217083,5,5
0,learned_features_label,poison_admission_rate,,,5,0
0,none,clean_withhold_rate,0.17627118644067793,0.11532898872002711,5,5
0,none,host_accuracy,0.9007100802854595,0.0068841356303578185,5,5
0,none,host_macro_f1,0.8905744532071942,0.007492367142558235,5,5
0,none,poison_admission_rate,,,5,0
1,learned_features,clean_withhold_rate,0.29221214777817445,0.08132984419513857,5,5
1,learned_features,host_accuracy,0.9029487957181088,0.004233398167490922,5,5
1,learned_features,host_macro_f1,0.892998340956843,0.0049730664282243405,5,5
1,learned_features,poison_admission_rate,0.7092250807287954,0.08203290597724655,5,5
1,learned_features_label,clean_withhold_rate,0.15947282150948788,0.021657635869023802,5,5
1,learned_features_label,host_accuracy,0.8997595004460303,0.002264262380996174,5,5
1,learned_features_label,host_macro_f1,0.8901574520047013,0.0023467497484606836,5,5
1,learned_features_label,poison_admission_rate,0.20200286294439565,0.005141459758717352,5,5
1,none,clean_withhold_rate,0.23746159360483446,0.1271678509992785,5,5
1,none,host_accuracy,0.9007564674397859,0.004864955677638754,5,5
1,none,host_macro_f1,0.8906883175210165,0.005330744430249845,5,5
1,none,poison_admission_rate,0.7636766144194354,0.12871176988500155,5,5
2,learned_features,clean_withhold_rate,0.3049722731999361,0.039131872608144096,5,5
2,learned_features,host_accuracy,0.8959065120428189,0.004469649725717452,5,5
2,learned_features,host_macro_f1,0.8850870577717528,0.0050794146200015084,5,5
2,learned_features,poison_admission_rate,0.6954696014340053,0.03956365453936299,5,5
2,learned_features_label,clean_withhold_rate,0.22331630058525337,0.06757374808127864,5,5
2,learned_features_label,host_accuracy,0.8973038358608385,0.0015078867356644644,5,5
2,learned_features_label,host_macro_f1,0.8874921439719714,0.0017662954057268442,5,5
2,learned_features_label,poison_admission_rate,0.18660015067917057,0.016963604491484062,5,5
2,none,clean_withhold_rate,0.27751157180425734,0.08911245009296268,5,5
2,none,host_accuracy,0.895636039250669,0.007139189942430222,5,5
2,none,host_macro_f1,0.8850698465251245,0.00813027683553743,5,5
2,none,poison_admission_rate,0.7206948122262176,0.09346875726330106,5,5
3,learned_features,clean_withhold_rate,0.25302634895828546,0.03002919884885432,5,5
3,learned_features,host_accuracy,0.9015294519676015,0.0013689135182162646,5,5
3,learned_features,host_macro_f1,0.8916306225472486,0.0020247370872947426,5,5
3,learned_features,poison_admission_rate,0.6942653166309796,0.06600542593453523,5,5
3,learned_features_label,clean_withhold_rate,0.18890681376295784,0.053548634343924206,5,5
3,learned_features_label,host_accuracy,0.8993111233865771,0.0023432490835349692,5,5
3,learned_features_label,host_macro_f1,0.8894307280439865,0.002637463275207915,5,5
3,learned_features_label,poison_admission_rate,0.5359566333694852,0.06703005351596,5,5
3,none,clean_withhold_rate,0.20919432381455177,0.061062636554530474,5,5
3,none,host_accuracy,0.9013364630372586,0.003084982989064406,5,5
3,none,host_macro_f1,0.891622145514293,0.0035522172455354013,5,5
3,none,poison_admission_rate,0.7400344770166959,0.07748156518787228,5,5
4,learned_features,clean_withhold_rate,0.2635348998428738,0.07459267113192283,5,5
4,learned_features,host_accuracy,0.8991854694195116,0.003922161398379815,5,5
4,learned_features,host_macro_f1,0.889343322602109,0.004306859612414107,5,5
4,learned_features,poison_admission_rate,0.6829131510999216,0.0786207689687061,5,5
4,learned_features_label,clean_withhold_rate,0.20532025833759637,0.048631295774432114,5,5
4,learned_features_label,host_accuracy,0.8986160324892396,0.003953836952363132,5,5
4,learned_features_label,host_macro_f1,0.888630007801978,0.0045325639657483666,5,5
4,learned_features_label,poison_admission_rate,0.47353607798286196,0.023422101829073633,5,5
4,none,clean_withhold_rate,0.22892530769465286,0.10349159535519711,5,5
4,none,host_accuracy,0.8979147767139605,0.004965745697212316,5,5
4,none,host_macro_f1,0.8871017402777547,0.005329940971352835,5,5
4,none,poison_admission_rate,0.7115824787909663,0.10088011224833182,5,5
5,learned_features,clean_withhold_rate,0.22759947085423637,0.0421437633142001,5,5
5,learned_features,host_accuracy,0.9005418241384098,0.004849277129532436,5,5
5,learned_features,host_macro_f1,0.890926314479894,0.005333312655172245,5,5
5,learned_features,poison_admission_rate,0.7354022379276266,0.05534581197434616,5,5
5,learned_features_label,clean_withhold_rate,0.1820697524842465,0.03659470132663091,5,5
5,learned_features_label,host_accuracy,0.8992454984824014,0.002325727654322017,5,5
5,learned_features_label,host_macro_f1,0.8897503471279968,0.0023876944510105255,5,5
5,learned_features_label,poison_admission_rate,0.7645508448125131,0.03746386116826116,5,5
5,none,clean_withhold_rate,0.16049379605522338,0.09242440921196135,5,5
5,none,host_accuracy,0.9012696775339311,0.004571571119642401,5,5
5,none,host_macro_f1,0.8915977228248593,0.00510755421737574,5,5
5,none,poison_admission_rate,0.8027813081217374,0.07039647331283214,5,5
6,learned_features,clean_withhold_rate,0.20903187466350204,0.031642420718148614,5,5
6,learned_features,host_accuracy,0.8978794759445708,0.003679503110614526,5,5
6,learned_features,host_macro_f1,0.8881437675222552,0.004627536673553807,5,5
6,learned_features,poison_admission_rate,0.7633981469160328,0.04291491246180243,5,5
6,learned_features_label,clean_withhold_rate,0.19569753236169185,0.019563961160065965,5,5
6,learned_features_label,host_accuracy,0.8974702138811956,0.00282004932574085,5,5
6,learned_features_label,host_macro_f1,0.8879978768984534,0.003284066251036695,5,5
6,learned_features_label,poison_admission_rate,0.7791949778079866,0.05686610706956814,5,5
6,none,clean_withhold_rate,0.2287930906287341,0.09023438017355923,5,5
6,none,host_accuracy,0.8998910963787484,0.0036944565383614137,5,5
6,none,host_macro_f1,0.8903935184412741,0.004255106242964409,5,5
6,none,poison_admission_rate,0.7644516482481698,0.12613191396799361,5,5
