category,series,metric,mean,sd,runs,defined
0,learned_features,clean_withhold_rate,0.25466761819803746,0.09273993137868597,5,5
0,learned_features,host_accuracy,0.905521498661909,0.004580278036425084,5,5
0,learned_features,host_macro_f1,0.896377746438964,0.004883579638532315,5,5
0,learned_features,poison_admission_rate,,,5,0
0,learned_features_label,clean_withhold_rate,0.16982408563782334,0.033430557508407545,5,5
0,learned_features_label,host_accuracy,0.9001127564674398,0.0012171751089313468,5,5
0,learned_features_label,host_macro_f1,0.8902748316119352,0.0014527048051392634,5,5
0,learned_features_label,poison_admission_rate,,,5,0
0,none,clean_withhold_rate,0.19999999999999998,0.09467281385606063,5,5
0,none,host_accuracy,0.9093773416592328,0.0016675379421414688,5,5
0,none,host_macro_f1,0.9009210716624827,0.0022236347288060562,5,5
0,none,poison_admission_rate,,,5,0
1,learned_features,clean_withhold_rate,0.38676977265994256,0.08247621483904367,5,5
1,learned_features,host_accuracy,0.9104934879571811,0.0025418218098476808,5,5
1,learned_features,host_macro_f1,0.9021837677156832,0.0027469059567335917,5,5
1,learned_features,poison_admission_rate,0.6138503229234085,0.08239576916040776,5,5
1,learned_features_label,clean_withhold_rate,0.1543142843069869,0.025608045373984742,5,5
1,learned_features_label,host_accuracy,0.8989223907225691,0.0017081841288263573,5,5
1,learned_features_label,host_macro_f1,0.8891839297708813,0.0017297147112038211,5,5
1,learned_features_label,poison_admission_rate,0.20309529815979538,0.006167977179302827,5,5
1,none,clean_withhold_rate,0.34944354162957453,0.09462912196093663,5,5
1,none,host_accuracy,0.9111757359500446,0.004425890439713142,5,5
1,none,host_macro_f1,0.9030504728660856,0.004495877909030419,5,5
1,none,poison_admission_rate,0.6524676947606303,0.09099553589628485,5,5
2,learned_features,clean_withhold_rate,0.4761132819501988,0.07579770681302281,5,5
2,learned_features,host_accuracy,0.9043339875111508,0.003372175820469143,5,5
2,learned_features,host_macro_f1,0.8957336121989339,0.0038860917022184,5,5
2,learned_features,poison_admission_rate,0.5258402535970823,0.07681170234807039,5,5
2,learned_features_label,clean_withhold_rate,0.2227462865252595,0.06677514471870773,5,5
