category,series,metric,mean,sd,runs,defined
0,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
0,confirmed_False,poison_admission_rate,,,5,0
0,confirmed_False,resets_per_100k,1.0,0.9128709291752769,5,5
0,confirmed_False,training_visits_per_100k,96900.0,1734.454765433028,5,5
0,confirmed_True,clean_withhold_rate,0.19999999999999998,0.09467281385606063,5,5
0,confirmed_True,poison_admission_rate,,,5,0
0,confirmed_True,resets_per_100k,1.0,0.9128709291752769,5,5
0,confirmed_True,training_visits_per_100k,96900.0,1734.4547654330272,5,5
0,immediate_False,clean_withhold_rate,0.0,0.0,5,5
0,immediate_False,poison_admission_rate,,,5,0
0,immediate_False,resets_per_100k,1.3333333333333335,0.7453559924999299,5,5
0,immediate_False,training_visits_per_100k,95000.0,0.0,5,5
0,immediate_True,clean_withhold_rate,0.17288135593220338,0.09542839498480846,5,5
0,immediate_True,poison_admission_rate,,,5,0
0,immediate_True,resets_per_100k,0.33333333333333337,0.7453559924999299,5,5
0,immediate_True,training_visits_per_100k,95000.0,0.0,5,5
0,none_False,clean_withhold_rate,0.0,0.0,5,5
0,none_False,poison_admission_rate,,,5,0
0,none_False,resets_per_100k,0.0,0.0,5,5
0,none_False,training_visits_per_100k,95000.0,0.0,5,5
0,none_True,clean_withhold_rate,0.1694915254237288,0.10516672581348185,5,5
0,none_True,poison_admission_rate,,,5,0
0,none_True,resets_per_100k,0.0,0.0,5,5
0,none_True,training_visits_per_100k,95000.0,0.0,5,5
1,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
1,confirmed_False,poison_admission_rate,1.0,0.0,5,5
1,confirmed_False,resets_per_100k,2.3333333333333335,0.9128709291752769,5,5
1,confirmed_False,training_visits_per_100k,99433.33333333334,1734.4547654330308,5,5
1,confirmed_True,clean_withhold_rate,0.34944354162957453,0.09462912196093663,5,5
1,confirmed_True,poison_admission_rate,0.6524676947606303,0.09099553589628485,5,5
1,confirmed_True,resets_per_100k,2.0,0.7453559924999299,5,5
1,confirmed_True,training_visits_per_100k,100066.66666666667,2832.352771499735,5,5
1,immediate_False,clean_withhold_rate,0.0,0.0,5,5
1,immediate_False,poison_admission_rate,1.0,0.0,5,5
1,immediate_False,resets_per_100k,13.0,2.7386127875258297,5,5
1,immediate_False,training_visits_per_100k,95000.0,0.0,5,5
1,immediate_True,clean_withhold_rate,0.45166716313155153,0.07647631195867303,5,5
1,immediate_True,poison_admission_rate,0.5537113526219163,0.07579736737443712,5,5
1,immediate_True,resets_per_100k,8.333333333333334,1.1785113019775793,5,5
1,immediate_True,training_visits_per_100k,95000.0,0.0,5,5
1,none_False,clean_withhold_rate,0.0,0.0,5,5
1,none_False,poison_admission_rate,1.0,0.0,5,5
1,none_False,resets_per_100k,0.0,0.0,5,5
1,none_False,training_visits_per_100k,95000.0,0.0,5,5
1,none_True,clean_withhold_rate,0.22758201989786989,0.10627577832260536,5,5
1,none_True,poison_admission_rate,0.7754607376227233,0.10617153870965738,5,5
1,none_True,resets_per_100k,0.0,0.0,5,5
1,none_True,training_visits_per_100k,95000.0,0.0,5,5
2,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
2,confirmed_False,poison_admission_rate,1.0,0.0,5,5
2,confirmed_False,resets_per_100k,1.6666666666666667,0.0,5,5
2,confirmed_False,training_visits_per_100k,98166.66666666667,0.0,5,5
2,confirmed_True,clean_withhold_rate,0.4440203589693056,0.1430544303904717,5,5
2,confirmed_True,poison_admission_rate,0.5557901991164107,0.14693886647290363,5,5
2,confirmed_True,resets_per_100k,3.3333333333333335,1.1785113019775793,5,5
2,confirmed_True,training_visits_per_100k,101333.33333333334,2239.171473757401,5,5
2,immediate_False,clean_withhold_rate,0.0,0.0,5,5
2,immediate_False,poison_admission_rate,1.0,0.0,5,5
2,immediate_False,resets_per_100k,34.0,3.456073558887956,5,5
2,immediate_False,training_visits_per_100k,95000.0,0.0,5,5
2,immediate_True,clean_withhold_rate,0.4549170281352442,0.0869375599109454,5,5
2,immediate_True,poison_admission_rate,0.5477548641442226,0.08629747369195763,5,5
2,immediate_True,resets_per_100k,15.333333333333332,2.472066162365221,5,5
2,immediate_True,training_visits_per_100k,95000.0,0.0,5,5
2,none_False,clean_withhold_rate,0.0,0.0,5,5
2,none_False,poison_admission_rate,1.0,0.0,5,5
2,none_False,resets_per_100k,0.0,0.0,5,5
2,none_False,training_visits_per_100k,95000.0,0.0,5,5
2,none_True,clean_withhold_rate,0.2742252766595551,0.08812745611251259,5,5
2,none_True,poison_admission_rate,0.7243886324509367,0.0925922039004721,5,5
2,none_True,resets_per_100k,0.0,0.0,5,5
2,none_True,training_visits_per_100k,95000.0,0.0,5,5
3,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
3,confirmed_False,poison_admission_rate,1.0,0.0,5,5
3,confirmed_False,resets_per_100k,5.333333333333334,1.3944333775567928,5,5
3,confirmed_False,training_visits_per_100k,105133.33333333334,2649.4234173579066,5,5
3,confirmed_True,clean_withhold_rate,0.25715659285765546,0.05613026863497045,5,5
3,confirmed_True,poison_admission_rate,0.6953512468696917,0.05889440066392226,5,5
3,confirmed_True,resets_per_100k,4.333333333333334,1.90029237516523,5,5
3,confirmed_True,training_visits_per_100k,108300.0,4128.828189961674,5,5
3,immediate_False,clean_withhold_rate,0.0,0.0,5,5
3,immediate_False,poison_admission_rate,1.0,0.0,5,5
3,immediate_False,resets_per_100k,41.33333333333333,2.7386127875258297,5,5
3,immediate_False,training_visits_per_100k,95000.0,0.0,5,5
3,immediate_True,clean_withhold_rate,0.517119933870189,0.058068516645261664,5,5
3,immediate_True,poison_admission_rate,0.25105170774735514,0.037330448457543026,5,5
3,immediate_True,resets_per_100k,9.0,3.248931448269655,5,5
3,immediate_True,training_visits_per_100k,95000.0,0.0,5,5
3,none_False,clean_withhold_rate,0.0,0.0,5,5
3,none_False,poison_admission_rate,1.0,0.0,5,5
3,none_False,resets_per_100k,0.0,0.0,5,5
3,none_False,training_visits_per_100k,95000.0,0.0,5,5
3,none_True,clean_withhold_rate,0.20919432381455177,0.061062636554530474,5,5
3,none_True,poison_admission_rate,0.7400344770166959,0.07748156518787228,5,5
3,none_True,resets_per_100k,0.0,0.0,5,5
3,none_True,training_visits_per_100k,95000.0,0.0,5,5
4,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
4,confirmed_False,poison_admission_rate,1.0,0.0,5,5
4,confirmed_False,resets_per_100k,7.333333333333334,0.912870929175277,5,5
4,confirmed_False,training_visits_per_100k,108933.33333333334,1734.4547654330308,5,5
4,confirmed_True,clean_withhold_rate,0.34732043967620585,0.10098848511532509,5,5
4,confirmed_True,poison_admission_rate,0.5655561197170769,0.06149505848148405,5,5
4,confirmed_True,resets_per_100k,2.666666666666667,2.5276251480171834,5,5
4,confirmed_True,training_visits_per_100k,112100.0,2832.3527714997244,5,5
4,immediate_False,clean_withhold_rate,0.0,0.0,5,5
4,immediate_False,poison_admission_rate,1.0,0.0,5,5
4,immediate_False,resets_per_100k,65.66666666666666,5.348935511960409,5,5
4,immediate_False,training_visits_per_100k,95000.0,0.0,5,5
4,immediate_True,clean_withhold_rate,0.5669119048183693,0.10078411867365918,5,5
4,immediate_True,poison_admission_rate,0.22313995864925876,0.09014122334563336,5,5
4,immediate_True,resets_per_100k,12.333333333333334,4.801620096962645,5,5
4,immediate_True,training_visits_per_100k,95000.0,0.0,5,5
4,none_False,clean_withhold_rate,0.0,0.0,5,5
4,none_False,poison_admission_rate,1.0,0.0,5,5
4,none_False,resets_per_100k,0.0,0.0,5,5
4,none_False,training_visits_per_100k,95000.0,0.0,5,5
4,none_True,clean_withhold_rate,0.22924604299229046,0.102956446950911,5,5
4,none_True,poison_admission_rate,0.7125214459271165,0.10191331501815552,5,5
4,none_True,resets_per_100k,0.0,0.0,5,5
4,none_True,training_visits_per_100k,95000.0,0.0,5,5
5,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
5,confirmed_False,poison_admission_rate,1.0,0.0,5,5
5,confirmed_False,resets_per_100k,0.6666666666666667,0.9128709291752769,5,5
5,confirmed_False,training_visits_per_100k,96266.66666666667,1734.454765433027,5,5
5,confirmed_True,clean_withhold_rate,0.19565904244189639,0.07669408212218767,5,5
5,confirmed_True,poison_admission_rate,0.7537537400835446,0.08948536296846545,5,5
5,confirmed_True,resets_per_100k,0.6666666666666667,0.9128709291752769,5,5
5,confirmed_True,training_visits_per_100k,96266.66666666667,1734.454765433027,5,5
5,immediate_False,clean_withhold_rate,0.0,0.0,5,5
5,immediate_False,poison_admission_rate,1.0,0.0,5,5
5,immediate_False,resets_per_100k,1.3333333333333335,1.3944333775567928,5,5
5,immediate_False,training_visits_per_100k,95000.0,0.0,5,5
5,immediate_True,clean_withhold_rate,0.18877237041523331,0.09547809046410573,5,5
5,immediate_True,poison_admission_rate,0.7598231529294084,0.08838483733740743,5,5
5,immediate_True,resets_per_100k,0.33333333333333337,0.7453559924999299,5,5
5,immediate_True,training_visits_per_100k,95000.0,0.0,5,5
5,none_False,clean_withhold_rate,0.0,0.0,5,5
5,none_False,poison_admission_rate,1.0,0.0,5,5
5,none_False,resets_per_100k,0.0,0.0,5,5
5,none_False,training_visits_per_100k,95000.0,0.0,5,5
5,none_True,clean_withhold_rate,0.17273276540517285,0.07973258938509924,5,5
5,none_True,poison_admission_rate,0.7818826420791445,0.03611708170979894,5,5
5,none_True,resets_per_100k,0.0,0.0,5,5
5,none_True,training_visits_per_100k,95000.0,0.0,5,5
6,confirmed_False,clean_withhold_rate,0.0,0.0,5,5
6,confirmed_False,poison_admission_rate,1.0,0.0,5,5
6,confirmed_False,resets_per_100k,0.33333333333333337,0.74535599249993,5,5
6,confirmed_False,training_visits_per_100k,95633.33333333334,1416.1763857498706,5,5
