category,series,metric,mean,sd,runs,defined
0,learned_features,clean_withhold_rate,0.21801605709188224,0.07675943418602567,5,5
0,learned_features,host_accuracy,0.8992613737734165,0.0035723295061319393,5,5
0,learned_features,host_macro_f1,0.8887761915905579,0.0038577911958967486,5,5
0,learned_features,poison_admission_rate,,,5,0
0,learned_features_label,clean_withhold_rate,0.16982408563782334,0.033430557508407545,5,5
0,learned_features_label,host_accuracy,0.9001127564674398,0.0012171751089313468,5,5
0,learned_features_label,host_macro_f1,0.8902748316119352,0.0014527048051392634,5,5
0,learned_features_label,poison_admission_rate,,,5,0
0,none,clean_withhold_rate,0.1694915254237288,0.10516672581348185,5,5
0,none,host_accuracy,0.9022479928635146,0.006987096084801581,5,5
0,none,host_macro_f1,0.8924145599514667,0.007720231239593029,5,5
0,none,poison_admission_rate,,,5,0
1,learned_features,clean_withhold_rate,0.2708073065499116,0.0789646475904639,5,5
1,learned_features,host_accuracy,0.9013773416592328,0.004454919141036127,5,5
1,learned_features,host_macro_f1,0.8911104728519043,0.0051426783288775245,5,5
1,learned_features,poison_admission_rate,0.7297989710704689,0.0793765089214423,5,5
1,learned_features_label,clean_withhold_rate,0.15109885563930964,0.02293288418951228,5,5
1,learned_features_label,host_accuracy,0.8988303300624443,0.0015516366804652327,5,5
1,learned_features_label,host_macro_f1,0.8890727036152704,0.001543000011824828,5,5
1,learned_features_label,poison_admission_rate,0.20390427641558215,0.006190223832149917,5,5
1,none,clean_withhold_rate,0.22758201989786989,0.10627577832260536,5,5
1,none,host_accuracy,0.899907225691347,0.004895201059059632,5,5
1,none,host_macro_f1,0.8896951450737836,0.005642919361619988,5,5
1,none,poison_admission_rate,0.7754607376227233,0.10617153870965738,5,5
2,learned_features,clean_withhold_rate,0.2984671039531428,0.039724523235534284,5,5
2,learned_features,host_accuracy,0.894642640499554,0.003753940157753403,5,5
2,learned_features,host_macro_f1,0.883541858943353,0.004376921590061479,5,5
2,learned_features,poison_admission_rate,0.7017940502977683,0.04053308960715054,5,5
2,learned_features_label,clean_withhold_rate,0.2227462865252595,0.06677514471870773,5,5
2,learned_features_label,host_accuracy,0.8967165031222123,0.001832231618583597,5,5
2,learned_features_label,host_macro_f1,0.8867800284272331,0.002293236710765194,5,5
2,learned_features_label,poison_admission_rate,0.18681396217373009,0.01655443678349625,5,5
2,none,clean_withhold_rate,0.2742252766595551,0.08812745611251259,5,5
2,none,host_accuracy,0.8937270294380018,0.003826755161263188,5,5
2,none,host_macro_f1,0.8826716954178158,0.00396663898050315,5,5
2,none,poison_admission_rate,0.7243886324509367,0.0925922039004721,5,5
3,learned_features,clean_withhold_rate,0.25337733461976236,0.03611586865576985,5,5
3,learned_features,host_accuracy,0.9013222010582351,0.0016415049580907964,5,5
3,learned_features,host_macro_f1,0.8913702163053886,0.0024161667708617945,5,5
3,learned_features,poison_admission_rate,0.6962756710708785,0.06980329928457654,5,5
3,learned_features_label,clean_withhold_rate,0.17851446143013164,0.06946966787438082,5,5
3,learned_features_label,host_accuracy,0.8979742082275097,0.003943639603435144,5,5
3,learned_features_label,host_macro_f1,0.8879625509314822,0.0040192257842240516,5,5
3,learned_features_label,poison_admission_rate,0.5385787262294147,0.07289123284323655,5,5
3,none,clean_withhold_rate,0.20919432381455177,0.061062636554530474,5,5
3,none,host_accuracy,0.9013364630372586,0.003084982989064406,5,5
3,none,host_macro_f1,0.891622145514293,0.0035522172455354013,5,5
3,none,poison_admission_rate,0.7400344770166959,0.07748156518787228,5,5
4,learned_features,clean_withhold_rate,0.2390240433644421,0.0807480258922602,5,5
4,learned_features,host_accuracy,0.8975341022464981,0.003247411104681981,5,5
4,learned_features,host_macro_f1,0.8872106941483885,0.0035952218030093483,5,5
4,learned_features,poison_admission_rate,0.7101098574034631,0.08498384503938429,5,5
4,learned_features_label,clean_withhold_rate,0.19114259591698143,0.05133903449843699,5,5
4,learned_features_label,host_accuracy,0.8963875101169716,0.004184265026620554,5,5
4,learned_features_label,host_macro_f1,0.8859311644998911,0.004849998617888802,5,5
4,learned_features_label,poison_admission_rate,0.48045800568784236,0.025058797612152867,5,5
4,none,clean_withhold_rate,0.22924604299229046,0.102956446950911,5,5
4,none,host_accuracy,0.897756802612139,0.005149089819630665,5,5
4,none,host_macro_f1,0.8869063718867525,0.0055519406336918655,5,5
4,none,poison_admission_rate,0.7125214459271165,0.10191331501815552,5,5
