stream,detector,arm,mode,level,feedback_fraction,delay_blocks,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,resets,training_visits,seconds,malicious_recall,benign_fpr
RBF_I,adwin,confirmed,clean,none,0.01,1,0.5620009339637574,0.5666369313113291,,0.12542372881355932,1.6,62320.0,2.790850183198927,,
RBF_I,adwin,confirmed,clean,none,0.01,5,0.5490398542511918,0.5531454058876004,,0.2305084745762712,1.6,62700.0,2.75497200859827,,
RBF_I,adwin,confirmed,clean,none,0.02,1,0.5623972587218856,0.5664585191793041,,0.17288135593220338,1.4,62320.0,2.780803091591224,,
RBF_I,adwin,confirmed,clean,none,0.02,5,0.5374370725610436,0.5429652096342551,,0.2305084745762712,1.6,62320.0,2.7038098499993795,,
RBF_I,adwin,confirmed,clean,none,0.05,1,0.5511293248218289,0.556421052631579,,0.2305084745762712,2.0,63840.0,2.7991025749972325,,
RBF_I,adwin,confirmed,clean,none,0.05,5,0.529676529085789,0.5339090098126673,,0.32542372881355935,0.6,63080.0,2.855431941401912,,
RBF_I,adwin,confirmed,concept,moderate,0.01,1,0.5461413395972127,0.5498701698986361,0.8358737574115732,0.12247735408019138,2.2,64980.0,2.6767551917931995,,
RBF_I,adwin,confirmed,concept,moderate,0.01,5,0.5307472588325086,0.5344960109880114,0.7098304627154908,0.219772101935793,2.4,66880.0,2.7356994834030046,,
RBF_I,adwin,confirmed,concept,moderate,0.02,1,0.5407879866783928,0.5456217983220617,0.8177338844932281,0.11519535738181783,3.2,66120.0,2.6958453999948686,,
RBF_I,adwin,confirmed,concept,moderate,0.02,5,0.5284586740913297,0.532897021568105,0.6673873572405123,0.28414010169834264,2.4,65740.0,2.6837728832033463,,
RBF_I,adwin,confirmed,concept,moderate,0.05,1,0.548188346714656,0.5519531842722034,0.5748339522579936,0.31947449200392397,1.2,66120.0,2.900513174603111,,
RBF_I,adwin,confirmed,concept,moderate,0.05,5,0.5137894456583546,0.5185307953141933,0.48938941007354086,0.42808778463509756,1.2,65740.0,2.765806466602953,,
RBF_I,adwin,confirmed,concept,severe,0.01,1,0.5218189642809444,0.5276137988162077,0.7402120343680225,0.15691645995597722,2.6,66880.0,2.6898559413966723,,
RBF_I,adwin,confirmed,concept,severe,0.01,5,0.5367858023453923,0.5404976016905539,0.6308883874865037,0.20151404981077384,2.0,66120.0,2.6842793495976367,,
RBF_I,adwin,confirmed,concept,severe,0.02,1,0.5345550615871512,0.5395110221013275,0.7210790098939321,0.15948881299862397,2.4,65740.0,2.6587597082019783,,
RBF_I,adwin,confirmed,concept,severe,0.02,5,0.5180654478772333,0.5217742967715921,0.6281280706944827,0.2505681124249201,2.4,68020.0,2.7053064250038004,,
RBF_I,adwin,confirmed,concept,severe,0.05,1,0.5223312166426346,0.5272902876850051,0.6437881599797924,0.2013072925458368,2.4,66120.0,2.8347807918005854,,
RBF_I,adwin,confirmed,concept,severe,0.05,5,0.49464417532290017,0.49921322589817657,0.5397532147990909,0.4158240344891966,2.0,68020.0,2.7271050833980555,,
RBF_I,adwin,confirmed,instance,moderate,0.01,1,0.5498102046167899,0.5549081177520072,0.8450504543504985,0.15610912327052512,0.8,60420.0,2.6554138916020746,,
RBF_I,adwin,confirmed,instance,moderate,0.01,5,0.5465890704841521,0.5510686886708296,0.7868861015151453,0.2136401327152618,0.8,61180.0,2.647952333395369,,
RBF_I,adwin,confirmed,instance,moderate,0.02,1,0.5380069794655229,0.5429402319357716,0.7873257818634501,0.2137190237866045,1.6,61940.0,2.6379212414030917,,
RBF_I,adwin,confirmed,instance,moderate,0.02,5,0.5272534979516281,0.5318751115075825,0.7095624439778366,0.2917210820205445,1.0,62320.0,2.6396054084121716,,
RBF_I,adwin,confirmed,instance,moderate,0.05,1,0.5474932663082356,0.5528028545941124,0.745144277764928,0.2541266308192699,1.0,61560.0,2.8234338748065055,,
RBF_I,adwin,confirmed,instance,moderate,0.05,5,0.5368268928069148,0.5411168599464763,0.6720562003664383,0.3249697156970547,0.6,61180.0,2.725255174993072,,
RBF_I,adwin,confirmed,instance,severe,0.01,1,0.5349084863662341,0.5406351471900089,0.8225566286209409,0.17587153158159324,1.4,61180.0,2.6735676914046054,,
RBF_I,adwin,confirmed,instance,severe,0.01,5,0.5278493431186587,0.532963425512935,0.7672047615426857,0.23427315359334072,0.6,59280.0,2.7062615834001917,,
RBF_I,adwin,confirmed,instance,severe,0.02,1,0.5267288400593406,0.532028545941124,0.8163804668300134,0.18285693542109654,1.6,60420.0,2.681096933601657,,
RBF_I,adwin,confirmed,instance,severe,0.02,5,0.5235944354201465,0.5291775200713649,0.6912490271966478,0.3038331440300877,1.2,60420.0,2.6573440499952996,,
RBF_I,adwin,confirmed,instance,severe,0.05,1,0.516386470511775,0.5231079393398751,0.7321713474950894,0.2677851099933556,1.4,61180.0,2.7671186082006898,,
RBF_I,adwin,confirmed,instance,severe,0.05,5,0.5144277416592445,0.5210240856378234,0.6264816996820486,0.37266307947073884,0.8,61940.0,2.789223532797769,,
RBF_I,adwin,confirmed,splice,moderate,0.01,1,0.5372812554732412,0.5428827211673193,0.9098728648176291,0.1317696367356947,2.4,63080.0,2.6187308086024133,,
RBF_I,adwin,confirmed,splice,moderate,0.01,5,0.5490666370315243,0.5521945767901105,0.6618247800102746,0.1991646983674432,2.0,63080.0,2.6148401413985995,,
RBF_I,adwin,confirmed,splice,moderate,0.02,1,0.545961227416544,0.5503810136481897,0.7833520971827255,0.2130062541331625,2.2,63840.0,2.685850666795159,,
RBF_I,adwin,confirmed,splice,moderate,0.02,5,0.5395400423271796,0.5429634720948737,0.6625697967712583,0.30327033633682976,1.4,64600.0,2.678517508407822,,
RBF_I,adwin,confirmed,splice,moderate,0.05,1,0.5394855472285597,0.5439443198597946,0.7349913827019764,0.2323043407835767,2.0,63840.0,2.7836488750006536,,
RBF_I,adwin,confirmed,splice,moderate,0.05,5,0.5209869075361107,0.5263015134922137,0.5727887358533632,0.4071025297093335,0.6,63080.0,2.7106511582038366,,
RBF_I,adwin,confirmed,splice,severe,0.01,1,0.5327694769909693,0.5382065737609343,0.7810339081640068,0.1435256459769784,2.0,65740.0,2.6439206663984804,,
RBF_I,adwin,confirmed,splice,severe,0.01,5,0.529703663275426,0.5345193150596487,0.6567840571781705,0.1739418817128928,1.6,63460.0,2.6520403417991476,,
RBF_I,adwin,confirmed,splice,severe,0.02,1,0.535411612511483,0.5399150550281618,0.6845133768642782,0.23789778936847833,1.8,65360.0,2.7188414336065763,,
RBF_I,adwin,confirmed,splice,severe,0.02,5,0.5116747099722632,0.5191529520209359,0.5418492860114476,0.2347494456513096,1.4,64220.0,2.6890265252033716,,
RBF_I,adwin,confirmed,splice,severe,0.05,1,0.5313637872781491,0.5371321063829482,0.500654380222165,0.27525013143108573,2.0,65740.0,2.802387325206655,,
RBF_I,adwin,confirmed,splice,severe,0.05,5,0.5147917091075661,0.5198291517509168,0.5049306042125802,0.4039589286668934,1.0,66500.0,2.770288550207624,,
RBF_I,adwin,error_rule,clean,none,0.01,1,0.5521341238987987,0.5564674397859054,,0.20677966101694914,12.2,57000.0,2.4285944667994044,,
RBF_I,adwin,error_rule,clean,none,0.01,5,0.5460064799390327,0.5503336306868867,,0.2745762711864407,9.4,57000.0,2.4539207917929162,,
RBF_I,adwin,error_rule,clean,none,0.02,1,0.5510696975839341,0.5556396074933095,,0.2779661016949152,11.8,57000.0,2.451398991595488,,
RBF_I,adwin,error_rule,clean,none,0.02,5,0.5442442406697373,0.548485280999108,,0.34576271186440677,10.0,57000.0,2.44921109979623,,
RBF_I,adwin,error_rule,clean,none,0.05,1,0.5513469926529522,0.5557966101694916,,0.3694915254237288,8.2,57000.0,2.514986700002919,,
RBF_I,adwin,error_rule,clean,none,0.05,5,0.5346088901638193,0.5389830508474576,,0.4915254237288136,6.2,57000.0,2.5058883583929856,,
RBF_I,adwin,error_rule,concept,moderate,0.01,1,0.5338095847539823,0.5387627975153022,0.6434873171627709,0.2438359777552183,11.6,57000.0,2.355101991596166,,
RBF_I,adwin,error_rule,concept,moderate,0.01,5,0.5287713395801102,0.5338952988732417,0.5510101769236009,0.2791943376595582,10.2,57000.0,2.3509874836017843,,
RBF_I,adwin,error_rule,concept,moderate,0.02,1,0.5340783961944514,0.539175278093785,0.5491760903787913,0.3068520788540181,10.6,57000.0,2.3626946419943122,,
RBF_I,adwin,error_rule,concept,moderate,0.02,5,0.5303023526647194,0.5358109240157456,0.43069137812760017,0.38952609908820407,8.2,57000.0,2.383105516608339,,
RBF_I,adwin,error_rule,concept,moderate,0.05,1,0.5328775796579001,0.5381229900515578,0.4178051551823544,0.4232075313660326,7.8,57000.0,2.500085166801,,
RBF_I,adwin,error_rule,concept,moderate,0.05,5,0.518082579408305,0.523166616579923,0.36270622580843337,0.5212651529783466,6.2,57000.0,2.3973695166001563,,
RBF_I,adwin,error_rule,concept,severe,0.01,1,0.516047462408792,0.5219546266517888,0.5746017885243816,0.24595566869839908,12.4,57000.0,2.357897149794735,,
RBF_I,adwin,error_rule,concept,severe,0.01,5,0.5083323248950787,0.5141588467210341,0.5323426052678516,0.28610307342758673,12.4,57000.0,2.3399524833948817,,
RBF_I,adwin,error_rule,concept,severe,0.02,1,0.5129885003180521,0.5195208537791711,0.519827762737555,0.3045188500869469,9.6,57000.0,2.363592683605384,,
RBF_I,adwin,error_rule,concept,severe,0.02,5,0.5036473561552555,0.5095334745329241,0.3829482212393652,0.38524268963197,7.6,57000.0,2.360235574800754,,
RBF_I,adwin,error_rule,concept,severe,0.05,1,0.5198700664515788,0.5260375186848557,0.38357752898517916,0.3990063725746723,7.2,57000.0,2.5095860917965185,,
RBF_I,adwin,error_rule,concept,severe,0.05,5,0.508676639479656,0.5134578785890628,0.20755914178083926,0.5163060766777167,4.6,57000.0,2.4068612915987613,,
RBF_I,adwin,error_rule,instance,moderate,0.01,1,0.5369767474884602,0.5411347011596789,0.8188955788897164,0.17940167796215034,10.4,57000.0,2.3595525081967934,,
RBF_I,adwin,error_rule,instance,moderate,0.01,5,0.5338494789156937,0.5390401427297056,0.7274081736895617,0.27093412247545096,9.4,57000.0,2.3502580586005934,,
RBF_I,adwin,error_rule,instance,moderate,0.02,1,0.5347860785284745,0.5397252453166815,0.7325547691358409,0.2638604253739508,7.0,57000.0,2.376715425401926,,
RBF_I,adwin,error_rule,instance,moderate,0.02,5,0.5353677286946623,0.5405102586975914,0.6467728987668929,0.35242013721622545,8.8,57000.0,2.3655770334007684,,
RBF_I,adwin,error_rule,instance,moderate,0.05,1,0.5368569429361287,0.5419375557537912,0.6884097254964087,0.311915651730588,8.8,57000.0,2.509327983204275,,
