epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon,variant
0,SEA_A__s112__clean__none,7,adwin,SEA_A,53.86,57000,5,2,0.1,alarm
0,SEA_A__s112__splice__moderate,7,adwin,SEA_A,54.18,57000,2,2,0.1,alarm
0,SEA_A__s112__splice__severe,7,adwin,SEA_A,53.72,57000,1,2,0.1,alarm
0,SEA_A__s112__instance__severe,7,adwin,SEA_A,53.74,57000,3,2,0.1,alarm
0,SEA_A__s112__concept__severe,7,adwin,SEA_A,53.6,57000,0,2,0.1,alarm
0,SEA_A__s112__instance__moderate,7,adwin,SEA_A,54.12,57000,2,2,0.1,alarm
0,SEA_A__s112__concept__moderate,7,adwin,SEA_A,53.34,57000,3,2,0.1,alarm
1,SEA_A__s112__splice__severe,7,adwin,SEA_A,53.18,57000,1,2,0.1,alarm
1,SEA_A__s112__instance__severe,7,adwin,SEA_A,53.36,57000,1,2,0.1,alarm
1,SEA_A__s112__clean__none,7,adwin,SEA_A,53.94,57000,2,2,0.1,alarm
1,SEA_A__s112__concept__moderate,7,adwin,SEA_A,52.88,57000,1,2,0.1,alarm
1,SEA_A__s112__concept__severe,7,adwin,SEA_A,53.78,57000,1,2,0.1,alarm
1,SEA_A__s112__instance__moderate,7,adwin,SEA_A,53.88,57000,0,2,0.1,alarm
1,SEA_A__s112__splice__moderate,7,adwin,SEA_A,54.08,57000,3,2,0.1,alarm
2,SEA_A__s112__concept__severe,7,adwin,SEA_A,53.58,57000,2,2,0.1,alarm
2,SEA_A__s112__instance__severe,7,adwin,SEA_A,54.0,57000,3,2,0.1,alarm
2,SEA_A__s112__clean__none,7,adwin,SEA_A,54.3,57000,36,2,0.1,alarm
2,SEA_A__s112__concept__moderate,7,adwin,SEA_A,53.44,57000,1,2,0.1,alarm
2,SEA_A__s112__splice__severe,7,adwin,SEA_A,54.2,57000,27,2,0.1,alarm
2,SEA_A__s112__instance__moderate,7,adwin,SEA_A,53.92,57000,2,2,0.1,alarm
2,SEA_A__s112__splice__moderate,7,adwin,SEA_A,54.16,57000,31,2,0.1,alarm
3,SEA_A__s112__concept__severe,7,adwin,SEA_A,53.94,57000,1,2,0.1,alarm
3,SEA_A__s112__instance__moderate,7,adwin,SEA_A,54.32,57000,1,2,0.1,alarm
3,SEA_A__s112__splice__severe,7,adwin,SEA_A,53.56,57000,2,2,0.1,alarm
3,SEA_A__s112__concept__moderate,7,adwin,SEA_A,53.94,57000,15,2,0.1,alarm
3,SEA_A__s112__clean__none,7,adwin,SEA_A,53.54,57000,1,2,0.1,alarm
3,SEA_A__s112__instance__severe,7,adwin,SEA_A,53.36,57000,3,2,0.1,alarm
3,SEA_A__s112__splice__moderate,7,adwin,SEA_A,54.14,57000,31,2,0.1,alarm
0,SEA_A__s112__instance__moderate,17,adwin,SEA_A,53.78,57000,2,2,0.1,alarm
