experiment,stream,condition,mode,level,detector,left,right,comparison,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,malicious_recall_difference,benign_fpr_difference,resets_per_100k_difference,training_visits_per_100k_difference
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,confirmed_screened,confirmed_unscreened,policy,-0.010658749614114837,-0.011387559808612446,,0.2727272727272727,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,confirmed_screened,immediate_screened,policy,-0.029626943595776167,-0.024880382775119614,,-0.09090909090909094,,,0.0,15833.333333333343
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,confirmed_screened,immediate_unscreened,policy,-0.1400907437884068,-0.13521531100478468,,0.2727272727272727,,,-33.333333333333336,15833.333333333343
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,confirmed_screened,none_screened,policy,0.0,0.0,,-0.09090909090909094,,,8.333333333333334,15833.333333333343
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,confirmed_screened,none_unscreened,policy,-0.010658749614114837,-0.011387559808612446,,0.2727272727272727,,,8.333333333333334,15833.333333333343
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,confirmed_unscreened,immediate_screened,policy,-0.01896819398166133,-0.013492822966507168,,-0.36363636363636365,,,0.0,15833.333333333343
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,confirmed_unscreened,immediate_unscreened,policy,-0.12943199417429196,-0.12382775119617223,,0.0,,,-33.333333333333336,15833.333333333343
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,confirmed_unscreened,none_screened,policy,0.010658749614114837,0.011387559808612446,,-0.36363636363636365,,,8.333333333333334,15833.333333333343
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,confirmed_unscreened,none_unscreened,policy,0.0,0.0,,0.0,,,8.333333333333334,15833.333333333343
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,immediate_screened,immediate_unscreened,policy,-0.11046380019263063,-0.11033492822966506,,0.36363636363636365,,,-33.333333333333336,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,immediate_screened,none_screened,policy,0.029626943595776167,0.024880382775119614,,0.0,,,8.333333333333334,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,immediate_screened,none_unscreened,policy,0.01896819398166133,0.013492822966507168,,0.36363636363636365,,,8.333333333333334,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,immediate_unscreened,none_screened,policy,0.1400907437884068,0.13521531100478468,,-0.36363636363636365,,,41.66666666666667,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,immediate_unscreened,none_unscreened,policy,0.12943199417429196,0.12382775119617223,,0.0,,,41.66666666666667,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,none_screened,none_unscreened,policy,-0.010658749614114837,-0.011387559808612446,,0.36363636363636365,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,d3_oof,confirmed_screened,confirmed_unscreened,policy,-0.010658749614114837,-0.011387559808612446,,0.36363636363636365,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,d3_oof,confirmed_screened,immediate_screened,policy,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,d3_oof,confirmed_screened,immediate_unscreened,policy,-0.010658749614114837,-0.011387559808612446,,0.36363636363636365,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,d3_oof,confirmed_screened,none_screened,policy,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,d3_oof,confirmed_screened,none_unscreened,policy,-0.010658749614114837,-0.011387559808612446,,0.36363636363636365,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,d3_oof,confirmed_unscreened,immediate_screened,policy,0.010658749614114837,0.011387559808612446,,-0.36363636363636365,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,d3_oof,confirmed_unscreened,immediate_unscreened,policy,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,d3_oof,confirmed_unscreened,none_screened,policy,0.010658749614114837,0.011387559808612446,,-0.36363636363636365,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,d3_oof,confirmed_unscreened,none_unscreened,policy,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,d3_oof,immediate_screened,immediate_unscreened,policy,-0.010658749614114837,-0.011387559808612446,,0.36363636363636365,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,d3_oof,immediate_screened,none_screened,policy,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,d3_oof,immediate_screened,none_unscreened,policy,-0.010658749614114837,-0.011387559808612446,,0.36363636363636365,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,d3_oof,immediate_unscreened,none_screened,policy,0.010658749614114837,0.011387559808612446,,-0.36363636363636365,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,d3_oof,immediate_unscreened,none_unscreened,policy,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,d3_oof,none_screened,none_unscreened,policy,-0.010658749614114837,-0.011387559808612446,,0.36363636363636365,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hddm_w,confirmed_screened,confirmed_unscreened,policy,-0.010658749614114837,-0.011387559808612446,,0.36363636363636365,,,0.0,0.0
