category,series,metric,mean,sd,runs,defined
0,alarm,clean_withhold_rate,0.382601691502215,,1,1
0,alarm,host_accuracy,0.6072785852890564,,1,1
0,alarm,host_macro_f1,0.48414737275502834,,1,1
0,alarm,poison_admission_rate,,,1,0
0,alarm_persistence,clean_withhold_rate,0.3362257288958859,,1,1
0,alarm_persistence,host_accuracy,0.5913569850742625,,1,1
0,alarm_persistence,host_macro_f1,0.45918682093810426,,1,1
0,alarm_persistence,poison_admission_rate,,,1,0
0,confirmed,clean_withhold_rate,0.2365174092922784,,1,1
0,confirmed,host_accuracy,0.5942664665177754,,1,1
0,confirmed,host_macro_f1,0.4720138047749764,,1,1
0,confirmed,poison_admission_rate,,,1,0
0,error_rule,clean_withhold_rate,0.382601691502215,,1,1
0,error_rule,host_accuracy,0.5965657379269945,,1,1
0,error_rule,host_macro_f1,0.47079077252134,,1,1
0,error_rule,poison_admission_rate,,,1,0
0,no_reset,clean_withhold_rate,0.1460842822099366,,1,1
0,no_reset,host_accuracy,0.6631420935085857,,1,1
0,no_reset,host_macro_f1,0.4611957613941567,,1,1
0,no_reset,poison_admission_rate,,,1,0
0,selected_map,clean_withhold_rate,0.2921685644198733,,1,1
0,selected_map,host_accuracy,0.6292461465236334,,1,1
0,selected_map,host_macro_f1,0.4891657095695468,,1,1
0,selected_map,poison_admission_rate,,,1,0
1,alarm,clean_withhold_rate,0.3628268834847825,0.0359292504343244,3,3
1,alarm,host_accuracy,0.5766745180357745,0.01667578289967139,3,3
1,alarm,host_macro_f1,0.4629449397665823,0.015137182368279052,3,3
1,alarm,poison_admission_rate,0.6392959889220385,0.03422918866786324,3,3
1,alarm_persistence,clean_withhold_rate,0.30740473532520296,0.027989585733431143,3,3
1,alarm_persistence,host_accuracy,0.5651415483876217,0.015645015564333,3,3
1,alarm_persistence,host_macro_f1,0.4378064211437853,0.009260297163390286,3,3
1,alarm_persistence,poison_admission_rate,0.6962337953849901,0.030437854336728725,3,3
1,confirmed,clean_withhold_rate,0.13480134858792622,0.028008155949031496,3,3
1,confirmed,host_accuracy,0.5839221860164269,0.049466622228833614,3,3
1,confirmed,host_macro_f1,0.4490465774400514,0.05790914302129897,3,3
1,confirmed,poison_admission_rate,0.8672564179885766,0.02870566920809602,3,3
1,error_rule,clean_withhold_rate,0.35521163646006376,0.013948269429663459,3,3
1,error_rule,host_accuracy,0.5743077167160937,0.0050216974415499775,3,3
1,error_rule,host_macro_f1,0.4628538204774297,0.03138786699962764,3,3
1,error_rule,poison_admission_rate,0.6476657497410164,0.014335053603136739,3,3
1,no_reset,clean_withhold_rate,0.13247923235826778,0.01790222858537801,3,3
1,no_reset,host_accuracy,0.6272788293730702,0.009148891722102998,3,3
1,no_reset,host_macro_f1,0.39934326270423814,0.04160018160330854,3,3
1,no_reset,poison_admission_rate,0.8695550952834207,0.0212414262709625,3,3
1,selected_map,clean_withhold_rate,0.25050626791994085,0.012499032349108385,3,3
1,selected_map,host_accuracy,0.5797703169430918,0.028267092580004906,3,3
1,selected_map,host_macro_f1,0.4286079133374694,0.023781184023346422,3,3
1,selected_map,poison_admission_rate,0.7499938988231745,0.00960491831284139,3,3
2,alarm,clean_withhold_rate,0.3524310606869072,0.034521879641546294,3,3
2,alarm,host_accuracy,0.5584162201963249,0.02336095137382945,3,3
2,alarm,host_macro_f1,0.43319127092355886,0.019584869348751168,3,3
2,alarm,poison_admission_rate,0.6474653753734682,0.033715263516919114,3,3
2,alarm_persistence,clean_withhold_rate,0.2697786486424562,0.0182855760286371,3,3
2,alarm_persistence,host_accuracy,0.5441844949698353,0.011872626129694933,3,3
2,alarm_persistence,host_macro_f1,0.39355979161856713,0.035402087532756456,3,3
2,alarm_persistence,poison_admission_rate,0.7303232721149202,0.022359904848459976,3,3
2,confirmed,clean_withhold_rate,0.18088309999406174,0.055541638543437154,3,3
2,confirmed,host_accuracy,0.5609465578051965,0.028775296575917556,3,3
2,confirmed,host_macro_f1,0.402292207660741,0.037011470188821484,3,3
2,confirmed,poison_admission_rate,0.8191817596991223,0.05607629523138303,3,3
2,error_rule,clean_withhold_rate,0.34485283777201964,0.042732604072622915,3,3
2,error_rule,host_accuracy,0.530333540804745,0.01949692255169095,3,3
2,error_rule,host_macro_f1,0.4094817323308361,0.02527351666901248,3,3
2,error_rule,poison_admission_rate,0.6525720407800387,0.04182793875387655,3,3
2,no_reset,clean_withhold_rate,0.12048383062350372,0.035776632094422375,3,3
2,no_reset,host_accuracy,0.5831215904514334,0.01579644510418197,3,3
2,no_reset,host_macro_f1,0.32315135463205696,0.03302503266450124,3,3
2,no_reset,poison_admission_rate,0.8791439279104845,0.03549332865486239,3,3
2,selected_map,clean_withhold_rate,0.2665335831638847,0.03947198837254899,3,3
2,selected_map,host_accuracy,0.5530455582811603,0.012724411232873463,3,3
2,selected_map,host_macro_f1,0.40801767154882357,0.020152203549600047,3,3
2,selected_map,poison_admission_rate,0.732956410731906,0.03981267983466584,3,3
3,alarm,clean_withhold_rate,0.3140805347975801,0.024877358850215463,3,3
3,alarm,host_accuracy,0.6128388250175049,0.023687297695481686,3,3
3,alarm,host_macro_f1,0.4806945445623436,0.010839823952001249,3,3
3,alarm,poison_admission_rate,0.6773313890034434,0.041729453012063766,3,3
3,alarm_persistence,clean_withhold_rate,0.26267928115267797,0.04402103967044566,3,3
3,alarm_persistence,host_accuracy,0.611361048035464,0.00830472475995277,3,3
3,alarm_persistence,host_macro_f1,0.4737411100098609,0.022281042965742404,3,3
3,alarm_persistence,poison_admission_rate,0.7106501985299681,0.057596673840235375,3,3
3,confirmed,clean_withhold_rate,0.13554072497716155,0.035372974341348964,3,3
3,confirmed,host_accuracy,0.6139317056856751,0.016364776170372044,3,3
3,confirmed,host_macro_f1,0.4776558947558103,0.02155877028769699,3,3
3,confirmed,poison_admission_rate,0.8559162015875333,0.05750324981634784,3,3
3,error_rule,clean_withhold_rate,0.34417599276781136,0.014132563847674265,3,3
3,error_rule,host_accuracy,0.6217095038613804,0.004193481399670402,3,3
3,error_rule,host_macro_f1,0.48159460298567297,0.04246732509374022,3,3
3,error_rule,poison_admission_rate,0.6159067285333073,0.0480200965734586,3,3
3,no_reset,clean_withhold_rate,0.09397101913153254,0.03938914431481938,3,3
3,no_reset,host_accuracy,0.662123788159049,0.012634661551687347,3,3
3,no_reset,host_macro_f1,0.4890605770202295,0.022399610126275907,3,3
3,no_reset,poison_admission_rate,0.8676283518335967,0.07324200324388144,3,3
3,selected_map,clean_withhold_rate,0.16456918406187093,0.029650138693962512,3,3
3,selected_map,host_accuracy,0.6553821694098204,0.005611804935580151,3,3
3,selected_map,host_macro_f1,0.48432325204417004,0.03844031835107657,3,3
3,selected_map,poison_admission_rate,0.8194435477530265,0.05209485211672288,3,3
4,alarm,clean_withhold_rate,0.2966262733185008,0.013098118671528767,3,3
4,alarm,host_accuracy,0.6114670362873961,0.019499218503702415,3,3
4,alarm,host_macro_f1,0.4636891674881824,0.034840595244420486,3,3
4,alarm,poison_admission_rate,0.7242840507039362,0.035629632864101986,3,3
4,alarm_persistence,clean_withhold_rate,0.24499660950017202,0.03480993043945841,3,3
4,alarm_persistence,host_accuracy,0.6188549350158651,0.03787250271789108,3,3
4,alarm_persistence,host_macro_f1,0.4566736689300199,0.05162571943695471,3,3
4,alarm_persistence,poison_admission_rate,0.7641932156505975,0.015137709920671254,3,3
4,confirmed,clean_withhold_rate,0.14504396978969644,0.03683980054204582,3,3
4,confirmed,host_accuracy,0.6122997956453394,0.03078485353650752,3,3
4,confirmed,host_macro_f1,0.46190749033681283,0.0489334555319361,3,3
4,confirmed,poison_admission_rate,0.8508425171144104,0.07570357536931419,3,3
4,error_rule,clean_withhold_rate,0.35244747473648735,0.06964098836138638,3,3
4,error_rule,host_accuracy,0.6003826982714027,0.03499224798281876,3,3
4,error_rule,host_macro_f1,0.46378774841774706,0.04297218963059086,3,3
4,error_rule,poison_admission_rate,0.6289948231716532,0.042235137491294886,3,3
4,no_reset,clean_withhold_rate,0.13620127829345838,0.018813611002123965,3,3
4,no_reset,host_accuracy,0.6794547462351804,0.027465898308867462,3,3
4,no_reset,host_macro_f1,0.5177841520547717,0.03893326175366614,3,3
4,no_reset,poison_admission_rate,0.8706478160453982,0.02673671065906636,3,3
4,selected_map,clean_withhold_rate,0.18162814643048897,0.042213091403813414,3,3
4,selected_map,host_accuracy,0.6415645498840896,0.022223705141609974,3,3
4,selected_map,host_macro_f1,0.4968693982246825,0.023467611774396192,3,3
4,selected_map,poison_admission_rate,0.8214343897680395,0.057577559881936406,3,3
5,alarm,clean_withhold_rate,0.3722882350731651,0.013483274101620752,3,3
5,alarm,host_accuracy,0.6064113500151658,0.01242526189297708,3,3
5,alarm,host_macro_f1,0.46847083227637176,0.03214398814602997,3,3
5,alarm,poison_admission_rate,0.6155281573720047,0.07428348496007586,3,3
5,alarm_persistence,clean_withhold_rate,0.30862456734440624,0.012660763589415846,3,3
5,alarm_persistence,host_accuracy,0.6004861245886994,0.020552075874787454,3,3
5,alarm_persistence,host_macro_f1,0.47158356483401115,0.02770103901215597,3,3
5,alarm_persistence,poison_admission_rate,0.667017110411788,0.06523200740093395,3,3
5,confirmed,clean_withhold_rate,0.17477739558126906,0.027394801624085544,3,3
5,confirmed,host_accuracy,0.6140650071419378,0.00375166989512515,3,3
5,confirmed,host_macro_f1,0.47754494780253326,0.011761956287291297,3,3
5,confirmed,poison_admission_rate,0.8000186077486166,0.03762006239161058,3,3
5,error_rule,clean_withhold_rate,0.403660526424889,0.0227132579699834,3,3
5,error_rule,host_accuracy,0.5955464468390287,0.02477145111196954,3,3
5,error_rule,host_macro_f1,0.4545565111720759,0.04645805795522709,3,3
5,error_rule,poison_admission_rate,0.5355624005364693,0.03828732044685171,3,3
5,no_reset,clean_withhold_rate,0.1255136098227654,0.005624100221176914,3,3
5,no_reset,host_accuracy,0.6562149197831862,0.007689702691340902,3,3
5,no_reset,host_macro_f1,0.4373663420216103,0.04005975245984371,3,3
5,no_reset,poison_admission_rate,0.8764769903787207,0.014825722123321923,3,3
5,selected_map,clean_withhold_rate,0.23741350538586858,0.027755073898811145,3,3
5,selected_map,host_accuracy,0.6108832025547964,0.063235636725178,3,3
5,selected_map,host_macro_f1,0.44977511967126865,0.05425519797594906,3,3
5,selected_map,poison_admission_rate,0.7685335332409995,0.07427681567635226,3,3
6,alarm,clean_withhold_rate,0.34273610052543907,0.025994288684640966,3,3
6,alarm,host_accuracy,0.5931870715113268,0.024572733411527214,3,3
6,alarm,host_macro_f1,0.45460172932637466,0.02989284867651596,3,3
6,alarm,poison_admission_rate,0.6647522273299423,0.05404861424647672,3,3
6,alarm_persistence,clean_withhold_rate,0.3001130171742779,0.021941060611924093,3,3
6,alarm_persistence,host_accuracy,0.5853118694126628,0.042255747284282844,3,3
6,alarm_persistence,host_macro_f1,0.43151306888770374,0.03850985022474291,3,3
6,alarm_persistence,poison_admission_rate,0.7100121904884448,0.03847988831155063,3,3
6,confirmed,clean_withhold_rate,0.20114113221890953,0.009757875273619135,3,3
6,confirmed,host_accuracy,0.6004627382980402,0.011902607353504072,3,3
6,confirmed,host_macro_f1,0.4460603182175212,0.023386460627320645,3,3
6,confirmed,poison_admission_rate,0.7780031121717755,0.0538888843636635,3,3
6,error_rule,clean_withhold_rate,0.4130591185797763,0.03679236357317491,3,3
6,error_rule,host_accuracy,0.5796600529142465,0.048438395752988306,3,3
6,error_rule,host_macro_f1,0.4229428948113169,0.04039673101654157,3,3
6,error_rule,poison_admission_rate,0.5974462387346156,0.018789586425005347,3,3
6,no_reset,clean_withhold_rate,0.14826081559559132,0.027199513678741766,3,3
6,no_reset,host_accuracy,0.6498970363514838,0.03643700370101596,3,3
6,no_reset,host_macro_f1,0.4642520546094318,0.08823652086809224,3,3
6,no_reset,poison_admission_rate,0.8511708121635815,0.031860613921405344,3,3
6,selected_map,clean_withhold_rate,0.24703303910061178,0.03690380451892832,3,3
6,selected_map,host_accuracy,0.5946278558973617,0.01637340142267648,3,3
6,selected_map,host_macro_f1,0.3989163002443044,0.033828389793798645,3,3
6,selected_map,poison_admission_rate,0.767184273573113,0.042479897161819116,3,3
