category,series,metric,mean,sd,runs,defined
0,alarm_persistence,clean_withhold_rate,0.37050890756327076,,1,1
0,alarm_persistence,host_accuracy,0.5356765398650215,,1,1
0,alarm_persistence,host_macro_f1,0.35682333723172255,,1,1
0,alarm_persistence,poison_admission_rate,0.6244599418456208,,1,1
0,confirmed,clean_withhold_rate,0.18792751621732218,,1,1
0,confirmed,host_accuracy,0.5720499395892066,,1,1
0,confirmed,host_macro_f1,0.3743515756382445,,1,1
0,confirmed,poison_admission_rate,0.7919313265980982,,1,1
0,error_rule,clean_withhold_rate,0.4671286389190403,,1,1
0,error_rule,host_accuracy,0.5192008689390888,,1,1
0,error_rule,host_macro_f1,0.3035039984984624,,1,1
0,error_rule,poison_admission_rate,0.5518233930001334,,1,1
0,no_reset,clean_withhold_rate,0.09616952165036041,,1,1
0,no_reset,host_accuracy,0.624426707672781,,1,1
0,no_reset,host_macro_f1,0.4304814871783993,,1,1
0,no_reset,poison_admission_rate,0.8628307798001321,,1,1
0,selected_map,clean_withhold_rate,0.24228756868130713,,1,1
0,selected_map,host_accuracy,0.5352701399821818,,1,1
0,selected_map,host_macro_f1,0.3793558574154605,,1,1
0,selected_map,poison_admission_rate,0.7099910544629303,,1,1
1,alarm_persistence,clean_withhold_rate,0.3833230607341392,,1,1
1,alarm_persistence,host_accuracy,0.5367175581835267,,1,1
1,alarm_persistence,host_macro_f1,0.3625971266009916,,1,1
1,alarm_persistence,poison_admission_rate,0.6085890205033927,,1,1
1,confirmed,clean_withhold_rate,0.20984360956865944,,1,1
1,confirmed,host_accuracy,0.5480723465016659,,1,1
1,confirmed,host_macro_f1,0.36577895409604944,,1,1
1,confirmed,poison_admission_rate,0.7750323294927339,,1,1
1,error_rule,clean_withhold_rate,0.4846672567540753,,1,1
1,error_rule,host_accuracy,0.5124702522608282,,1,1
1,error_rule,host_macro_f1,0.3149011269327365,,1,1
1,error_rule,poison_admission_rate,0.5318320993531179,,1,1
1,no_reset,clean_withhold_rate,0.11487083760949918,,1,1
1,no_reset,host_accuracy,0.585848008884658,,1,1
1,no_reset,host_macro_f1,0.3453677243964356,,1,1
1,no_reset,poison_admission_rate,0.8683659229949772,,1,1
1,selected_map,clean_withhold_rate,0.28043443670262136,,1,1
1,selected_map,host_accuracy,0.5254286725490914,,1,1
1,selected_map,host_macro_f1,0.3779993176010603,,1,1
1,selected_map,poison_admission_rate,0.6837720235564473,,1,1
2,alarm_persistence,clean_withhold_rate,0.406035435741661,,1,1
2,alarm_persistence,host_accuracy,0.5262536765154566,,1,1
2,alarm_persistence,host_macro_f1,0.34778032737308207,,1,1
2,alarm_persistence,poison_admission_rate,0.5879631784585122,,1,1
2,confirmed,clean_withhold_rate,0.27488649872097515,,1,1
2,confirmed,host_accuracy,0.5228511453642344,,1,1
2,confirmed,host_macro_f1,0.30237941522764955,,1,1
2,confirmed,poison_admission_rate,0.7432620281085501,,1,1
2,error_rule,clean_withhold_rate,0.501944003420503,,1,1
2,error_rule,host_accuracy,0.5146743309046974,,1,1
2,error_rule,host_macro_f1,0.3082030182055302,,1,1
2,error_rule,poison_admission_rate,0.5172423412012757,,1,1
2,no_reset,clean_withhold_rate,0.15977533473745237,,1,1
2,no_reset,host_accuracy,0.6071370165611003,,1,1
2,no_reset,host_macro_f1,0.37466579991072024,,1,1
2,no_reset,poison_admission_rate,0.803902598344343,,1,1
2,selected_map,clean_withhold_rate,0.3259972604374026,,1,1
2,selected_map,host_accuracy,0.5632250820732496,,1,1
2,selected_map,host_macro_f1,0.35802745765189026,,1,1
2,selected_map,poison_admission_rate,0.69746495051919,,1,1
