category,series,metric,mean,sd,runs,defined
0,confirmed_False,clean_withhold_rate,0.0,,1,1
0,confirmed_False,poison_admission_rate,,,1,0
0,confirmed_False,resets_per_100k,8.333333333333334,,1,1
0,confirmed_False,training_visits_per_100k,110833.33333333334,,1,1
0,confirmed_True,clean_withhold_rate,0.4545454545454545,,1,1
0,confirmed_True,poison_admission_rate,,,1,0
0,confirmed_True,resets_per_100k,0.0,,1,1
0,confirmed_True,training_visits_per_100k,110833.33333333334,,1,1
0,immediate_False,clean_withhold_rate,0.0,,1,1
0,immediate_False,poison_admission_rate,,,1,0
0,immediate_False,resets_per_100k,58.333333333333336,,1,1
0,immediate_False,training_visits_per_100k,95000.0,,1,1
0,immediate_True,clean_withhold_rate,0.5454545454545454,,1,1
0,immediate_True,poison_admission_rate,,,1,0
0,immediate_True,resets_per_100k,25.0,,1,1
0,immediate_True,training_visits_per_100k,95000.0,,1,1
0,none_False,clean_withhold_rate,0.0,,1,1
0,none_False,poison_admission_rate,,,1,0
0,none_False,resets_per_100k,0.0,,1,1
0,none_False,training_visits_per_100k,95000.0,,1,1
0,none_True,clean_withhold_rate,0.4545454545454545,,1,1
0,none_True,poison_admission_rate,,,1,0
0,none_True,resets_per_100k,0.0,,1,1
0,none_True,training_visits_per_100k,95000.0,,1,1
2,confirmed_False,clean_withhold_rate,0.0,,1,1
2,confirmed_False,poison_admission_rate,1.0,,1,1
2,confirmed_False,resets_per_100k,8.333333333333334,,1,1
2,confirmed_False,training_visits_per_100k,110833.33333333334,,1,1
2,confirmed_True,clean_withhold_rate,0.1801209571391007,,1,1
2,confirmed_True,poison_admission_rate,0.8136427566807314,,1,1
2,confirmed_True,resets_per_100k,8.333333333333334,,1,1
2,confirmed_True,training_visits_per_100k,110833.33333333334,,1,1
2,immediate_False,clean_withhold_rate,0.0,,1,1
2,immediate_False,poison_admission_rate,1.0,,1,1
2,immediate_False,resets_per_100k,58.333333333333336,,1,1
2,immediate_False,training_visits_per_100k,95000.0,,1,1
2,immediate_True,clean_withhold_rate,0.4539836970812516,,1,1
2,immediate_True,poison_admission_rate,0.5439521800281294,,1,1
2,immediate_True,resets_per_100k,8.333333333333334,,1,1
2,immediate_True,training_visits_per_100k,95000.0,,1,1
2,none_False,clean_withhold_rate,0.0,,1,1
2,none_False,poison_admission_rate,1.0,,1,1
2,none_False,resets_per_100k,0.0,,1,1
2,none_False,training_visits_per_100k,95000.0,,1,1
2,none_True,clean_withhold_rate,0.2699184854062582,,1,1
2,none_True,poison_admission_rate,0.719760900140647,,1,1
2,none_True,resets_per_100k,0.0,,1,1
2,none_True,training_visits_per_100k,95000.0,,1,1
