category,series,metric,mean,sd,runs,defined
0,confirmed,clean_withhold_rate,0.2573865924651265,,1,1
0,confirmed,host_accuracy,0.6043861897265038,,1,1
0,confirmed,host_macro_f1,0.4617783336586496,,1,1
0,confirmed,poison_admission_rate,,,1,0
0,q_alarm_persistence_17,clean_withhold_rate,0.3686889027203163,,1,1
0,q_alarm_persistence_17,host_accuracy,0.6115915498114451,,1,1
0,q_alarm_persistence_17,host_macro_f1,0.4684973628862602,,1,1
0,q_alarm_persistence_17,poison_admission_rate,,,1,0
0,q_alarm_persistence_27,clean_withhold_rate,0.4521656354117087,,1,1
0,q_alarm_persistence_27,host_accuracy,0.5782521143777688,,1,1
0,q_alarm_persistence_27,host_macro_f1,0.465290588981865,,1,1
0,q_alarm_persistence_27,poison_admission_rate,,,1,0
0,q_alarm_persistence_7,clean_withhold_rate,0.3199941419836707,,1,1
0,q_alarm_persistence_7,host_accuracy,0.5994361659283125,,1,1
0,q_alarm_persistence_7,host_macro_f1,0.4695867035270953,,1,1
0,q_alarm_persistence_7,poison_admission_rate,,,1,0
1,confirmed,clean_withhold_rate,0.15773743760097567,0.02211162639225555,3,3
1,confirmed,host_accuracy,0.602758149355008,0.025507635231398203,3,3
1,confirmed,host_macro_f1,0.45961392986294475,0.034393695016373176,3,3
1,confirmed,poison_admission_rate,0.8426514314736302,0.023830595208465307,3,3
1,q_alarm_persistence_17,clean_withhold_rate,0.27608108299611855,0.02827975048377433,3,3
1,q_alarm_persistence_17,host_accuracy,0.5865827017659478,0.015022154342316725,3,3
1,q_alarm_persistence_17,host_macro_f1,0.4586980744588874,0.02938697099142982,3,3
1,q_alarm_persistence_17,poison_admission_rate,0.7248687323021127,0.027368982030969845,3,3
1,q_alarm_persistence_27,clean_withhold_rate,0.4245268533125613,0.019131968926773435,3,3
1,q_alarm_persistence_27,host_accuracy,0.5534995545466749,0.004431191831584444,3,3
1,q_alarm_persistence_27,host_macro_f1,0.4283552017060644,0.0015263167897858467,3,3
1,q_alarm_persistence_27,poison_admission_rate,0.5767016151705998,0.01516534953135501,3,3
1,q_alarm_persistence_7,clean_withhold_rate,0.2621932917579015,0.028731142388844232,3,3
1,q_alarm_persistence_7,host_accuracy,0.577236724880704,0.025270753505749647,3,3
1,q_alarm_persistence_7,host_macro_f1,0.4087274871133874,0.0293364291950141,3,3
1,q_alarm_persistence_7,poison_admission_rate,0.7389221585367117,0.024651473611872154,3,3
2,confirmed,clean_withhold_rate,0.16748488042817364,0.038585816699298246,3,3
2,confirmed,host_accuracy,0.5456913069478514,0.019059321271709385,3,3
2,confirmed,host_macro_f1,0.3981224469888858,0.017273404445164918,3,3
2,confirmed,poison_admission_rate,0.8346280157604181,0.03922382197794137,3,3
2,q_alarm_persistence_17,clean_withhold_rate,0.32437874148001394,0.03193668250686598,3,3
2,q_alarm_persistence_17,host_accuracy,0.552608647896606,0.007027334749925888,3,3
2,q_alarm_persistence_17,host_macro_f1,0.42862867245901753,0.01508517531479174,3,3
2,q_alarm_persistence_17,poison_admission_rate,0.6746159799983255,0.032706456582255676,3,3
2,q_alarm_persistence_27,clean_withhold_rate,0.40729667290318033,0.014029699239952224,3,3
