category,series,metric,mean,sd,runs,defined
0,none,clean_withhold_rate,0.4545454545454545,,1,1
0,none,host_accuracy,0.7776814734561214,,1,1
0,none,host_macro_f1,0.2505455708972582,,1,1
0,none,poison_admission_rate,,,1,0
0,oracle_blocks,clean_withhold_rate,0.4545454545454545,,1,1
0,oracle_blocks,host_accuracy,0.7776814734561214,,1,1
0,oracle_blocks,host_macro_f1,0.2505455708972582,,1,1
0,oracle_blocks,poison_admission_rate,,,1,0
0,oracle_rows,clean_withhold_rate,0.4545454545454545,,1,1
0,oracle_rows,host_accuracy,0.7776814734561214,,1,1
0,oracle_rows,host_macro_f1,0.2505455708972582,,1,1
0,oracle_rows,poison_admission_rate,,,1,0
0,random_blocks,clean_withhold_rate,0.4545454545454545,,1,1
0,random_blocks,host_accuracy,0.7776814734561214,,1,1
0,random_blocks,host_macro_f1,0.2505455708972582,,1,1
0,random_blocks,poison_admission_rate,,,1,0
0,random_rows,clean_withhold_rate,0.4545454545454545,,1,1
0,random_rows,host_accuracy,0.7776814734561214,,1,1
0,random_rows,host_macro_f1,0.2505455708972582,,1,1
0,random_rows,poison_admission_rate,,,1,0
2,none,clean_withhold_rate,0.1801209571391007,,1,1
2,none,host_accuracy,0.6543878656554712,,1,1
2,none,host_macro_f1,0.1976320204764207,,1,1
2,none,poison_admission_rate,0.8136427566807314,,1,1
2,oracle_blocks,clean_withhold_rate,1.0,,1,1
2,oracle_blocks,host_accuracy,0.4485373781148429,,1,1
2,oracle_blocks,host_macro_f1,0.1041981274539414,,1,1
2,oracle_blocks,poison_admission_rate,0.0,,1,1
2,oracle_rows,clean_withhold_rate,0.2721535629765974,,1,1
2,oracle_rows,host_accuracy,0.5679306608884074,,1,1
2,oracle_rows,host_macro_f1,0.1484968795242901,,1,1
2,oracle_rows,poison_admission_rate,0.0,,1,1
2,random_blocks,clean_withhold_rate,1.0,,1,1
2,random_blocks,host_accuracy,0.44853737811484284,,1,1
2,random_blocks,host_macro_f1,0.10419812745394139,,1,1
2,random_blocks,poison_admission_rate,0.0,,1,1
2,random_rows,clean_withhold_rate,0.44435971601367336,,1,1
2,random_rows,host_accuracy,0.5549729144095341,,1,1
2,random_rows,host_macro_f1,0.11902503756250071,,1,1
2,random_rows,poison_admission_rate,0.5559071729957805,,1,1
