category,series,metric,mean,sd,runs,defined
0,alarm,clean_withhold_rate,0.24811139994386064,,1,1
0,alarm,host_accuracy,0.6348454337983134,,1,1
0,alarm,host_macro_f1,0.46256070392339277,,1,1
0,alarm,poison_admission_rate,,,1,0
0,alarm_persistence,clean_withhold_rate,0.22028582238006314,,1,1
0,alarm_persistence,host_accuracy,0.6460220407864387,,1,1
0,alarm_persistence,host_macro_f1,0.46953931333542925,,1,1
0,alarm_persistence,poison_admission_rate,,,1,0
0,confirmed,clean_withhold_rate,0.1947790429465822,,1,1
0,confirmed,host_accuracy,0.6215941126935891,,1,1
0,confirmed,host_macro_f1,0.521195681655464,,1,1
0,confirmed,poison_admission_rate,,,1,0
0,error_rule,clean_withhold_rate,0.382601691502215,,1,1
0,error_rule,host_accuracy,0.5965657379269945,,1,1
0,error_rule,host_macro_f1,0.47079077252134,,1,1
0,error_rule,poison_admission_rate,,,1,0
0,no_reset,clean_withhold_rate,0.1460842822099366,,1,1
0,no_reset,host_accuracy,0.6631420935085857,,1,1
0,no_reset,host_macro_f1,0.4611957613941567,,1,1
0,no_reset,poison_admission_rate,,,1,0
0,selected_map,clean_withhold_rate,0.3686889027203163,,1,1
0,selected_map,host_accuracy,0.6114304543623915,,1,1
0,selected_map,host_macro_f1,0.4847853295711409,,1,1
0,selected_map,poison_admission_rate,,,1,0
1,alarm,clean_withhold_rate,0.2298284393430323,0.006695557496239656,3,3
1,alarm,host_accuracy,0.6026857377642717,0.005273480918402521,3,3
1,alarm,host_macro_f1,0.4090139090381802,0.0272254477146374,3,3
1,alarm,poison_admission_rate,0.7719372685791471,0.00910941289046826,3,3
1,alarm_persistence,clean_withhold_rate,0.20518230578600882,0.017358327903582015,3,3
1,alarm_persistence,host_accuracy,0.6081670510989883,0.008413871581753472,3,3
1,alarm_persistence,host_macro_f1,0.4191854356029469,0.036233484605581116,3,3
1,alarm_persistence,poison_admission_rate,0.7971648874552675,0.019804394888039666,3,3
1,confirmed,clean_withhold_rate,0.17397234293983954,0.0304877263226215,3,3
1,confirmed,host_accuracy,0.593243754500299,0.014485021376800258,3,3
1,confirmed,host_macro_f1,0.4264368119230329,0.008556389590302903,3,3
1,confirmed,poison_admission_rate,0.8264410565279636,0.029396780591838523,3,3
1,error_rule,clean_withhold_rate,0.35521163646006376,0.013948269429663459,3,3
1,error_rule,host_accuracy,0.5743077167160937,0.0050216974415499775,3,3
1,error_rule,host_macro_f1,0.4628538204774297,0.03138786699962764,3,3
1,error_rule,poison_admission_rate,0.6476657497410164,0.014335053603136739,3,3
1,no_reset,clean_withhold_rate,0.13247923235826778,0.01790222858537801,3,3
1,no_reset,host_accuracy,0.6272788293730702,0.009148891722102998,3,3
1,no_reset,host_macro_f1,0.39934326270423814,0.04160018160330854,3,3
1,no_reset,poison_admission_rate,0.8695550952834207,0.0212414262709625,3,3
1,selected_map,clean_withhold_rate,0.3529265138624593,0.01467296837210444,3,3
1,selected_map,host_accuracy,0.5692722635131012,0.0075628071786514855,3,3
1,selected_map,host_macro_f1,0.45720409017402736,0.03135069738684004,3,3
1,selected_map,poison_admission_rate,0.6501737603371481,0.013978648729138201,3,3
2,alarm,clean_withhold_rate,0.21608811138339593,0.028527099782078562,3,3
2,alarm,host_accuracy,0.5668989532863878,0.013975419012826631,3,3
2,alarm,host_macro_f1,0.3527552048401483,0.022580589443864336,3,3
2,alarm,poison_admission_rate,0.7825880436209945,0.028900604510186865,3,3
2,alarm_persistence,clean_withhold_rate,0.1906287519753261,0.0337922164810971,3,3
2,alarm_persistence,host_accuracy,0.569284467713787,0.01073856793306779,3,3
2,alarm_persistence,host_macro_f1,0.35403013769016506,0.02111348187012322,3,3
2,alarm_persistence,poison_admission_rate,0.8082362575411227,0.03379773426205603,3,3
2,confirmed,clean_withhold_rate,0.21534019721673392,0.03130157112474499,3,3
2,confirmed,host_accuracy,0.5680640476451995,0.015729469831623783,3,3
2,confirmed,host_macro_f1,0.36825952180650456,0.05870546144557426,3,3
2,confirmed,poison_admission_rate,0.785715713493245,0.031377255318751185,3,3
2,error_rule,clean_withhold_rate,0.34485283777201964,0.042732604072622915,3,3
2,error_rule,host_accuracy,0.530333540804745,0.01949692255169095,3,3
2,error_rule,host_macro_f1,0.4094817323308361,0.02527351666901248,3,3
2,error_rule,poison_admission_rate,0.6525720407800387,0.04182793875387655,3,3
2,no_reset,clean_withhold_rate,0.12048383062350372,0.035776632094422375,3,3
2,no_reset,host_accuracy,0.5831215904514334,0.01579644510418197,3,3
2,no_reset,host_macro_f1,0.32315135463205696,0.03302503266450124,3,3
