category,series,metric,mean,sd,runs,defined
0,learned_features,clean_withhold_rate_reset_difference,-0.06918660287081337,,1,1
0,learned_features,host_accuracy_reset_difference,0.00583732057416266,,1,1
0,learned_features,host_macro_f1_reset_difference,0.00685244933224944,,1,1
0,learned_features,poison_admission_rate_reset_difference,,,1,0
0,learned_features_label,clean_withhold_rate_reset_difference,-0.05221052631578944,,1,1
0,learned_features_label,host_accuracy_reset_difference,0.0,,1,1
0,learned_features_label,host_macro_f1_reset_difference,0.0,,1,1
0,learned_features_label,poison_admission_rate_reset_difference,,,1,0
0,none,clean_withhold_rate_reset_difference,-0.0909090909090909,,1,1
0,none,host_accuracy_reset_difference,0.0,,1,1
0,none,host_macro_f1_reset_difference,0.0,,1,1
0,none,poison_admission_rate_reset_difference,,,1,0
2,learned_features,clean_withhold_rate_reset_difference,0.0,,1,1
2,learned_features,host_accuracy_reset_difference,0.0,,1,1
2,learned_features,host_macro_f1_reset_difference,0.0,,1,1
2,learned_features,poison_admission_rate_reset_difference,0.0,,1,1
2,learned_features_label,clean_withhold_rate_reset_difference,0.0,,1,1
2,learned_features_label,host_accuracy_reset_difference,0.0,,1,1
2,learned_features_label,host_macro_f1_reset_difference,0.0,,1,1
2,learned_features_label,poison_admission_rate_reset_difference,0.0,,1,1
2,none,clean_withhold_rate_reset_difference,0.0,,1,1
2,none,host_accuracy_reset_difference,0.0,,1,1
2,none,host_macro_f1_reset_difference,0.0,,1,1
2,none,poison_admission_rate_reset_difference,0.0,,1,1
