category,series,metric,mean,sd,runs,defined
0,alarm,clean_withhold_rate,0.3032015065913371,0.02899209852794851,3,3
0,alarm,host_accuracy,0.5583110318168302,0.011648196098198938,3,3
0,alarm,host_macro_f1,0.5538761521578608,0.01022738827278791,3,3
0,alarm,poison_admission_rate,,,3,0
0,alarm_persistence,clean_withhold_rate,0.2015065913370998,0.0400824795739977,3,3
0,alarm_persistence,host_accuracy,0.5614411735553574,0.010958890612137256,3,3
0,alarm_persistence,host_macro_f1,0.5572014992782814,0.008808992585587854,3,3
0,alarm_persistence,poison_admission_rate,,,3,0
0,confirmed,clean_withhold_rate,0.24293785310734461,0.03914239113150009,3,3
0,confirmed,host_accuracy,0.5573951828724354,0.029047319705888214,3,3
0,confirmed,host_macro_f1,0.5520840128529939,0.03109782149861785,3,3
0,confirmed,poison_admission_rate,,,3,0
0,error_rule,clean_withhold_rate,0.3276836158192091,0.06416845588474888,3,3
0,error_rule,host_accuracy,0.5555040142729705,0.017031996233995712,3,3
0,error_rule,host_macro_f1,0.5496435111752915,0.016280380299711083,3,3
0,error_rule,poison_admission_rate,,,3,0
0,no_reset,clean_withhold_rate,0.17514124293785308,0.019571195565750057,3,3
0,no_reset,host_accuracy,0.5661076419863217,0.009980262612418732,3,3
0,no_reset,host_macro_f1,0.5628239749638583,0.0070860269410694425,3,3
0,no_reset,poison_admission_rate,,,3,0
0,selected_map,clean_withhold_rate,0.17514124293785308,0.019571195565750057,3,3
0,selected_map,host_accuracy,0.5661076419863217,0.009980262612418732,3,3
0,selected_map,host_macro_f1,0.5628239749638583,0.0070860269410694425,3,3
0,selected_map,poison_admission_rate,,,3,0
1,alarm,clean_withhold_rate,0.3178114767035571,0.04046648747070604,3,3
1,alarm,host_accuracy,0.5461512538408168,0.019980525340445917,3,3
1,alarm,host_macro_f1,0.5404249151613963,0.01982975141720091,3,3
1,alarm,poison_admission_rate,0.6791981584400476,0.03801375387747891,3,3
1,alarm_persistence,clean_withhold_rate,0.2012555184940945,0.020057315004439073,3,3
1,alarm_persistence,host_accuracy,0.5566656754881554,0.014236460059288388,3,3
1,alarm_persistence,host_macro_f1,0.5505407681891739,0.01488969773924817,3,3
1,alarm_persistence,poison_admission_rate,0.7970966592263405,0.01873931044281706,3,3
1,confirmed,clean_withhold_rate,0.2370012872733844,0.044889141798581035,3,3
1,confirmed,host_accuracy,0.5366458519179305,0.03315258922739589,3,3
1,confirmed,host_macro_f1,0.531694564149986,0.03641556897419383,3,3
1,confirmed,poison_admission_rate,0.7611168628432966,0.044619578848058165,3,3
1,error_rule,clean_withhold_rate,0.2766845780802431,0.01935513958832565,3,3
1,error_rule,host_accuracy,0.5425810288432947,0.023273487081123978,3,3
1,error_rule,host_macro_f1,0.5353905170547666,0.02395813470799806,3,3
1,error_rule,poison_admission_rate,0.7223191718503403,0.020981149999455502,3,3
1,no_reset,clean_withhold_rate,0.19750694207508182,0.04292287998544535,3,3
1,no_reset,host_accuracy,0.563788284269997,0.012021447761345122,3,3
1,no_reset,host_macro_f1,0.5582206462037187,0.011323966557242937,3,3
1,no_reset,poison_admission_rate,0.800961825811596,0.04125476967152113,3,3
1,selected_map,clean_withhold_rate,0.19750694207508182,0.04292287998544535,3,3
1,selected_map,host_accuracy,0.563788284269997,0.012021447761345122,3,3
1,selected_map,host_macro_f1,0.5582206462037187,0.011323966557242937,3,3
1,selected_map,poison_admission_rate,0.800961825811596,0.04125476967152113,3,3
2,alarm,clean_withhold_rate,0.42233102838783837,0.019899864105248438,3,3
2,alarm,host_accuracy,0.5170264644662503,0.028759873969844932,3,3
2,alarm,host_macro_f1,0.5107321670839117,0.02998007382132152,3,3
2,alarm,poison_admission_rate,0.5795747720623766,0.020100658111462152,3,3
2,alarm_persistence,clean_withhold_rate,0.286663593071525,0.03398440455171428,3,3
2,alarm_persistence,host_accuracy,0.5106234512835762,0.025598801342608432,3,3
2,alarm_persistence,host_macro_f1,0.5040197403106486,0.02664498529512222,3,3
2,alarm_persistence,poison_admission_rate,0.7149499113118879,0.03478486408764604,3,3
2,confirmed,clean_withhold_rate,0.33331520274472176,0.019064528187888643,3,3
2,confirmed,host_accuracy,0.5048468629200119,0.055466080368691856,3,3
2,confirmed,host_macro_f1,0.49523237929420055,0.06552827159219443,3,3
2,confirmed,poison_admission_rate,0.6666152586799527,0.0210602789856014,3,3
2,error_rule,clean_withhold_rate,0.40538903497183626,0.04292882142422047,3,3
2,error_rule,host_accuracy,0.516176033303598,0.04004923330666821,3,3
2,error_rule,host_macro_f1,0.5082160673359356,0.04382473799142265,3,3
2,error_rule,poison_admission_rate,0.5891437903152102,0.050557186216434034,3,3
2,no_reset,clean_withhold_rate,0.2328350409054074,0.051936615911968645,3,3
2,no_reset,host_accuracy,0.5081593815046089,0.022987517595398563,3,3
2,no_reset,host_macro_f1,0.5022853643518714,0.0225799047164728,3,3
2,no_reset,poison_admission_rate,0.771864931650352,0.05170355620692947,3,3
2,selected_map,clean_withhold_rate,0.2328350409054074,0.051936615911968645,3,3
2,selected_map,host_accuracy,0.5081593815046089,0.022987517595398563,3,3
2,selected_map,host_macro_f1,0.5022853643518714,0.0225799047164728,3,3
2,selected_map,poison_admission_rate,0.771864931650352,0.05170355620692947,3,3
3,alarm,clean_withhold_rate,0.3138870817540335,0.015368735490510597,3,3
3,alarm,host_accuracy,0.5439695817571997,0.005866427155082474,3,3
3,alarm,host_macro_f1,0.5392690543727149,0.006817580726857689,3,3
3,alarm,poison_admission_rate,0.5339551188953369,0.059216549643164244,3,3
3,alarm_persistence,clean_withhold_rate,0.2937378708331126,0.024066960961711115,3,3
3,alarm_persistence,host_accuracy,0.5433969316090425,0.011416537935362715,3,3
3,alarm_persistence,host_macro_f1,0.5389797003509978,0.013657545221157816,3,3
3,alarm_persistence,poison_admission_rate,0.5701711086810806,0.12329620700095091,3,3
3,confirmed,clean_withhold_rate,0.2734358696912242,0.06494447828915688,3,3
3,confirmed,host_accuracy,0.530834099014058,0.02738287361104933,3,3
3,confirmed,host_macro_f1,0.5255413401888086,0.02705881215610479,3,3
3,confirmed,poison_admission_rate,0.6302076063293734,0.07504546052028788,3,3
3,error_rule,clean_withhold_rate,0.384348512287143,0.06674201902478491,3,3
3,error_rule,host_accuracy,0.5415360595124296,0.020012852623714553,3,3
3,error_rule,host_macro_f1,0.5353885263003919,0.01912469976894683,3,3
3,error_rule,poison_admission_rate,0.39453690527478114,0.07509995976753177,3,3
3,no_reset,clean_withhold_rate,0.2500147241022886,0.030469101536721072,3,3
3,no_reset,host_accuracy,0.5463379055020028,0.0254497306500257,3,3
3,no_reset,host_macro_f1,0.5427019708044191,0.027998278217987,3,3
3,no_reset,poison_admission_rate,0.6482568242585965,0.17371344890845902,3,3
3,selected_map,clean_withhold_rate,0.2500147241022886,0.030469101536721072,3,3
3,selected_map,host_accuracy,0.5463379055020028,0.0254497306500257,3,3
3,selected_map,host_macro_f1,0.5427019708044191,0.027998278217987,3,3
3,selected_map,poison_admission_rate,0.6482568242585965,0.17371344890845902,3,3
4,alarm,clean_withhold_rate,0.32656758009684256,0.03450576115753648,3,3
4,alarm,host_accuracy,0.5361479793878321,0.0009312772222053766,3,3
4,alarm,host_macro_f1,0.5309558607633303,0.00044928580348778705,3,3
4,alarm,poison_admission_rate,0.4761308317913768,0.06047528845267974,3,3
4,alarm_persistence,clean_withhold_rate,0.285631824537096,0.047716223088726445,3,3
4,alarm_persistence,host_accuracy,0.5371006673944214,0.011834744836956717,3,3
4,alarm_persistence,host_macro_f1,0.5325236927331959,0.012581441811431126,3,3
4,alarm_persistence,poison_admission_rate,0.5486946417613651,0.0615827761911258,3,3
4,confirmed,clean_withhold_rate,0.18755266763610823,0.06757426653801764,3,3
