category,series,metric,mean,sd,runs,defined
0,learned_features,clean_withhold_rate_reset_difference,0.0348516746411483,,1,1
0,learned_features,host_accuracy_reset_difference,-0.00024880382775118,,1,1
0,learned_features,host_macro_f1_reset_difference,-0.00046649346958343996,,1,1
0,learned_features,poison_admission_rate_reset_difference,,,1,0
0,learned_features_label,clean_withhold_rate_reset_difference,0.0,,1,1
0,learned_features_label,host_accuracy_reset_difference,0.0,,1,1
0,learned_features_label,host_macro_f1_reset_difference,0.0,,1,1
0,learned_features_label,poison_admission_rate_reset_difference,,,1,0
0,none,clean_withhold_rate_reset_difference,0.0,,1,1
0,none,host_accuracy_reset_difference,-0.0005741626794257,,1,1
0,none,host_macro_f1_reset_difference,-7.209224033344341e-05,,1,1
0,none,poison_admission_rate_reset_difference,,,1,0
2,learned_features,clean_withhold_rate_reset_difference,0.0,,1,1
2,learned_features,host_accuracy_reset_difference,0.0,,1,1
2,learned_features,host_macro_f1_reset_difference,0.0,,1,1
2,learned_features,poison_admission_rate_reset_difference,0.0,,1,1
2,learned_features_label,clean_withhold_rate_reset_difference,0.0,,1,1
2,learned_features_label,host_accuracy_reset_difference,0.0,,1,1
2,learned_features_label,host_macro_f1_reset_difference,0.0,,1,1
2,learned_features_label,poison_admission_rate_reset_difference,0.0,,1,1
2,none,clean_withhold_rate_reset_difference,0.0,,1,1
2,none,host_accuracy_reset_difference,0.0,,1,1
2,none,host_macro_f1_reset_difference,0.0,,1,1
2,none,poison_admission_rate_reset_difference,0.0,,1,1
