epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,RBF_I__s112__clean__none,7,d3_oof,RBF_I,32.660000000000004,57000,3,2,0.1
0,RBF_I__s112__splice__moderate,7,d3_oof,RBF_I,31.22,57000,3,2,0.1
0,RBF_I__s112__splice__severe,7,d3_oof,RBF_I,34.04,57000,0,2,0.1
0,RBF_I__s112__instance__severe,7,d3_oof,RBF_I,30.0,57000,2,2,0.1
0,RBF_I__s112__concept__severe,7,d3_oof,RBF_I,32.6,57000,1,2,0.1
0,RBF_I__s112__instance__moderate,7,d3_oof,RBF_I,31.86,57000,1,2,0.1
0,RBF_I__s112__concept__moderate,7,d3_oof,RBF_I,33.08,57000,3,2,0.1
1,RBF_I__s112__splice__severe,7,d3_oof,RBF_I,33.44,57000,2,2,0.1
1,RBF_I__s112__instance__severe,7,d3_oof,RBF_I,31.1,57000,1,2,0.1
1,RBF_I__s112__clean__none,7,d3_oof,RBF_I,32.56,57000,2,2,0.1
1,RBF_I__s112__concept__moderate,7,d3_oof,RBF_I,33.46,57000,1,2,0.1
1,RBF_I__s112__concept__severe,7,d3_oof,RBF_I,32.54,57000,2,2,0.1
1,RBF_I__s112__instance__moderate,7,d3_oof,RBF_I,32.0,57000,27,2,0.1
1,RBF_I__s112__splice__moderate,7,d3_oof,RBF_I,32.18,57000,30,2,0.1
2,RBF_I__s112__concept__severe,7,d3_oof,RBF_I,31.98,57000,18,2,0.1
2,RBF_I__s112__instance__severe,7,d3_oof,RBF_I,31.1,57000,2,2,0.1
2,RBF_I__s112__clean__none,7,d3_oof,RBF_I,32.800000000000004,57000,27,2,0.1
2,RBF_I__s112__concept__moderate,7,d3_oof,RBF_I,32.84,57000,28,2,0.1
2,RBF_I__s112__splice__severe,7,d3_oof,RBF_I,32.660000000000004,57000,18,2,0.1
2,RBF_I__s112__instance__moderate,7,d3_oof,RBF_I,31.12,57000,28,2,0.1
2,RBF_I__s112__splice__moderate,7,d3_oof,RBF_I,34.82,57000,0,2,0.1
3,RBF_I__s112__concept__severe,7,d3_oof,RBF_I,33.06,57000,1,2,0.1
3,RBF_I__s112__instance__moderate,7,d3_oof,RBF_I,33.1,57000,1,2,0.1
3,RBF_I__s112__splice__severe,7,d3_oof,RBF_I,31.580000000000002,57000,24,2,0.1
3,RBF_I__s112__concept__moderate,7,d3_oof,RBF_I,36.18,57000,0,2,0.1
3,RBF_I__s112__clean__none,7,d3_oof,RBF_I,33.36,57000,1,2,0.1
3,RBF_I__s112__instance__severe,7,d3_oof,RBF_I,30.0,57000,36,2,0.1
3,RBF_I__s112__splice__moderate,7,d3_oof,RBF_I,34.0,57000,0,2,0.1
