epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,RBF_I__s112__clean__none,7,hddm_w,RBF_I,32.76,57000,2,2,0.1
0,RBF_I__s112__splice__moderate,7,hddm_w,RBF_I,31.22,57000,3,2,0.1
0,RBF_I__s112__splice__severe,7,hddm_w,RBF_I,33.7,57000,0,2,0.1
0,RBF_I__s112__instance__severe,7,hddm_w,RBF_I,30.0,57000,2,2,0.1
0,RBF_I__s112__concept__severe,7,hddm_w,RBF_I,32.6,57000,1,2,0.1
0,RBF_I__s112__instance__moderate,7,hddm_w,RBF_I,32.1,57000,1,2,0.1
0,RBF_I__s112__concept__moderate,7,hddm_w,RBF_I,33.18,57000,3,2,0.1
1,RBF_I__s112__splice__severe,7,hddm_w,RBF_I,33.52,57000,2,2,0.1
1,RBF_I__s112__instance__severe,7,hddm_w,RBF_I,32.12,57000,0,2,0.1
1,RBF_I__s112__clean__none,7,hddm_w,RBF_I,33.0,57000,1,2,0.1
1,RBF_I__s112__concept__moderate,7,hddm_w,RBF_I,33.46,57000,1,2,0.1
1,RBF_I__s112__concept__severe,7,hddm_w,RBF_I,34.36,57000,0,2,0.1
1,RBF_I__s112__instance__moderate,7,hddm_w,RBF_I,33.64,57000,1,2,0.1
1,RBF_I__s112__splice__moderate,7,hddm_w,RBF_I,31.52,57000,3,2,0.1
2,RBF_I__s112__concept__severe,7,hddm_w,RBF_I,31.580000000000002,57000,2,2,0.1
2,RBF_I__s112__instance__severe,7,hddm_w,RBF_I,30.900000000000002,57000,17,2,0.1
2,RBF_I__s112__clean__none,7,hddm_w,RBF_I,31.7,57000,3,2,0.1
2,RBF_I__s112__concept__moderate,7,hddm_w,RBF_I,33.36,57000,1,2,0.1
2,RBF_I__s112__splice__severe,7,hddm_w,RBF_I,34.3,57000,0,2,0.1
2,RBF_I__s112__instance__moderate,7,hddm_w,RBF_I,33.56,57000,2,2,0.1
2,RBF_I__s112__splice__moderate,7,hddm_w,RBF_I,34.5,57000,0,2,0.1
3,RBF_I__s112__concept__severe,7,hddm_w,RBF_I,33.06,57000,1,2,0.1
3,RBF_I__s112__instance__moderate,7,hddm_w,RBF_I,32.1,57000,19,2,0.1
3,RBF_I__s112__splice__severe,7,hddm_w,RBF_I,31.080000000000002,57000,19,2,0.1
3,RBF_I__s112__concept__moderate,7,hddm_w,RBF_I,33.84,57000,2,2,0.1
3,RBF_I__s112__clean__none,7,hddm_w,RBF_I,32.980000000000004,57000,0,2,0.1
3,RBF_I__s112__instance__severe,7,hddm_w,RBF_I,31.82,57000,2,2,0.1
3,RBF_I__s112__splice__moderate,7,hddm_w,RBF_I,31.82,57000,23,2,0.1
