epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,RBF_I__s112__splice__moderate,47,hellinger,RBF_I,35.04,57000,0,4,0.1
0,RBF_I__s112__clean__none,47,hellinger,RBF_I,32.76,57000,1,4,0.1
0,RBF_I__s112__instance__severe,47,hellinger,RBF_I,33.32,57000,0,4,0.1
0,RBF_I__s112__concept__severe,47,hellinger,RBF_I,31.14,57000,2,4,0.1
0,RBF_I__s112__instance__moderate,47,hellinger,RBF_I,33.9,57000,1,4,0.1
0,RBF_I__s112__concept__moderate,47,hellinger,RBF_I,36.06,57000,0,4,0.1
0,RBF_I__s112__splice__severe,47,hellinger,RBF_I,34.06,57000,0,4,0.1
1,RBF_I__s112__clean__none,47,hellinger,RBF_I,32.96,57000,3,4,0.1
1,RBF_I__s112__instance__moderate,47,hellinger,RBF_I,33.52,57000,2,4,0.1
1,RBF_I__s112__splice__moderate,47,hellinger,RBF_I,33.84,57000,1,4,0.1
1,RBF_I__s112__splice__severe,47,hellinger,RBF_I,31.96,57000,2,4,0.1
1,RBF_I__s112__concept__moderate,47,hellinger,RBF_I,33.96,57000,2,4,0.1
1,RBF_I__s112__concept__severe,47,hellinger,RBF_I,33.78,57000,0,4,0.1
1,RBF_I__s112__instance__severe,47,hellinger,RBF_I,30.46,57000,1,4,0.1
2,RBF_I__s112__clean__none,47,hellinger,RBF_I,32.62,57000,1,4,0.1
2,RBF_I__s112__splice__moderate,47,hellinger,RBF_I,34.160000000000004,57000,0,4,0.1
2,RBF_I__s112__splice__severe,47,hellinger,RBF_I,32.76,57000,2,4,0.1
2,RBF_I__s112__concept__moderate,47,hellinger,RBF_I,35.78,57000,0,4,0.1
2,RBF_I__s112__instance__moderate,47,hellinger,RBF_I,32.12,57000,1,4,0.1
2,RBF_I__s112__instance__severe,47,hellinger,RBF_I,30.88,57000,1,4,0.1
2,RBF_I__s112__concept__severe,47,hellinger,RBF_I,33.26,57000,0,4,0.1
3,RBF_I__s112__instance__moderate,47,hellinger,RBF_I,31.76,57000,1,4,0.1
3,RBF_I__s112__instance__severe,47,hellinger,RBF_I,31.16,57000,2,4,0.1
3,RBF_I__s112__concept__severe,47,hellinger,RBF_I,35.14,57000,1,4,0.1
3,RBF_I__s112__clean__none,47,hellinger,RBF_I,32.8,57000,2,4,0.1
3,RBF_I__s112__splice__severe,47,hellinger,RBF_I,30.16,57000,2,4,0.1
3,RBF_I__s112__concept__moderate,47,hellinger,RBF_I,32.96,57000,21,4,0.1
3,RBF_I__s112__splice__moderate,47,hellinger,RBF_I,32.48,57000,22,4,0.1
