epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,SEA_A__s112__instance__moderate,17,d3_oof,SEA_A,53.78,57000,2,4,0.1
0,SEA_A__s112__clean__none,17,d3_oof,SEA_A,54.019999999999996,57000,1,4,0.1
0,SEA_A__s112__concept__severe,17,d3_oof,SEA_A,53.66,57000,0,4,0.1
0,SEA_A__s112__instance__severe,17,d3_oof,SEA_A,54.18,57000,1,4,0.1
0,SEA_A__s112__splice__severe,17,d3_oof,SEA_A,53.78,57000,1,4,0.1
0,SEA_A__s112__splice__moderate,17,d3_oof,SEA_A,53.8,57000,2,4,0.1
0,SEA_A__s112__concept__moderate,17,d3_oof,SEA_A,53.06,57000,1,4,0.1
1,SEA_A__s112__splice__severe,17,d3_oof,SEA_A,53.38,57000,4,4,0.1
1,SEA_A__s112__concept__moderate,17,d3_oof,SEA_A,52.94,57000,0,4,0.1
1,SEA_A__s112__concept__severe,17,d3_oof,SEA_A,53.62,57000,1,4,0.1
1,SEA_A__s112__instance__moderate,17,d3_oof,SEA_A,54.08,57000,2,4,0.1
1,SEA_A__s112__clean__none,17,d3_oof,SEA_A,54.38,57000,1,4,0.1
1,SEA_A__s112__splice__moderate,17,d3_oof,SEA_A,53.6,57000,2,4,0.1
1,SEA_A__s112__instance__severe,17,d3_oof,SEA_A,53.88,57000,3,4,0.1
2,SEA_A__s112__concept__moderate,17,d3_oof,SEA_A,53.4,57000,2,4,0.1
2,SEA_A__s112__concept__severe,17,d3_oof,SEA_A,53.36,57000,16,4,0.1
2,SEA_A__s112__splice__moderate,17,d3_oof,SEA_A,53.7,57000,32,4,0.1
2,SEA_A__s112__clean__none,17,d3_oof,SEA_A,54.02,57000,32,4,0.1
2,SEA_A__s112__instance__severe,17,d3_oof,SEA_A,54.2,57000,25,4,0.1
2,SEA_A__s112__splice__severe,17,d3_oof,SEA_A,54.0,57000,23,4,0.1
2,SEA_A__s112__instance__moderate,17,d3_oof,SEA_A,54.16,57000,23,4,0.1
3,SEA_A__s112__concept__moderate,17,d3_oof,SEA_A,54.36,57000,15,4,0.1
3,SEA_A__s112__splice__severe,17,d3_oof,SEA_A,53.519999999999996,57000,1,4,0.1
3,SEA_A__s112__clean__none,17,d3_oof,SEA_A,53.58,57000,1,4,0.1
3,SEA_A__s112__instance__severe,17,d3_oof,SEA_A,54.0,57000,30,4,0.1
3,SEA_A__s112__concept__severe,17,d3_oof,SEA_A,53.64,57000,1,4,0.1
3,SEA_A__s112__splice__moderate,17,d3_oof,SEA_A,53.96,57000,6,4,0.1
3,SEA_A__s112__instance__moderate,17,d3_oof,SEA_A,53.94,57000,1,4,0.1
