epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,SEA_A__s112__instance__moderate,27,hellinger,SEA_A,54.24,57000,4,2,0.1
0,SEA_A__s112__clean__none,27,hellinger,SEA_A,53.48,57000,1,2,0.1
0,SEA_A__s112__instance__severe,27,hellinger,SEA_A,53.4,57000,4,2,0.1
0,SEA_A__s112__splice__severe,27,hellinger,SEA_A,53.78,57000,1,2,0.1
0,SEA_A__s112__concept__moderate,27,hellinger,SEA_A,52.94,57000,0,2,0.1
0,SEA_A__s112__concept__severe,27,hellinger,SEA_A,53.54,57000,1,2,0.1
0,SEA_A__s112__splice__moderate,27,hellinger,SEA_A,53.68,57000,2,2,0.1
1,SEA_A__s112__clean__none,27,hellinger,SEA_A,54.019999999999996,57000,2,2,0.1
1,SEA_A__s112__splice__severe,27,hellinger,SEA_A,53.88,57000,1,2,0.1
1,SEA_A__s112__concept__severe,27,hellinger,SEA_A,53.78,57000,0,2,0.1
1,SEA_A__s112__instance__moderate,27,hellinger,SEA_A,53.96,57000,2,2,0.1
1,SEA_A__s112__instance__severe,27,hellinger,SEA_A,53.5,57000,1,2,0.1
1,SEA_A__s112__concept__moderate,27,hellinger,SEA_A,53.14,57000,1,2,0.1
1,SEA_A__s112__splice__moderate,27,hellinger,SEA_A,53.7,57000,2,2,0.1
2,SEA_A__s112__instance__severe,27,hellinger,SEA_A,54.2,57000,27,2,0.1
2,SEA_A__s112__splice__severe,27,hellinger,SEA_A,54.019999999999996,57000,3,2,0.1
2,SEA_A__s112__concept__severe,27,hellinger,SEA_A,53.78,57000,20,2,0.1
2,SEA_A__s112__concept__moderate,27,hellinger,SEA_A,53.68,57000,27,2,0.1
2,SEA_A__s112__clean__none,27,hellinger,SEA_A,53.86,57000,1,2,0.1
2,SEA_A__s112__splice__moderate,27,hellinger,SEA_A,54.0,57000,38,2,0.1
2,SEA_A__s112__instance__moderate,27,hellinger,SEA_A,53.839999999999996,57000,1,2,0.1
3,SEA_A__s112__concept__moderate,27,hellinger,SEA_A,53.699999999999996,57000,26,2,0.1
3,SEA_A__s112__clean__none,27,hellinger,SEA_A,54.26,57000,39,2,0.1
3,SEA_A__s112__instance__moderate,27,hellinger,SEA_A,54.38,57000,28,2,0.1
3,SEA_A__s112__instance__severe,27,hellinger,SEA_A,53.52,57000,1,2,0.1
3,SEA_A__s112__splice__severe,27,hellinger,SEA_A,54.04,57000,31,2,0.1
3,SEA_A__s112__splice__moderate,27,hellinger,SEA_A,54.02,57000,37,2,0.1
3,SEA_A__s112__concept__severe,27,hellinger,SEA_A,53.16,57000,0,2,0.1
