epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,radar__training__instance__moderate__a0,17,adwin,radar,185.35999999999999,229900,5,2,0.1
0,radar__training__clean__none__aNone,17,adwin,radar,198.35999999999999,229900,7,2,0.1
0,radar__training__concept__severe__a0,17,adwin,radar,185.28,229900,3,2,0.1
0,radar__training__instance__severe__a0,17,adwin,radar,177.92,229900,5,2,0.1
0,radar__training__splice__severe__a0,17,adwin,radar,189.38,229900,4,2,0.1
0,radar__training__splice__moderate__a0,17,adwin,radar,187.46,229900,74,2,0.1
0,radar__training__concept__moderate__a0,17,adwin,radar,196.08,229900,20,2,0.1
1,radar__training__splice__severe__a0,17,adwin,radar,187.2,229900,82,2,0.1
1,radar__training__concept__moderate__a0,17,adwin,radar,191.42,229900,85,2,0.1
1,radar__training__concept__severe__a0,17,adwin,radar,190.38,229900,10,2,0.1
1,radar__training__instance__moderate__a0,17,adwin,radar,192.68,229900,62,2,0.1
1,radar__training__clean__none__aNone,17,adwin,radar,185.06,229900,136,2,0.1
1,radar__training__splice__moderate__a0,17,adwin,radar,193.82,229900,11,2,0.1
1,radar__training__instance__severe__a0,17,adwin,radar,193.78,229900,81,2,0.1
2,radar__training__concept__moderate__a0,17,adwin,radar,192.78,229900,110,2,0.1
2,radar__training__concept__severe__a0,17,adwin,radar,190.26,229900,122,2,0.1
2,radar__training__splice__moderate__a0,17,adwin,radar,191.72,229900,53,2,0.1
2,radar__training__clean__none__aNone,17,adwin,radar,192.12,229900,70,2,0.1
2,radar__training__instance__severe__a0,17,adwin,radar,193.18,229900,143,2,0.1
2,radar__training__splice__severe__a0,17,adwin,radar,195.24,229900,20,2,0.1
2,radar__training__instance__moderate__a0,17,adwin,radar,200.04,229900,71,2,0.1
3,radar__training__concept__moderate__a0,17,adwin,radar,195.84,229900,59,2,0.1
3,radar__training__splice__severe__a0,17,adwin,radar,188.48,229900,81,2,0.1
3,radar__training__clean__none__aNone,17,adwin,radar,187.32,229900,116,2,0.1
3,radar__training__instance__severe__a0,17,adwin,radar,185.92,229900,47,2,0.1
3,radar__training__concept__severe__a0,17,adwin,radar,187.08,229900,6,2,0.1
3,radar__training__splice__moderate__a0,17,adwin,radar,191.96,229900,8,2,0.1
3,radar__training__instance__moderate__a0,17,adwin,radar,197.68,229900,8,2,0.1
