epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,radar__training__instance__moderate__a0,27,adwin,radar,198.62,229900,32,4,0.1
0,radar__training__clean__none__aNone,27,adwin,radar,204.16,229900,18,4,0.1
0,radar__training__instance__severe__a0,27,adwin,radar,192.14,229900,30,4,0.1
0,radar__training__splice__severe__a0,27,adwin,radar,189.1,229900,21,4,0.1
0,radar__training__concept__moderate__a0,27,adwin,radar,185.74,229900,15,4,0.1
0,radar__training__concept__severe__a0,27,adwin,radar,196.94,229900,11,4,0.1
0,radar__training__splice__moderate__a0,27,adwin,radar,199.92,229900,20,4,0.1
1,radar__training__clean__none__aNone,27,adwin,radar,196.34,229900,47,4,0.1
1,radar__training__splice__severe__a0,27,adwin,radar,193.06,229900,59,4,0.1
1,radar__training__concept__severe__a0,27,adwin,radar,194.02,229900,73,4,0.1
1,radar__training__instance__moderate__a0,27,adwin,radar,197.66,229900,29,4,0.1
1,radar__training__instance__severe__a0,27,adwin,radar,196.98,229900,24,4,0.1
1,radar__training__concept__moderate__a0,27,adwin,radar,191.8,229900,54,4,0.1
1,radar__training__splice__moderate__a0,27,adwin,radar,188.0,229900,93,4,0.1
2,radar__training__instance__severe__a0,27,adwin,radar,196.84,229900,114,4,0.1
2,radar__training__splice__severe__a0,27,adwin,radar,193.5,229900,34,4,0.1
2,radar__training__concept__severe__a0,27,adwin,radar,199.1,229900,16,4,0.1
2,radar__training__concept__moderate__a0,27,adwin,radar,190.7,229900,78,4,0.1
2,radar__training__clean__none__aNone,27,adwin,radar,189.08,229900,53,4,0.1
2,radar__training__splice__moderate__a0,27,adwin,radar,188.24,229900,97,4,0.1
2,radar__training__instance__moderate__a0,27,adwin,radar,195.54,229900,65,4,0.1
3,radar__training__concept__moderate__a0,27,adwin,radar,192.48,229900,56,4,0.1
3,radar__training__clean__none__aNone,27,adwin,radar,200.92,229900,45,4,0.1
3,radar__training__instance__moderate__a0,27,adwin,radar,201.78,229900,112,4,0.1
3,radar__training__instance__severe__a0,27,adwin,radar,198.8,229900,55,4,0.1
3,radar__training__splice__severe__a0,27,adwin,radar,188.3,229900,99,4,0.1
3,radar__training__splice__moderate__a0,27,adwin,radar,185.44,229900,129,4,0.1
3,radar__training__concept__severe__a0,27,adwin,radar,193.12,229900,114,4,0.1
