epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,radar__training__instance__moderate__a0,27,hddm_w,radar,195.5,229900,35,4,0.1
0,radar__training__clean__none__aNone,27,hddm_w,radar,202.1,229900,32,4,0.1
0,radar__training__instance__severe__a0,27,hddm_w,radar,192.06,229900,45,4,0.1
0,radar__training__splice__severe__a0,27,hddm_w,radar,197.42,229900,26,4,0.1
0,radar__training__concept__moderate__a0,27,hddm_w,radar,191.36,229900,32,4,0.1
0,radar__training__concept__severe__a0,27,hddm_w,radar,198.56,229900,21,4,0.1
0,radar__training__splice__moderate__a0,27,hddm_w,radar,200.1,229900,25,4,0.1
1,radar__training__clean__none__aNone,27,hddm_w,radar,199.9,229900,32,4,0.1
1,radar__training__splice__severe__a0,27,hddm_w,radar,188.92,229900,28,4,0.1
1,radar__training__concept__severe__a0,27,hddm_w,radar,200.08,229900,25,4,0.1
1,radar__training__instance__moderate__a0,27,hddm_w,radar,198.78,229900,54,4,0.1
1,radar__training__instance__severe__a0,27,hddm_w,radar,199.68,229900,63,4,0.1
1,radar__training__concept__moderate__a0,27,hddm_w,radar,187.24,229900,91,4,0.1
1,radar__training__splice__moderate__a0,27,hddm_w,radar,189.62,229900,57,4,0.1
2,radar__training__instance__severe__a0,27,hddm_w,radar,195.98,229900,107,4,0.1
2,radar__training__splice__severe__a0,27,hddm_w,radar,189.42,229900,52,4,0.1
2,radar__training__concept__severe__a0,27,hddm_w,radar,199.5,229900,31,4,0.1
2,radar__training__concept__moderate__a0,27,hddm_w,radar,190.28,229900,70,4,0.1
2,radar__training__clean__none__aNone,27,hddm_w,radar,188.06,229900,64,4,0.1
2,radar__training__splice__moderate__a0,27,hddm_w,radar,190.44,229900,121,4,0.1
2,radar__training__instance__moderate__a0,27,hddm_w,radar,190.14,229900,25,4,0.1
3,radar__training__concept__moderate__a0,27,hddm_w,radar,199.04,229900,55,4,0.1
3,radar__training__clean__none__aNone,27,hddm_w,radar,192.76,229900,125,4,0.1
3,radar__training__instance__moderate__a0,27,hddm_w,radar,197.22,229900,54,4,0.1
3,radar__training__instance__severe__a0,27,hddm_w,radar,199.26,229900,120,4,0.1
3,radar__training__splice__severe__a0,27,hddm_w,radar,186.46,229900,105,4,0.1
3,radar__training__splice__moderate__a0,27,hddm_w,radar,188.16,229900,56,4,0.1
3,radar__training__concept__severe__a0,27,hddm_w,radar,195.22,229900,96,4,0.1
