epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,radar__training__clean__none__aNone,37,hellinger,radar,196.16,229900,4,2,0.1
0,radar__training__splice__severe__a0,37,hellinger,radar,185.84,229900,6,2,0.1
0,radar__training__instance__moderate__a0,37,hellinger,radar,189.02,229900,7,2,0.1
0,radar__training__concept__moderate__a0,37,hellinger,radar,197.0,229900,6,2,0.1
0,radar__training__splice__moderate__a0,37,hellinger,radar,192.18,229900,32,2,0.1
0,radar__training__concept__severe__a0,37,hellinger,radar,193.02,229900,122,2,0.1
0,radar__training__instance__severe__a0,37,hellinger,radar,189.04,229900,6,2,0.1
1,radar__training__concept__moderate__a0,37,hellinger,radar,186.5,229900,16,2,0.1
1,radar__training__splice__moderate__a0,37,hellinger,radar,188.18,229900,94,2,0.1
1,radar__training__instance__severe__a0,37,hellinger,radar,195.24,229900,143,2,0.1
1,radar__training__splice__severe__a0,37,hellinger,radar,182.98,229900,9,2,0.1
1,radar__training__clean__none__aNone,37,hellinger,radar,185.12,229900,138,2,0.1
1,radar__training__concept__severe__a0,37,hellinger,radar,192.76,229900,7,2,0.1
1,radar__training__instance__moderate__a0,37,hellinger,radar,198.84,229900,141,2,0.1
2,radar__training__clean__none__aNone,37,hellinger,radar,183.12,229900,60,2,0.1
2,radar__training__instance__severe__a0,37,hellinger,radar,196.62,229900,144,2,0.1
2,radar__training__instance__moderate__a0,37,hellinger,radar,195.96,229900,139,2,0.1
2,radar__training__splice__severe__a0,37,hellinger,radar,185.16,229900,6,2,0.1
2,radar__training__concept__moderate__a0,37,hellinger,radar,189.35999999999999,229900,123,2,0.1
2,radar__training__splice__moderate__a0,37,hellinger,radar,187.12,229900,132,2,0.1
2,radar__training__concept__severe__a0,37,hellinger,radar,192.78,229900,2,2,0.1
3,radar__training__concept__severe__a0,37,hellinger,radar,193.06,229900,117,2,0.1
3,radar__training__clean__none__aNone,37,hellinger,radar,199.02,229900,6,2,0.1
3,radar__training__instance__moderate__a0,37,hellinger,radar,197.0,229900,133,2,0.1
3,radar__training__concept__moderate__a0,37,hellinger,radar,192.16,229900,118,2,0.1
3,radar__training__splice__moderate__a0,37,hellinger,radar,193.08,229900,22,2,0.1
3,radar__training__instance__severe__a0,37,hellinger,radar,185.72,229900,95,2,0.1
3,radar__training__splice__severe__a0,37,hellinger,radar,183.62,229900,78,2,0.1
