epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon
0,radar__training__clean__none__aNone,37,hellinger,radar,192.92,229900,51,4,0.1
0,radar__training__splice__severe__a0,37,hellinger,radar,185.96,229900,55,4,0.1
0,radar__training__instance__moderate__a0,37,hellinger,radar,195.7,229900,51,4,0.1
0,radar__training__concept__moderate__a0,37,hellinger,radar,194.76,229900,55,4,0.1
0,radar__training__splice__moderate__a0,37,hellinger,radar,190.96,229900,51,4,0.1
0,radar__training__concept__severe__a0,37,hellinger,radar,195.04,229900,51,4,0.1
0,radar__training__instance__severe__a0,37,hellinger,radar,193.1,229900,134,4,0.1
1,radar__training__concept__moderate__a0,37,hellinger,radar,184.82,229900,87,4,0.1
1,radar__training__splice__moderate__a0,37,hellinger,radar,186.94,229900,129,4,0.1
1,radar__training__instance__severe__a0,37,hellinger,radar,194.52,229900,47,4,0.1
1,radar__training__splice__severe__a0,37,hellinger,radar,179.14,229900,20,4,0.1
1,radar__training__clean__none__aNone,37,hellinger,radar,185.12,229900,138,4,0.1
1,radar__training__concept__severe__a0,37,hellinger,radar,190.26,229900,124,4,0.1
1,radar__training__instance__moderate__a0,37,hellinger,radar,197.46,229900,55,4,0.1
2,radar__training__clean__none__aNone,37,hellinger,radar,191.24,229900,55,4,0.1
2,radar__training__instance__severe__a0,37,hellinger,radar,196.62,229900,144,4,0.1
2,radar__training__instance__moderate__a0,37,hellinger,radar,204.26,229900,92,4,0.1
2,radar__training__splice__severe__a0,37,hellinger,radar,182.84,229900,51,4,0.1
2,radar__training__concept__moderate__a0,37,hellinger,radar,198.84,229900,62,4,0.1
2,radar__training__splice__moderate__a0,37,hellinger,radar,191.92,229900,6,4,0.1
2,radar__training__concept__severe__a0,37,hellinger,radar,200.76,229900,71,4,0.1
3,radar__training__concept__severe__a0,37,hellinger,radar,200.84,229900,75,4,0.1
3,radar__training__clean__none__aNone,37,hellinger,radar,189.06,229900,84,4,0.1
3,radar__training__instance__moderate__a0,37,hellinger,radar,199.16,229900,110,4,0.1
3,radar__training__concept__moderate__a0,37,hellinger,radar,192.16,229900,118,4,0.1
3,radar__training__splice__moderate__a0,37,hellinger,radar,196.02,229900,47,4,0.1
3,radar__training__instance__severe__a0,37,hellinger,radar,192.7,229900,132,4,0.1
3,radar__training__splice__severe__a0,37,hellinger,radar,188.62,229900,60,4,0.1
